,Roofline,,,,,,,,ECM,,,,,,,,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
10,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,416.68,176.67,44.1,44.0,0.0,0.0,0.0,44.1 ,44.1,44.0,0.0,0.0,0.0,44.1 ,104.15,0,0,0,0,0,0,.16,.08,.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,367.52,162.59,44.1,44.0,7.2,0.0,0.0,51.2 ,44.1,44.0,6.0,0.0,0.0,50.0 ,113.17,19.76,8.88,28.64,0,0,0,.16,.08,.24,19.87,9.00,28.87,0,0,0,0,0,0,16.00,8.00,24.00,0,0,0,0,0,0
30,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,328.14,195.99,44.1,44.0,6.8,6.8,0.0,57.5 ,44.1,44.0,6.0,6.0,0.0,56.0 ,93.88,24.56,8.64,33.20,17.12,7.68,24.80,.08,.08,.16,18.50,8.62,27.12,18.50,8.62,27.12,0,0,0,16.00,8.00,24.00,16.00,8.00,24.00,0,0,0
40,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,306.26,171.49,44.1,44.0,10.9,6.5,0.0,61.4 ,44.1,44.0,10.0,6.0,0.0,60.0 ,107.30,35.04,8.48,43.52,18.32,8.48,26.80,.08,.08,.16,35.00,8.37,43.37,17.75,8.37,26.12,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
50,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,306.26,198.32,44.1,44.0,10.7,6.5,0.0,61.1 ,44.1,44.0,10.0,6.0,0.0,60.0 ,92.78,34.40,8.40,42.80,18.00,8.32,26.32,.08,.08,.16,34.37,8.37,42.74,17.50,8.37,25.87,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
60,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,306.26,185.91,44.1,44.0,10.6,6.4,0.0,61.0 ,44.1,44.0,10.0,6.0,0.0,60.0 ,98.97,34.16,8.24,42.40,17.92,8.24,26.16,.08,.08,.16,34.00,8.25,42.25,17.37,8.25,25.62,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
70,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,306.26,201.94,44.1,44.0,10.5,6.4,0.0,60.9 ,44.1,44.0,10.0,6.0,0.0,60.0 ,91.12,33.68,8.24,41.92,19.36,8.24,27.60,.08,.08,.16,33.62,8.25,41.87,17.50,8.25,25.75,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
80,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,306.26,187.21,44.1,44.0,10.4,6.5,0.0,60.9 ,44.1,44.0,10.0,6.0,0.0,60.0 ,98.29,34.56,8.24,42.80,22.48,8.24,30.72,.08,.08,.16,33.50,8.25,41.75,17.62,8.25,25.87,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
90,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,306.26,172.80,44.1,44.0,10.4,6.5,0.0,60.9 ,44.1,44.0,10.0,6.0,0.0,60.0 ,106.48,33.44,8.16,41.60,26.40,8.16,34.56,.16,.08,.24,33.25,8.25,41.50,17.87,8.25,26.12,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
100,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,287.12,193.57,44.1,44.0,10.3,10.3,0.0,64.6 ,44.1,44.0,10.0,10.0,0.0,64.0 ,95.06,33.28,8.16,41.44,29.68,8.16,37.84,.64,.40,1.04,33.12,8.12,41.24,32.87,8.12,40.99,0,0,0,32.00,8.00,40.00,32.00,8.00,40.00,0,0,0
110,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,287.12,202.46,44.1,44.0,10.3,10.3,0.0,64.6 ,44.1,44.0,10.0,10.0,0.0,64.0 ,90.88,33.12,8.16,41.28,32.00,8.08,40.08,3.12,2.08,5.20,33.12,8.12,41.24,33.12,8.12,41.24,0,0,0,32.00,8.00,40.00,32.00,8.00,40.00,0,0,0
120,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,190.85,44.1,44.0,10.3,10.3,14.4,79.0 ,44.1,44.0,10.0,10.0,14.1,78.1 ,96.41,33.12,8.16,41.28,32.80,8.16,40.96,9.44,5.68,15.12,33.00,8.12,41.12,33.00,8.12,41.12,16.37,8.12,24.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
130,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,168.58,44.1,44.0,10.3,10.3,14.4,78.9 ,44.1,44.0,10.0,10.0,14.1,78.1 ,109.15,33.20,8.16,41.36,32.96,8.08,41.04,14.72,7.76,22.48,32.87,8.12,40.99,32.87,8.12,40.99,16.37,8.12,24.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
140,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,172.19,44.1,44.0,10.2,10.2,14.4,78.8 ,44.1,44.0,10.0,10.0,14.1,78.1 ,106.86,33.04,8.16,41.20,32.96,8.08,41.04,16.40,8.16,24.56,32.75,8.12,40.87,32.75,8.12,40.87,16.37,8.12,24.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
150,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,199.74,44.1,44.0,10.2,10.2,14.2,78.7 ,44.1,44.0,10.0,10.0,14.1,78.1 ,92.12,33.84,8.08,41.92,32.88,8.08,40.96,16.64,8.16,24.80,32.75,8.12,40.87,32.75,8.12,40.87,16.37,8.00,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
160,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,185.31,44.1,44.0,10.2,10.2,14.3,78.7 ,44.1,44.0,10.0,10.0,14.1,78.1 ,99.29,35.20,8.16,43.36,32.96,8.08,41.04,16.64,8.16,24.80,32.75,8.12,40.87,32.75,8.12,40.87,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
170,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,201.87,44.1,44.0,10.2,10.2,14.3,78.7 ,44.1,44.0,10.0,10.0,14.1,78.1 ,91.15,32.88,8.08,40.96,32.80,8.08,40.88,16.64,8.16,24.80,32.75,8.12,40.87,32.75,8.12,40.87,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
180,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,196.60,44.1,44.0,10.2,10.2,14.3,78.6 ,44.1,44.0,10.0,10.0,14.1,78.1 ,93.59,32.88,8.08,40.96,32.80,8.08,40.88,16.56,8.16,24.72,32.62,8.12,40.74,32.62,8.12,40.74,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
