N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
10,262144,2.090684,,7113539584,134217728,3.40,64.19,306.64,344.93,17.96,159.71,3.73,58278.02,109631.00,362.89,163.44,167909.02
20,32768,3.018187,,10128457728,191102976,3.35,63.31,306.64,294.13,10.14,293.69,9.59,81157.02,156873.00,304.27,303.28,238030.02
30,8192,2.062139,,9531031552,179830784,4.62,87.20,230.00,281.67,9.34,276.32,8.98,56431.01,108325.00,291.01,285.30,164756.01
40,2048,2.750455,,5956026368,112377856,2.16,40.85,613.28,837.58,26.17,278.37,8.86,16771650.46,539432.00,863.75,287.23,17311082.46
50,1024,3.587009,,6002049024,113246208,1.67,31.56,613.28,271.67,9.24,262.73,8.58,156021016.18,4391256.00,280.91,271.31,160412272.18
60,512,3.238655,,5294559232,99897344,1.63,30.84,920.00,287.93,10.04,260.42,8.44,189117096.14,13051846.00,297.97,268.86,202168942.14
70,256,3.021702,,4266213376,80494592,1.40,26.63,920.00,267.44,9.16,258.11,8.39,151941019.82,10582620.00,276.60,266.50,162523639.82
80,128,2.624885,,3219360768,60742656,1.22,23.14,920.00,751.46,25.90,891.01,8.90,116294698.52,8019570.00,777.36,899.91,124314268.52
90,64,2.039985,,2311553024,43614208,1.13,21.37,1840.00,271.31,8.92,255.77,8.29,81500298.61,5705703.00,280.23,264.06,87206001.61
100,128,3.729281,,6385046528,120472576,1.71,32.30,613.28,278.54,10.49,255.17,8.21,225183290.62,15665811.00,289.03,263.38,240849101.62
110,64,2.909654,,4272943104,80621568,1.46,27.70,920.00,282.30,9.49,254.49,8.19,150329981.33,10476690.00,291.79,262.68,160806671.33
120,64,3.412168,,5573164544,105154048,1.63,30.81,920.00,809.31,23.24,258.59,8.32,197225765.03,13646103.00,832.55,266.91,210871868.03
130,32,2.090391,,3556769792,67108864,1.69,32.09,920.00,289.84,9.07,253.64,8.17,124858961.08,8687674.00,298.91,261.81,133546635.08
140,32,2.379278,,4457210112,84098304,1.87,35.34,613.28,304.42,11.12,253.48,8.16,156558565.14,10860258.00,315.54,261.64,167418823.14
150,16,2.187877,,2749039616,51868672,1.25,23.70,920.00,305.37,9.44,253.32,8.17,96711276.33,6716044.00,314.81,261.49,103427320.33
160,8,2.235515,,1672388288,31554496,.74,14.11,1840.00,804.20,26.07,1108.32,8.44,63943976.69,4167134.00,830.27,1116.76,68111110.69
170,16,2.657392,,4020903936,75866112,1.51,28.54,920.00,308.65,9.31,252.39,8.13,142331667.06,9801720.00,317.96,260.52,152133387.06
180,16,2.551563,,4782509696,90236032,1.87,35.36,613.28,311.87,10.18,252.36,8.11,169904990.51,11624126.00,322.05,260.47,181529116.51
190,16,3.552485,,5634681856,106314752,1.58,29.92,920.00,308.69,9.18,251.92,8.12,199141429.88,13711031.00,317.87,260.04,212852460.88
200,8,2.000759,,3291254208,62099136,1.64,31.03,920.00,800.03,22.78,254.18,8.25,117512556.10,8009890.00,822.81,262.43,125522446.10
210,8,3.130732,,3815538688,71991296,1.21,22.99,920.00,307.81,9.08,252.84,8.14,134926995.94,9291912.00,316.89,260.98,144218907.94
220,8,2.500770,,4392738368,82881856,1.75,33.14,613.28,311.95,10.76,251.65,8.10,156419284.78,10665507.00,322.71,259.75,167084791.78
230,8,3.303911,,5025397248,94818816,1.51,28.69,920.00,307.93,8.98,251.52,8.11,179667297.27,12212065.00,316.91,259.63,191879362.27
240,4,2.318426,,2858029664,53925088,1.22,23.25,920.00,733.27,24.60,883.53,8.33,106471448.36,6999900.00,757.87,891.86,113471348.36
250,4,2.192811,,3233634304,61011968,1.47,27.82,920.00,306.80,8.91,251.22,8.09,117649909.41,7879382.00,315.71,259.31,125529291.41
260,4,2.803991,,3640784544,68694048,1.29,24.49,920.00,312.56,9.79,253.42,8.14,132663405.59,8892288.00,322.35,261.56,141555693.59
270,4,2.745800,,4080752384,76995328,1.48,28.03,920.00,307.31,8.86,250.93,8.09,148660627.56,9932755.00,316.17,259.02,158593382.56
280,4,2.798156,,4554809824,85939808,1.62,30.70,920.00,797.36,22.73,254.33,8.21,167635767.83,11056940.00,820.09,262.54,178692707.83
290,4,3.464470,,5064228864,95551488,1.46,27.57,920.00,306.39,8.79,251.19,8.09,186373974.83,12301153.00,315.18,259.28,198675127.83
300,4,3.821346,,5610281504,105854368,1.46,27.69,920.00,308.72,9.42,253.06,8.09,204658691.74,13609303.00,318.14,261.15,218267994.74
310,2,2.144687,,3097119872,58436224,1.44,27.24,920.00,306.29,8.74,251.11,8.10,113152100.93,7507803.00,315.03,259.21,120659903.93
