N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
10,524288,2.876975,,14227079168,268435456,4.94,93.30,213.28,344.75,18.51,0,0,16151.00,39284.00,363.26,0,55435.00
20,32768,2.465152,,10128457728,191102976,4.10,77.52,274.24,292.60,10.47,281.11,280.92,172022.00,33200.00,303.07,562.03,205222.00
30,8192,2.030400,,9531031552,179830784,4.69,88.56,240.00,276.26,9.22,269.35,269.20,56276.00,27501.00,285.48,538.55,83777.00
40,4096,3.317525,,11912052736,224755712,3.59,67.74,320.00,532.10,18.14,262.47,262.21,1556416.00,139728.00,550.24,524.68,1696144.00
50,2048,2.470512,,12004098048,226492416,4.85,91.67,240.00,270.74,8.91,253.97,253.84,33151900.00,1807239.00,279.65,507.81,34959139.00
60,1024,2.922004,,10589118464,199794688,3.62,68.37,320.00,283.12,8.88,254.71,254.61,111170400.00,3088898.00,292.00,509.32,114259298.00
70,512,2.698042,,8532426752,160989184,3.16,59.66,384.00,268.16,8.59,258.10,258.05,135742110.00,4281498.00,276.75,516.15,140023608.00
80,256,2.481831,,6438721536,121485312,2.59,48.94,480.00,521.32,16.63,262.13,262.00,123322550.00,3133902.00,537.95,524.13,126456452.00
90,256,3.117864,,9246212096,174456832,2.96,55.95,384.00,272.35,9.30,258.17,258.03,190338870.00,5247194.00,281.65,516.20,195586064.00
100,128,2.326469,,6385046528,120472576,2.74,51.78,384.00,278.12,9.05,257.20,257.00,139692860.00,5341130.00,287.17,514.20,145033990.00
110,128,3.117213,,8545886208,161243136,2.73,51.72,384.00,285.08,9.19,256.03,255.83,190529060.00,7414844.00,294.27,511.86,197943904.00
120,64,2.368654,,5573164544,105154048,2.35,44.39,480.00,535.56,16.00,257.05,256.78,132456400.00,9308309.00,551.56,513.83,141764709.00
130,64,2.722175,,7113539584,134217728,2.61,49.30,480.00,287.45,9.16,254.30,254.07,164180710.00,11391243.00,296.61,508.37,175571953.00
140,64,3.400268,,8914420224,168196608,2.62,49.46,480.00,302.17,10.44,254.27,254.04,210600000.00,16946521.00,312.61,508.31,227546521.00
150,64,3.920765,,10996158464,207474688,2.80,52.91,384.00,301.15,9.01,253.27,253.12,257463100.00,21119899.00,310.16,506.39,278582999.00
160,16,2.074002,,3344776576,63108992,1.61,30.42,960.00,564.37,16.58,624.99,624.51,87001880.00,6754959.00,580.95,1249.50,93756839.00
170,32,2.827134,,8041807872,151732224,2.84,53.66,384.00,305.98,8.92,251.91,251.78,189748530.00,16059243.00,314.90,503.69,205807773.00
180,32,3.415142,,9565019392,180472064,2.79,52.84,384.00,306.61,8.92,252.00,251.84,226117900.00,18888184.00,315.53,503.84,245006084.00
190,16,2.003573,,5634681856,106314752,2.80,53.06,480.00,306.80,8.87,251.64,251.49,132902650.00,11242703.00,315.67,503.13,144145353.00
200,16,2.627157,,6582508416,124198272,2.50,47.27,480.00,523.30,15.44,251.86,251.68,161206360.00,12834816.00,538.74,503.54,174041176.00
210,16,2.673653,,7631077376,143982592,2.85,53.85,384.00,304.81,8.76,251.18,251.04,180454460.00,15205523.00,313.57,502.22,195659983.00
220,16,3.165491,,8785476736,165763712,2.77,52.36,384.00,307.52,8.79,251.13,250.96,207328500.00,17494450.00,316.31,502.09,224822950.00
230,16,3.560646,,10050794496,189637632,2.82,53.25,384.00,305.98,8.70,250.91,250.73,236313500.00,20005108.00,314.68,501.64,256318608.00
240,8,2.294240,,5716059328,107850176,2.48,47.00,480.00,505.06,15.43,270.97,270.81,137189150.00,11388763.00,520.49,541.78,148577913.00
250,8,2.247229,,6467268608,122023936,2.87,54.29,384.00,303.52,8.68,250.55,250.39,151749920.00,12860018.00,312.20,500.94,164609938.00
260,8,2.563052,,7281569088,137388096,2.84,53.60,384.00,305.76,8.94,250.71,250.51,171306490.00,14481329.00,314.70,501.22,185787819.00
