N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
10,2097152,2.514209,16 58982 10,13958643712,1073741824,5.54,427.06,43.76,.80,.16,0,0,133880.00,131495.00,.96,0,265375.00
20,262144,2.551181,16 29491 20,19874709504,1528823808,7.78,599.25,31.12,21.54,9.69,.16,.10,137034.00,133655.00,31.23,.26,270689.00
30,131072,3.789233,16 19661 30,37404803072,2877292544,9.87,759.33,24.48,21.19,8.88,17.09,8.06,200351.00,196836.00,30.07,25.15,397187.00
40,32768,2.803192,16 14746 40,23374594048,1798045696,8.33,641.42,29.20,34.61,8.60,18.56,8.52,146421.00,145105.00,43.21,27.08,291526.00
50,16384,2.486638,16 11796 50,23555211264,1811939328,9.47,728.66,25.52,34.02,8.43,18.05,8.38,129992.00,128441.00,42.45,26.43,258433.00
60,8192,2.364037,16 9830 60,20778647552,1598357504,8.78,676.11,27.44,33.62,8.35,18.57,8.29,125225.00,123395.00,41.97,26.86,248620.00
70,8192,3.484429,16 8426 70,33485750272,2575826944,9.60,739.23,25.20,33.37,8.28,19.31,8.25,182943.00,180408.00,41.65,27.56,363351.00
80,4096,2.771622,16 7373 80,25268944896,1943764992,9.11,701.30,26.64,33.44,8.24,21.59,8.22,239006.00,273607.00,41.68,29.81,512613.00
90,2048,2.025500,16 6554 90,18143510528,1395654656,8.95,689.03,27.04,33.23,8.21,23.12,8.19,1509029.06,1866033.00,41.44,31.31,3375062.06
100,2048,3.021154,16 5898 100,25058295808,1927561216,8.29,638.02,29.20,32.92,8.17,29.58,8.15,39363666.29,51548505.00,41.09,37.73,90912171.29
110,1024,2.474956,16 5362 110,16769286144,1289945088,6.77,521.19,36.00,32.84,8.16,32.31,8.11,92984331.61,110970944.00,41.00,40.42,203955275.61
120,1024,3.585455,16 4915 120,21872041984,1682464768,6.09,469.24,40.00,32.77,8.15,32.82,8.08,196884922.47,203403237.00,40.92,40.90,400288159.47
130,512,2.327875,16 4537 130,13958643712,1073741824,5.99,461.25,40.88,32.76,8.14,32.75,8.05,137420383.18,135989096.00,40.90,40.80,273409479.18
140,512,2.928387,16 4213 140,17492447232,1345572864,5.97,459.49,40.88,32.79,8.12,32.69,8.05,174360813.28,170873826.00,40.91,40.74,345234639.28
150,512,3.639093,16 3932 150,21577367552,1659797504,5.92,456.09,40.88,32.66,8.12,32.65,8.02,214647568.26,210645983.00,40.78,40.67,425293551.26
160,256,2.220461,16 3686 160,13126670336,1009743872,5.90,454.74,40.88,32.71,8.11,32.61,8.02,130399086.25,128029515.00,40.82,40.63,258428601.25
170,256,2.590246,16 3470 170,15780151296,1213857792,6.09,468.62,40.00,32.55,8.10,32.55,7.98,156391697.23,153787136.00,40.65,40.53,310178833.23
180,256,3.088738,16 3277 180,18769094656,1443776512,6.07,467.43,40.00,32.53,8.09,32.52,8.02,185732721.22,182749584.00,40.62,40.54,368482305.22
190,256,3.633223,16 3104 190,22113468416,1701036032,6.08,468.18,40.00,32.55,8.09,32.49,7.98,218519401.21,215227692.00,40.64,40.47,433747093.21
200,128,2.129426,16 2949 200,12916620288,993586176,6.06,466.59,40.00,32.47,8.08,32.47,8.00,127505672.20,125651564.00,40.55,40.47,253157236.20
210,128,2.467346,16 2809 210,14974189568,1151860736,6.06,466.84,40.00,32.45,8.08,32.44,8.00,147661436.19,145592060.00,40.53,40.44,293253496.19
220,128,2.837656,16 2681 220,17239426048,1326109696,6.07,467.32,40.00,32.45,8.07,32.41,7.97,169797093.18,167507796.00,40.52,40.38,337304889.18
230,128,3.214317,16 2564 230,19722313728,1517101056,6.13,471.98,40.00,32.45,8.07,32.40,7.99,194165989.18,191590914.00,40.52,40.39,385756903.18
240,128,3.697518,16 2458 240,22432836608,1725602816,6.06,466.69,40.00,32.57,8.07,32.39,8.00,220607986.17,217837072.00,40.64,40.39,438445058.17
250,64,2.096110,16 2359 250,12690489344,976191488,6.05,465.71,40.00,32.41,8.07,32.36,7.98,124760382.16,123197139.00,40.48,40.34,247957521.16
260,64,2.338743,16 2269 260,14288361984,1099104768,6.10,469.95,40.00,32.40,8.07,32.36,7.96,140322398.16,138643022.00,40.47,40.32,278965420.16
270,64,2.614809,16 2185 270,16015028224,1231925248,6.12,471.13,39.12,32.34,8.06,32.33,7.98,157231465.16,155374638.00,40.40,40.31,312606103.16
280,64,2.924447,16 2107 280,17875480064,1375036928,6.11,470.18,40.00,32.35,8.06,32.33,7.97,175361177.15,173373620.00,40.41,40.30,348734797.15
290,64,3.253781,16 2034 290,19874709504,1528823808,6.10,469.85,40.00,32.34,8.06,32.31,7.98,195057120.15,192715155.00,40.40,40.29,387772275.15
300,64,3.605375,16 1966 300,22017708544,1693669888,6.10,469.75,40.00,32.34,8.05,32.31,7.99,215799593.14,213422729.00,40.39,40.30,429222322.14
310,32,2.003057,16 1903 310,12154734592,934979584,6.06,466.77,40.00,32.34,8.05,32.30,7.98,119121843.14,117803058.00,40.39,40.28,236924901.14
320,32,2.199282,16 1843 320,13377491712,1029037824,6.07,467.89,40.00,32.39,8.05,32.27,7.88,131129548.14,129628040.00,40.44,40.15,260757588.14
330,32,2.402666,16 1787 330,14679621632,1129201664,6.10,469.97,40.00,32.35,8.05,32.27,7.94,143858424.14,142212214.00,40.40,40.21,286070638.14
340,32,2.631380,16 1735 340,16063620352,1235663104,6.10,469.58,40.00,32.34,8.05,32.26,7.87,157302773.13,155584984.00,40.39,40.13,312887757.13
350,32,2.863752,16 1685 350,17531983872,1348614144,6.12,470.92,40.00,32.34,8.05,32.25,7.92,171651221.13,169782899.00,40.39,40.17,341434120.13
360,32,3.127543,16 1638 360,19087208192,1468246784,6.10,469.45,40.00,32.35,8.04,32.23,7.88,186823882.13,184819129.00,40.39,40.11,371643011.13
370,32,3.381703,16 1594 370,20731789312,1594753024,6.13,471.58,39.12,32.38,8.04,32.26,7.88,202958681.13,200706720.00,40.42,40.14,403665401.13
380,32,3.703440,16 1552 380,22468223232,1728324864,6.06,466.67,40.00,32.48,8.04,32.27,7.90,220058305.14,217473728.00,40.52,40.17,437532033.14
390,16,2.001115,16 1512 390,12149502976,934577152,6.06,467.02,40.00,32.49,8.04,32.27,7.90,119049454.14,117590626.00,40.53,40.17,236640080.14
400,16,2.147666,16 1475 400,13113316736,1008716672,6.10,469.67,40.00,32.35,8.04,32.24,7.84,128555773.14,126898456.00,40.39,40.08,255454229.14
410,16,2.302944,16 1439 410,14126800896,1086676992,6.13,471.86,40.00,32.43,8.04,32.24,7.87,138590325.15,136686834.00,40.47,40.11,275277159.15
420,16,2.559204,16 1404 420,15191203456,1168554112,5.93,456.60,40.88,32.33,8.04,32.24,7.83,149008688.15,146967821.00,40.37,40.07,295976509.15
430,16,2.666574,16 1372 430,16307772416,1254444032,6.11,470.43,40.00,32.55,8.04,32.26,7.90,160532206.18,157749911.00,40.59,40.16,318282117.18
440,16,2.878667,16 1341 440,17477755776,1344442752,6.06,467.03,40.00,32.61,8.04,32.24,7.87,172085219.18,169059328.00,40.65,40.11,341144547.18
450,16,3.053376,16 1311 450,18702401536,1438646272,6.12,471.16,40.00,32.34,8.03,32.24,7.90,184467964.19,180879996.00,40.37,40.14,365347960.19
