,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
10,17.05,1311.53,CPU bound,17.05,1311.53,,1315.06,596.48,14.6,8.0,0.0,0.0,0.0,14.6 ,14.6,8.0,0.0,0.0,0.0,14.6 ,32.19,15.8,19.1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,17.05,1311.53,CPU bound,17.05,1311.53,,1314.52,784.02,14.6,8.0,3.6,0.0,0.0,14.6 ,14.6,8.0,3.0,0.0,0.0,14.6 ,24.49,13.5,13.0,3.6,0.0,0.0,20.08,9.12,29.20,0,0,0,0,0,0,19.87,9.12,28.99,0,0,0,0,0,0,16.00,8.00,24.00,0,0,0,0,0,0
30,17.05,1311.53,CPU bound,17.05,1311.53,,1315.06,938.29,14.6,8.0,3.4,0.0,0.0,14.6 ,14.6,8.0,3.0,0.0,0.0,14.6 ,20.46,10.4,10.1,3.7,0.0,0.0,21.04,8.72,29.76,0,0,0,0,0,0,18.37,8.62,26.99,0,0,0,0,0,0,16.00,8.00,24.00,0,0,0,0,0,0
40,11.78,906.15,0.31,12.53,963.84,0.33,1314.52,873.62,14.6,8.0,5.3,0.0,0.0,14.6 ,14.6,8.0,5.0,0.0,0.0,14.6 ,21.98,11.3,9.7,5.4,4.9,0.0,34.40,8.48,42.88,4.96,4.96,9.92,0,0,0,34.12,8.37,42.49,0,0,0,0,0,0,32.00,8.00,40.00,0,0,0,0,0,0
50,10.50,807.69,0.37,12.53,963.84,0.33,914.28,895.94,14.6,8.0,5.3,8.7,0.0,22.0 ,14.6,8.0,5.0,8.0,0.0,21.0 ,21.43,10.9,8.8,5.3,17.4,0.0,33.84,8.40,42.24,17.36,17.36,34.72,.08,0,.08,33.75,8.37,42.12,17.37,8.37,25.74,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
60,10.51,808.46,0.37,12.53,963.84,0.33,913.90,889.88,14.6,8.0,5.2,8.7,0.0,21.9 ,14.6,8.0,5.0,8.0,0.0,21.0 ,21.58,11.5,8.8,5.3,17.4,0.0,33.68,8.32,42.00,17.36,17.36,34.72,0,0,0,33.50,8.25,41.75,17.37,8.25,25.62,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
70,10.46,804.61,0.37,12.53,963.84,0.33,913.90,956.88,14.6,8.0,5.2,8.7,0.0,21.9 ,14.6,8.0,5.0,8.0,0.0,21.0 ,20.07,10.7,8.3,5.2,17.2,0.0,33.28,8.24,41.52,17.20,17.20,34.40,0,0,0,33.25,8.25,41.50,17.50,8.25,25.75,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
80,10.38,798.46,0.37,12.53,963.84,0.33,913.90,949.86,14.6,8.0,5.2,8.8,0.0,22.0 ,14.6,8.0,5.0,8.0,0.0,21.0 ,20.21,10.8,8.3,5.2,17.0,0.0,33.36,8.24,41.60,17.04,17.04,34.08,0,0,0,33.00,8.25,41.25,17.62,8.25,25.87,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
