N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
10,1048576,2.322716,10 10 10 16 58982 10,3758096384,536870912,1.61,231.13,83.60,0,0,0,0,0,0,0,0,0
20,131072,2.531406,20 20 20 16 29491 20,5350883328,764411904,2.11,301.97,61.28,0,0,0,0,0,0,0,0,0
30,32768,2.454526,30 30 30 16 19661 30,5035261952,719323136,2.04,293.05,65.68,0,0,0,0,0,0,0,0,0
40,16384,3.120330,40 40 40 16 14746 40,6293159936,899022848,2.01,288.11,65.68,0,0,0,0,0,0,0,0,0
50,8192,2.981258,50 50 50 16 11796 50,6341787648,905969664,2.12,303.88,61.28,0,0,0,0,0,0,0,0,0
60,4096,2.614697,60 60 60 16 9830 60,5594251264,799178752,2.13,305.64,61.28,0,0,0,0,0,0,0,0,0
70,2048,2.099179,70 70 70 16 8426 70,4507697152,643956736,2.14,306.76,61.28,0,0,0,0,0,0,0,0,0
80,2048,3.074122,80 80 80 16 7373 80,6803177472,971882496,2.21,316.14,59.28,0,0,0,0,0,0,0,0,0
90,1024,2.458731,90 90 90 16 6554 90,4884791296,697827328,1.98,283.81,65.68,0,0,0,0,0,0,0,0,0
100,1024,3.076333,100 100 100 16 5898 100,6746464256,963780608,2.19,313.28,59.28,0,0,0,0,0,0,0,0,0
110,512,2.387344,110 110 110 16 5362 110,4514807808,644972544,1.88,270.16,70.72,0,0,0,0,0,0,0,0,0
120,512,3.106314,120 120 120 16 4915 120,5888626688,841232384,1.89,270.81,68.08,0,0,0,0,0,0,0,0,0
130,256,2.004356,130 130 130 16 4537 130,3758096384,536870912,1.87,267.85,70.72,0,0,0,0,0,0,0,0,0
140,256,2.492598,140 140 140 16 4213 140,4709505024,672786432,1.88,269.91,70.72,0,0,0,0,0,0,0,0,0
150,256,3.169533,150 150 150 16 3932 150,5809291264,829898752,1.82,261.83,73.60,0,0,0,0,0,0,0,0,0
160,256,3.288251,160 160 160 16 3686 160,7068207104,1009743872,2.14,307.07,61.28,0,0,0,0,0,0,0,0,0
170,128,2.117419,170 170 170 16 3470 170,4248502272,606928896,2.00,286.63,65.68,0,0,0,0,0,0,0,0,0
180,128,2.309932,180 180 180 16 3277 180,5053217792,721888256,2.18,312.51,59.28,0,0,0,0,0,0,0,0,0
190,128,2.719386,190 190 190 16 3104 190,5953626112,850518016,2.18,312.75,59.28,0,0,0,0,0,0,0,0,0
200,128,3.171657,200 200 200 16 2949 200,6955103232,993586176,2.19,313.26,59.28,0,0,0,0,0,0,0,0,0
210,64,2.244229,210 210 210 16 2809 210,4031512576,575930368,1.79,256.62,73.60,0,0,0,0,0,0,0,0,0
220,64,2.135941,220 220 220 16 2681 220,4641383936,663054848,2.17,310.42,61.28,0,0,0,0,0,0,0,0,0
230,64,2.510218,230 230 230 16 2564 230,5309853696,758550528,2.11,302.18,63.44,0,0,0,0,0,0,0,0,0
240,64,2.824972,240 240 240 16 2458 240,6039609856,862801408,2.13,305.41,61.28,0,0,0,0,0,0,0,0,0
250,64,3.098748,250 250 250 16 2359 250,6833340416,976191488,2.20,315.02,59.28,0,0,0,0,0,0,0,0,0
260,64,3.567541,260 260 260 16 2269 260,7693733376,1099104768,2.15,308.08,61.28,0,0,0,0,0,0,0,0,0
270,32,1.999792,270 270 270 16 2185 270,4311738368,615962624,2.15,308.01,61.28,0,0,0,0,0,0,0,0,0
280,32,2.231153,280 280 280 16 2107 280,4812629248,687518464,2.15,308.14,61.28,0,0,0,0,0,0,0,0,0
290,32,2.453203,290 290 290 16 2034 290,5350883328,764411904,2.18,311.59,61.28,0,0,0,0,0,0,0,0,0
300,32,2.726577,300 300 300 16 1966 300,5927844608,846834944,2.17,310.58,61.28,0,0,0,0,0,0,0,0,0
310,32,3.110747,310 310 310 16 1903 310,6544857088,934979584,2.10,300.56,63.44,0,0,0,0,0,0,0,0,0
320,32,3.463570,320 320 320 16 1843 320,7203264768,1029037824,2.07,297.10,63.44,0,0,0,0,0,0,0,0,0
330,32,3.704820,330 330 330 16 1787 330,7904411648,1129201664,2.13,304.79,61.28,0,0,0,0,0,0,0,0,0
340,32,3.944930,340 340 340 16 1735 340,8649641728,1235663104,2.19,313.22,59.28,0,0,0,0,0,0,0,0,0
350,16,2.158625,350 350 350 16 1685 350,4720149504,674307072,2.18,312.37,59.28,0,0,0,0,0,0,0,0,0
360,16,2.349582,360 360 360 16 1638 360,5138863744,734123392,2.18,312.44,59.28,0,0,0,0,0,0,0,0,0
370,16,2.584977,370 370 370 16 1594 370,5581635584,797376512,2.15,308.46,61.28,0,0,0,0,0,0,0,0,0
380,16,2.952571,380 380 380 16 1552 380,6049137024,864162432,2.04,292.68,63.44,0,0,0,0,0,0,0,0,0
390,16,2.988820,390 390 390 16 1512 390,6542040064,934577152,2.18,312.68,59.28,0,0,0,0,0,0,0,0,0
400,16,3.294793,400 400 400 16 1475 400,7061016704,1008716672,2.14,306.15,61.28,0,0,0,0,0,0,0,0,0
410,16,3.706384,410 410 410 16 1439 410,7606738944,1086676992,2.05,293.18,63.44,0,0,0,0,0,0,0,0,0
420,8,3.346010,420 420 420 16 1404 420,4089939392,584277056,1.21,174.61,108.16,0,0,0,0,0,0,0,0,0
430,8,2.077897,430 430 430 16 1372 430,4390554112,627222016,2.11,301.85,63.44,0,0,0,0,0,0,0,0,0
440,8,2.249287,440 440 440 16 1341 440,4705549632,672221376,2.08,298.85,63.44,0,0,0,0,0,0,0,0,0
450,8,2.314729,450 450 450 16 1311 450,5035261952,719323136,2.17,310.75,61.28,0,0,0,0,0,0,0,0,0
460,8,2.466873,460 460 460 16 1282 460,5380027072,768575296,2.18,311.55,61.28,0,0,0,0,0,0,0,0,0
470,8,2.661398,470 470 470 16 1255 470,5740180992,820025856,2.15,308.11,61.28,0,0,0,0,0,0,0,0,0
480,8,2.888872,480 480 480 16 1229 480,6116059712,873722816,2.11,302.44,61.28,0,0,0,0,0,0,0,0,0
490,8,3.272902,490 490 490 16 1204 490,6507999232,929714176,1.98,284.06,65.68,0,0,0,0,0,0,0,0,0
500,8,3.199156,500 500 500 16 1180 500,6916335552,988047936,2.15,308.84,61.28,0,0,0,0,0,0,0,0,0
510,8,3.698571,510 510 510 16 1157 510,7341404672,1048772096,1.98,283.56,65.68,0,0,0,0,0,0,0,0,0
520,8,3.594890,520 520 520 16 1134 520,7783542592,1111934656,2.16,309.30,61.28,0,0,0,0,0,0,0,0,0
530,8,3.852431,530 530 530 16 1113 530,8243085312,1177583616,2.13,305.67,61.28,0,0,0,0,0,0,0,0,0
540,4,2.017277,540 540 540 16 1092 540,4360184416,622883488,2.16,308.77,61.28,0,0,0,0,0,0,0,0,0
550,4,2.164546,550 550 550 16 1072 550,4607864576,658266368,2.12,304.10,61.28,0,0,0,0,0,0,0,0,0
560,4,2.302620,560 560 560 16 1053 560,4864751136,694964448,2.11,301.81,63.44,0,0,0,0,0,0,0,0,0
570,4,2.396721,570 570 570 16 1035 570,5131012096,733001728,2.14,305.83,61.28,0,0,0,0,0,0,0,0,0
580,4,2.557723,580 580 580 16 1017 580,5406815456,772402208,2.11,301.98,61.28,0,0,0,0,0,0,0,0,0
590,4,2.673222,590 590 590 16 1000 590,5692329216,813189888,2.12,304.19,61.28,0,0,0,0,0,0,0,0,0
600,4,2.805716,600 600 600 16 983 600,5987721376,855388768,2.13,304.87,61.28,0,0,0,0,0,0,0,0,0
610,4,2.945231,610 610 610 16 967 610,6293159936,899022848,2.13,305.24,61.28,0,0,0,0,0,0,0,0,0
620,4,3.256631,620 620 620 16 951 620,6608812896,944116128,2.02,289.90,65.68,0,0,0,0,0,0,0,0,0
630,4,3.327785,630 630 630 16 936 630,6934848256,990692608,2.08,297.70,63.44,0,0,0,0,0,0,0,0,0
