N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
10,1048576,2.110872,,16106127360,536870912,7.62,254.33,76.80,1.94,.54,0,0,11962.00,29265.00,2.48,0,41227.00
20,131072,2.621827,,22932357120,764411904,8.74,291.55,68.56,21.55,9.60,0,0,13440.00,33241.00,31.15,0,46681.00
30,65536,3.708478,,43159388160,1438646272,11.63,387.93,50.48,21.89,8.90,0,0,19570.00,47759.00,30.79,0,67329.00
40,16384,2.603048,,26970685440,899022848,10.36,345.37,56.40,35.43,8.65,5.37,5.35,22910.00,39442.00,44.08,10.72,62352.00
50,8192,2.330392,,27179089920,905969664,11.65,388.75,50.48,34.66,8.46,17.01,16.98,22351.00,31680.00,43.12,33.99,54031.00
60,4096,2.131323,,23975362560,799178752,11.24,374.96,51.84,34.14,8.36,17.52,17.48,21204.00,33701.00,42.50,35.00,54905.00
70,4096,3.102026,,38637404160,1287913472,12.45,415.18,46.80,33.78,8.29,17.30,17.27,18160.00,42706.00,42.07,34.57,60866.00
80,2048,2.560588,,29156474880,971882496,11.38,379.55,51.84,33.75,8.25,17.16,17.12,15811.00,36037.00,42.00,34.28,51848.00
90,2048,3.562741,,41869639680,1395654656,11.74,391.73,49.20,33.45,8.22,17.02,16.99,62044.00,98367.00,41.67,34.01,160411.00
100,1024,2.436754,,28913418240,963780608,11.86,395.51,49.20,33.26,8.19,16.92,16.89,475906.00,550909.00,41.45,33.81,1026815.00
110,1024,3.054980,,38698352640,1289945088,12.66,422.24,46.80,33.13,8.17,16.88,16.85,4227104.00,5078043.00,41.30,33.73,9305147.00
120,512,2.142510,,25236971520,841232384,11.77,392.63,49.20,33.08,8.15,16.98,16.95,8545522.00,10294492.00,41.23,33.93,18840014.00
130,512,2.885780,,32212254720,1073741824,11.16,372.07,51.84,33.16,8.14,17.28,17.26,22399610.00,27123604.00,41.30,34.54,49523214.00
140,512,3.658694,,40367185920,1345572864,11.03,367.77,53.28,33.00,8.15,17.84,17.82,44102280.00,54320730.00,41.15,35.66,98423010.00
150,256,2.021380,,24896962560,829898752,12.31,410.55,48.00,32.91,8.12,18.67,18.65,38759270.00,48673038.00,41.03,37.32,87432308.00
160,256,2.816202,,30292316160,1009743872,10.75,358.54,54.80,34.08,8.13,20.03,20.02,61624920.00,79051750.00,42.21,40.05,140676670.00
170,256,2.985845,,36415733760,1213857792,12.19,406.53,48.00,32.80,8.12,22.04,22.03,92349190.00,118734010.00,40.92,44.07,211083200.00
180,256,3.948722,,43313295360,1443776512,10.96,365.62,53.28,32.81,8.10,24.02,24.01,122995500.00,151142730.00,40.91,48.03,274138230.00
190,128,2.087700,,25515540480,850518016,12.21,407.39,48.00,32.75,8.09,27.03,27.02,76114690.00,89619060.00,40.84,54.05,165733750.00
200,128,2.728832,,29807585280,993586176,10.92,364.10,53.28,32.80,8.13,29.23,29.23,89332750.00,104690740.00,40.93,58.46,194023490.00
210,128,2.829591,,34555822080,1151860736,12.21,407.07,48.00,32.68,8.09,31.05,31.04,103019700.00,121288160.00,40.77,62.09,224307860.00
220,128,3.886358,,39783290880,1326109696,10.23,341.21,58.16,32.98,8.31,31.94,31.93,117542450.00,139578780.00,41.29,63.87,257121230.00
230,128,3.796489,,45513031680,1517101056,11.98,399.60,49.20,32.80,8.08,32.31,32.31,135293230.00,159618620.00,40.88,64.62,294911850.00
240,64,2.550879,,25884042240,862801408,10.14,338.23,58.16,33.28,8.27,32.52,32.52,75846590.00,90773790.00,41.55,65.04,166620380.00
250,64,2.470923,,29285744640,976191488,11.84,395.07,49.20,32.78,8.08,32.53,32.52,86048240.00,102666390.00,40.86,65.05,188714630.00
260,64,2.923587,,32973143040,1099104768,11.27,375.94,51.84,33.71,8.13,32.53,32.52,97075200.00,115624710.00,41.84,65.05,212699910.00
270,64,3.080967,,36957757440,1231925248,11.99,399.84,49.20,33.15,8.10,32.50,32.50,108023500.00,129485720.00,41.25,65.00,237509220.00
280,64,3.577745,,41251107840,1375036928,11.52,384.32,50.48,33.07,8.13,32.49,32.49,120869770.00,144486500.00,41.20,64.98,265356270.00
290,64,3.818970,,45864714240,1528823808,12.00,400.32,49.20,36.99,8.10,32.47,32.47,135709760.00,160604030.00,45.09,64.94,296313790.00
300,32,2.225328,,25405048320,846834944,11.41,380.54,51.84,37.21,8.21,32.48,32.47,74078160.00,88990760.00,45.42,64.95,163068920.00
310,32,2.415320,,28049387520,934979584,11.60,387.09,50.48,33.36,8.20,32.45,32.44,81675280.00,98243740.00,41.56,64.89,179919020.00
320,32,2.954946,,30871134720,1029037824,10.44,348.23,56.40,35.87,8.36,32.46,32.45,92611860.00,108096820.00,44.23,64.91,200708680.00
330,32,2.936990,,33876049920,1129201664,11.53,384.47,50.48,36.77,8.32,32.43,32.42,101220270.00,118598310.00,45.09,64.85,219818580.00
340,32,3.275677,,37069893120,1235663104,11.31,377.22,51.84,34.78,8.25,32.43,32.42,108769490.00,129775690.00,43.03,64.85,238545180.00
350,32,3.521371,,40458424320,1348614144,11.48,382.97,50.48,35.40,8.34,32.41,32.40,118626840.00,141585480.00,43.74,64.81,260212320.00
360,16,2.047844,,22023701760,734123392,10.75,358.48,54.80,37.60,8.50,32.41,32.39,63804310.00,77161980.00,46.10,64.80,140966290.00
370,16,2.140115,,23921295360,797376512,11.17,372.58,53.28,37.51,8.56,32.42,32.40,70314000.00,83790030.00,46.07,64.82,154104030.00
380,16,2.451875,,25924872960,864162432,10.57,352.44,54.80,39.67,8.42,32.42,32.40,76133690.00,90792590.00,48.09,64.82,166926280.00
390,16,2.616040,,28037314560,934577152,10.71,357.24,54.80,37.92,8.53,32.40,32.37,81936680.00,98245350.00,46.45,64.77,180182030.00
400,16,2.831231,,30261500160,1008716672,10.68,356.27,54.80,50.47,8.81,32.39,32.37,89057980.00,105961940.00,59.28,64.76,195019920.00
410,16,3.034883,,32600309760,1086676992,10.74,358.05,54.80,46.32,9.01,32.40,32.37,95800600.00,114203390.00,55.33,64.77,210003990.00
420,16,3.231136,,35056623360,1168554112,10.84,361.65,54.80,47.18,8.87,32.38,32.36,103106570.00,122723120.00,56.05,64.74,225829690.00
430,8,1.908890,,18816660480,627222016,9.85,328.57,60.00,41.47,8.87,32.39,32.36,55571080.00,66000220.00,50.34,64.75,121571300.00
440,8,2.076302,,20166641280,672221376,9.70,323.75,60.00,40.12,8.90,32.38,32.35,59440910.00,70717580.00,49.02,64.73,130158490.00
450,8,2.123532,,21579694080,719323136,10.15,338.73,58.16,50.61,9.05,32.39,32.35,63950460.00,75707810.00,59.66,64.74,139658270.00
460,8,2.436129,,23057258880,768575296,9.46,315.48,61.92,74.72,9.26,32.38,32.34,67362770.00,80919640.00,83.98,64.72,148282410.00
470,8,2.436713,,24600775680,820025856,10.09,336.52,58.16,60.17,8.97,32.37,32.34,72116800.00,86285460.00,69.14,64.71,158402260.00
480,8,2.823595,,26211684480,873722816,9.28,309.43,64.00,37.12,8.88,32.36,32.33,79566610.00,91967040.00,46.00,64.69,171533650.00
490,8,3.084871,,27891425280,929714176,9.04,301.37,66.16,52.32,9.16,32.36,32.32,84656330.00,97822680.00,61.48,64.68,182479010.00
500,4,1.723569,,14820719040,494023968,8.59,286.62,68.56,61.20,9.65,32.38,32.32,44667010.00,52156110.00,70.85,64.70,96823120.00
510,4,2.480803,,15731581440,524386048,6.34,211.37,96.00,77.85,10.52,32.39,32.31,47302080.00,55474380.00,88.37,64.70,102776460.00
520,4,2.121279,,16679019840,555967328,7.85,262.08,76.80,80.61,9.82,32.42,32.35,49983800.00,58735920.00,90.43,64.77,108719720.00
530,4,2.087294,,17663754240,588791808,8.46,282.08,71.04,81.86,9.60,32.38,32.31,53504770.00,62183030.00,91.46,64.69,115687800.00
540,4,2.255814,,18686504640,622883488,8.28,276.12,71.04,81.75,9.20,32.38,32.31,56682180.00,65824350.00,90.95,64.69,122506530.00
550,4,2.257663,,19747991040,658266368,8.74,291.56,68.56,81.67,9.58,32.36,32.30,59627890.00,69445450.00,91.25,64.66,129073340.00
560,4,2.446907,,20848933440,694964448,8.51,284.01,68.56,81.91,9.40,32.36,32.29,64834950.00,73382310.00,91.31,64.65,138217260.00
570,4,2.574332,,21990051840,733001728,8.54,284.73,68.56,81.64,9.51,32.36,32.30,67304390.00,77397750.00,91.15,64.66,144702140.00
580,4,2.633515,,23172066240,772402208,8.79,293.29,66.16,82.10,9.34,32.35,32.31,71234340.00,81356870.00,91.44,64.66,152591210.00
590,4,2.752136,,24395696640,813189888,8.86,295.47,66.16,81.85,9.47,32.34,32.29,76479270.00,85704950.00,91.32,64.63,162184220.00
600,4,2.783347,,25661663040,855388768,9.21,307.32,64.00,81.60,9.25,32.33,32.29,79016330.00,90056860.00,90.85,64.62,169073190.00
610,4,2.891861,,26970685440,899022848,9.32,310.87,64.00,81.41,9.14,32.32,32.28,85553110.00,94615550.00,90.55,64.60,180168660.00
620,2,2.182047,,14161741920,472058064,6.48,216.33,91.36,82.03,11.17,32.39,32.26,44660960.00,50322670.00,93.20,64.65,94983630.00
630,2,2.152762,,14860389120,495346304,6.90,230.09,87.20,82.09,10.71,32.39,32.26,48019410.00,52776650.00,92.80,64.65,100796060.00
640,2,2.127959,,15581644320,519388144,7.32,244.07,83.44,82.23,9.62,32.38,32.31,49453200.00,54875020.00,91.85,64.69,104328220.00
650,2,2.189303,,16325867520,544195584,7.45,248.56,80.00,81.83,10.13,32.36,32.25,52747350.00,57790080.00,91.96,64.61,110537430.00
660,2,2.299350,,17093418720,569780624,7.43,247.80,80.00,81.86,10.05,32.35,32.25,55661290.00,60453090.00,91.91,64.60,116114380.00
670,2,2.396291,,17884657920,596155264,7.46,248.78,80.00,81.75,9.75,32.35,32.26,58084500.00,63187910.00,91.50,64.61,121272410.00
680,2,2.470153,,18699945120,623331504,7.56,252.34,76.80,81.77,9.83,32.35,32.25,61824630.00,66056430.00,91.60,64.60,127881060.00
690,2,2.524017,,19539640320,651321344,7.73,258.04,76.80,81.69,9.86,32.34,32.25,65531600.00,68946540.00,91.55,64.59,134478140.00
700,2,3.047247,,20404103520,680136784,6.69,223.19,87.20,82.25,10.02,32.36,32.25,68198590.00,72225040.00,92.27,64.61,140423630.00
710,2,2.841714,,21293694720,709789824,7.49,249.77,80.00,81.76,9.80,32.33,32.24,72471790.00,75179270.00,91.56,64.57,147651060.00
720,2,3.008687,,22208773920,740292464,7.37,246.05,80.00,81.85,10.05,32.33,32.23,76400150.00,78441990.00,91.90,64.56,154842140.00
730,2,3.020785,,23149701120,771656704,7.66,255.44,76.80,81.69,10.09,32.33,32.24,80620090.00,81694520.00,91.78,64.57,162314610.00
740,2,3.372394,,24116836320,803894544,7.14,238.37,83.44,81.89,9.54,32.33,32.23,84645180.00,85231140.00,91.43,64.56,169876320.00
750,2,3.285566,,25110539520,837017984,7.64,254.75,76.80,81.65,9.82,32.33,32.24,89071250.00,88607040.00,91.47,64.57,177678290.00
760,2,3.483906,,26131170720,871039024,7.50,250.01,80.00,81.76,9.60,32.32,32.23,93805350.00,92250940.00,91.36,64.55,186056290.00
770,2,3.577685,,27179089920,905969664,7.59,253.22,76.80,83.62,9.56,32.30,32.23,98684480.00,95665010.00,93.18,64.53,194349490.00
780,2,3.815172,,28254657120,941821904,7.40,246.86,80.00,81.72,10.20,32.32,32.23,103827670.00,99717580.00,91.92,64.55,203545250.00
790,2,3.791462,,29358232320,978607744,7.74,258.10,76.80,81.82,9.19,32.31,32.22,108780750.00,103524220.00,91.01,64.53,212304970.00
800,2,3.900850,,30490175520,1016339184,7.81,260.54,76.80,82.71,9.32,32.30,32.22,114048210.00,107308800.00,92.03,64.52,221357010.00
810,2,3.955899,,31650846720,1055028224,8.00,266.69,73.84,81.63,9.39,32.30,32.23,119920950.00,111388190.00,91.02,64.53,231309140.00
820,2,4.085856,,32840605920,1094686864,8.03,267.91,73.84,81.54,9.51,32.29,32.21,126669500.00,115556390.00,91.05,64.50,242225890.00
830,2,4.352650,,34059813120,1135327104,7.82,260.83,76.80,81.60,9.65,32.30,32.22,132214650.00,119968590.00,91.25,64.52,252183240.00
840,2,4.410914,,35308828320,1176960944,8.00,266.82,73.84,81.57,9.65,32.29,32.21,138493280.00,124235240.00,91.22,64.50,262728520.00
850,2,4.545043,,36588011520,1219600384,8.04,268.33,73.84,81.53,9.52,32.28,32.21,144868910.00,128735480.00,91.05,64.49,273604390.00
860,2,4.692304,,37897722720,1263257424,8.07,269.21,73.84,81.51,9.67,32.29,32.22,152123680.00,133321530.00,91.18,64.51,285445210.00
870,2,5.077055,,39238321920,1307944064,7.72,257.61,76.80,81.49,9.30,32.28,32.21,158696790.00,138038800.00,90.79,64.49,296735590.00
880,2,5.017256,,40610169120,1353672304,8.09,269.80,73.84,81.57,9.66,32.28,32.21,166051130.00,142859940.00,91.23,64.49,308911070.00
890,2,5.247657,,42013624320,1400454144,8.00,266.87,73.84,81.58,9.44,32.28,32.21,173065150.00,147792720.00,91.02,64.49,320857870.00
900,2,5.564638,,43449047520,1448301584,7.80,260.26,76.80,81.75,9.50,32.29,32.22,180259620.00,152834110.00,91.25,64.51,333093730.00
910,2,5.518988,,44916798720,1497226624,8.13,271.28,73.84,81.51,9.65,32.27,32.20,188936020.00,157992230.00,91.16,64.47,346928250.00
920,2,5.863314,,46417237920,1547241264,7.91,263.88,73.84,81.58,9.72,32.27,32.20,196606450.00,163265300.00,91.30,64.47,359871750.00
930,2,5.925839,,47950725120,1598357504,8.09,269.72,73.84,81.49,9.40,32.27,32.19,205014600.00,168658300.00,90.89,64.46,373672900.00
940,2,6.160224,,49517620320,1650587344,8.03,267.94,73.84,81.47,9.49,32.27,32.20,213313000.00,174155820.00,90.96,64.47,387468820.00
950,2,6.242045,,51118283520,1703942784,8.18,272.97,71.04,81.56,9.63,32.26,32.18,222240900.00,179767980.00,91.19,64.44,402008880.00
960,2,6.880011,,52753074720,1758435824,7.66,255.58,76.80,82.58,9.70,32.26,32.18,231109900.00,185548410.00,92.28,64.44,416658310.00
970,2,6.665565,,54422353920,1814078464,8.16,272.15,71.04,81.43,9.45,31.95,31.87,237895800.00,191387830.00,90.88,63.82,429283630.00
980,2,7.020514,,56126481120,1870882704,7.99,266.48,73.84,81.47,9.54,32.25,32.17,246792500.00,197379740.00,91.01,64.42,444172240.00
990,2,7.118292,,57865816320,1928860544,8.12,270.97,73.84,81.42,9.46,32.32,32.24,254218800.00,203497240.00,90.88,64.56,457716040.00
1000,2,7.566764,,59640719520,1988023984,7.88,262.73,73.84,81.67,9.73,32.32,32.24,262086100.00,209733320.00,91.40,64.56,471819420.00
1010,2,7.546287,,61451550720,2048385024,8.14,271.44,71.04,81.52,9.42,32.32,32.24,268676400.00,216076300.00,90.94,64.56,484752700.00
1020,2,9.225690,,63298669920,2109955664,6.86,228.70,87.20,83.30,9.82,32.33,32.23,276846300.00,223121140.00,93.12,64.56,499967440.00
1030,2,9.202965,,65182437120,2172747904,7.08,236.09,83.44,82.15,9.89,32.32,32.23,283367600.00,229598090.00,92.04,64.55,512965690.00
1040,2,8.353907,,67103212320,2236773744,8.03,267.75,73.84,81.69,9.44,32.31,32.23,291268200.00,235941870.00,91.13,64.54,527210070.00
1050,2,8.522562,,69061355520,2302045184,8.10,270.11,73.84,81.39,9.21,32.31,32.23,297850200.00,242816670.00,90.60,64.54,540666870.00
1060,2,8.751600,,71057226720,2368574224,8.11,270.64,73.84,81.49,9.20,32.31,32.23,306458500.00,249863680.00,90.69,64.54,556322180.00
1070,2,9.011812,,73091185920,2436372864,8.11,270.35,73.84,81.63,9.59,32.30,32.23,313578300.00,256985350.00,91.22,64.53,570563650.00
1080,2,9.719210,,75163593120,2505453104,7.73,257.78,76.80,81.52,9.61,32.30,32.22,321369600.00,264300350.00,91.13,64.52,585669950.00
1090,2,9.460881,,77274808320,2575826944,8.16,272.26,71.04,81.43,9.30,32.31,32.23,330106900.00,271681640.00,90.73,64.54,601788540.00
1100,2,9.802362,,79425191520,2647506384,8.10,270.08,73.84,81.46,9.57,32.31,32.23,337700600.00,279242970.00,91.03,64.54,616943570.00
1110,2,11.287631,,81615102720,2720503424,7.23,241.01,80.00,81.49,9.85,32.32,32.23,346460300.00,287436930.00,91.34,64.55,633897230.00
1120,2,10.728877,,83844901920,2794830064,7.81,260.49,73.84,82.51,9.67,32.28,32.21,355770500.00,294850730.00,92.18,64.49,650621230.00
1130,2,10.909366,,86114949120,2870498304,7.89,263.12,73.84,81.47,9.53,32.30,32.23,363279200.00,302758250.00,91.00,64.53,666037450.00
1140,2,10.896683,,88425604320,2947520144,8.11,270.49,73.84,81.44,9.44,32.30,32.23,373629600.00,310857900.00,90.88,64.53,684487500.00
1150,2,11.662925,,90777227520,3025907584,7.78,259.44,76.80,81.73,9.64,32.28,32.21,383015000.00,319237040.00,91.37,64.49,702252040.00
1160,2,11.221086,,93170178720,3105672624,8.30,276.77,71.04,81.45,9.56,32.29,32.21,393084700.00,327525270.00,91.01,64.50,720609970.00
1170,2,11.676776,,95604817920,3186827264,8.18,272.91,71.04,81.40,9.48,32.29,32.22,404723700.00,336088460.00,90.88,64.51,740812160.00
1180,2,12.131169,,98081505120,3269383504,8.08,269.50,73.84,81.35,9.52,32.30,32.22,414871800.00,344801000.00,90.87,64.52,759672800.00
1190,2,12.069722,,100600600320,3353353344,8.33,277.83,71.04,81.42,9.58,32.29,32.22,424136800.00,353645070.00,91.00,64.51,777781870.00
1200,2,12.761297,,103162463520,3438748784,8.08,269.46,73.84,81.54,9.41,32.28,32.21,435767700.00,362652510.00,90.95,64.49,798420210.00
1210,2,12.830411,,105767454720,3525581824,8.24,274.78,71.04,81.38,9.36,32.29,32.22,449574500.00,371785930.00,90.74,64.51,821360430.00
1220,2,13.351516,,108415933920,3613864464,8.11,270.67,71.04,81.62,9.32,32.28,32.21,461599300.00,381082030.00,90.94,64.49,842681330.00
1230,2,13.256746,,111108261120,3703608704,8.38,279.37,71.04,81.40,9.39,32.28,32.20,474183800.00,390547620.00,90.79,64.48,864731420.00
1240,2,13.721946,,113844796320,3794826544,8.29,276.55,71.04,81.39,9.15,32.28,32.20,487810300.00,400156430.00,90.54,64.48,887966730.00
1250,2,14.005107,,116625899520,3887529984,8.32,277.57,71.04,81.35,9.67,32.28,32.20,501840500.00,409910650.00,91.02,64.48,911751150.00
1260,2,14.534218,,119451930720,3981731024,8.21,273.95,71.04,81.36,9.65,32.28,32.20,514968000.00,419847100.00,91.01,64.48,934815100.00
1270,2,14.687826,,122323249920,4077441664,8.32,277.60,71.04,81.36,9.54,32.29,32.21,529858500.00,429925680.00,90.90,64.50,959784180.00
1280,2,17.123147,,125240217120,4174673904,7.31,243.80,80.00,85.41,9.62,32.30,32.21,546891700.00,440979620.00,95.03,64.51,987871320.00
1290,2,15.495922,,128203192320,4273439744,8.27,275.77,71.04,81.37,9.46,32.28,32.20,560898600.00,450578290.00,90.83,64.48,1011476890.00
1300,2,16.036196,,131212535520,4373751184,8.18,272.74,71.04,81.35,9.49,32.28,32.20,576162100.00,461149680.00,90.84,64.48,1037311780.00
1310,2,16.143603,,134268606720,4475620224,8.31,277.23,71.04,81.36,9.55,32.27,32.20,591670200.00,471862910.00,90.91,64.47,1063533110.00
1320,2,16.830133,,137371765920,4579058864,8.16,272.07,71.04,81.38,8.98,32.28,32.20,608651400.00,482777680.00,90.36,64.48,1091429080.00
1330,2,17.125405,,140522373120,4684079104,8.20,273.51,71.04,81.39,9.52,32.27,32.20,624592000.00,493841940.00,90.91,64.47,1118433940.00
1340,2,18.394380,,143720788320,4790692944,7.81,260.44,73.84,81.62,9.51,32.29,32.20,643730500.00,505472500.00,91.13,64.49,1149203000.00
1350,,,,,,,,,,,,,,,,,
1360,,,,,,,,,,,,,,,,,
1370,,,,,,,,,,,,,,,,,
1380,,,,,,,,,,,,,,,,,
1390,,,,,,,,,,,,,,,,,
1400,,,,,,,,,,,,,,,,,
1410,,,,,,,,,,,,,,,,,
1420,,,,,,,,,,,,,,,,,
1430,,,,,,,,,,,,,,,,,
1440,,,,,,,,,,,,,,,,,
1450,,,,,,,,,,,,,,,,,
