,Roofline,,,,,,,,ECM,,,,,,,,,,,,,Data Transfer,,,,,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,L1-L2 (B/LUP),,,,L2-L3 (B/LUP),,,,L3-MEM (B/LUP),,,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,access,load,evict,total,access,load,evict,total,access,load,evict,total
10,,,,8.21,1172.85714285714,,1173.33333333333,290.48,,,,,,,12,15,0,0,0,15,60.59,70.56,0,0,0,0,0,0,0,0,0.16,0.16,0.32
20,8.21,1172.85714285714,0.25,8.21,1172.85714285714,,838.095238095238,301.54,12,15,7,0,0,22,12,15,6,0,0,21,58.37,500.08,8.88,20.08,28.96,20.08,0,0,0,0,0.08,0.08,0.16
30,3.65,521.428571428571,0.29,4.5,642.857142857143,0.29,651.851851851852,275.01,12,15,5,7,0,27,12,15,6,6,0,27,64,270.64,8.72,20.8,29.52,20.8,6.88,15.76,22.64,15.76,0.16,0.16,0.32
40,4.5,642.857142857143,0.29,4.5,642.857142857143,0.29,567.741935483871,286.99,12,15,10,6,0,31,12,15,10,6,0,31,61.33,254.88,8.48,34.32,42.8,34.32,8.4,18.32,26.72,18.32,0.08,0.16,0.24
50,4.5,642.857142857143,0.29,4.5,642.857142857143,0.29,567.741935483871,284.2,12,15,10,6,0,31,12,15,10,6,0,31,61.93,231.04,8.4,34,42.4,34,8.32,17.92,26.24,17.92,0.16,0.16,0.32
60,4.5,642.857142857143,0.29,4.5,642.857142857143,0.29,567.741935483871,287.89,12,15,10,6,0,31,12,15,10,6,0,31,61.13,230.88,8.32,33.6,41.92,33.6,8.24,18.32,26.56,18.32,0.08,0.16,0.24
70,4.5,642.857142857143,0.29,4.5,642.857142857143,0.29,567.741935483871,292.21,12,15,10,6,0,31,12,15,10,6,0,31,60.23,211.92,8.24,33.36,41.6,33.36,8.24,19.44,27.68,19.44,0.08,0.16,0.24
80,4.5,642.857142857143,0.29,4.5,642.857142857143,0.29,567.741935483871,295.86,12,15,10,6,0,31,12,15,10,6,0,31,59.49,216.72,8.24,33.92,42.16,33.92,8.16,20.32,28.48,20.32,0.16,0.16,0.32
90,4.5,642.857142857143,0.17,4.5,642.857142857143,0.29,567.741935483871,293.21,12,15,10,6,0,31,12,15,10,6,0,31,60.03,205.92,8.24,33.12,41.36,33.12,8.16,24.08,32.24,24.08,0.08,0.08,0.16
