,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
10,20.31,2031.00,CPU bound,20.31,2031.00,,2021.09,821.39,9.1,8.0,0.0,0.0,0.0,9.1 ,9.1,8.0,0.0,0.0,0.0,9.1 ,22.40,11.0,11.4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,14.89,1489.00,0.35,17.97,1797.00,0.42,1314.28,785.66,9.1,8.0,7.2,0.0,0.0,15.2 ,9.1,8.0,6.0,0.0,0.0,14.0 ,23.42,10.8,12.2,7.3,0.0,0.0,20.00,9.12,29.12,0,0,0,0,0,0,19.87,9.12,28.99,0,0,0,0,0,0,16.00,8.00,24.00,0,0,0,0,0,0
30,11.65,1165.00,0.37,13.14,1314.00,0.42,920.00,787.52,9.1,8.0,6.8,6.8,0.0,21.5 ,9.1,8.0,6.0,6.0,0.0,20.0 ,23.36,7.9,8.1,7.2,6.9,0.0,20.24,8.72,28.96,18.96,8.56,27.52,0,0,0,18.37,8.62,26.99,18.37,8.62,26.99,0,0,0,16.00,8.00,24.00,16.00,8.00,24.00,0,0,0
40,8.65,865.00,0.24,9.20,920.00,0.25,766.33,700.76,9.1,8.0,10.6,6.5,0.0,25.2 ,9.1,8.0,10.0,6.0,0.0,24.0 ,26.26,9.2,9.4,10.7,6.7,0.0,34.32,8.48,42.80,18.32,8.48,26.80,0,0,0,34.12,8.37,42.49,17.75,8.37,26.12,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
50,8.73,873.00,0.24,9.20,920.00,0.25,766.66,741.39,9.1,8.0,10.5,6.4,0.0,25.0 ,9.1,8.0,10.0,6.0,0.0,24.0 ,24.82,7.7,7.6,10.5,6.5,0.0,33.76,8.40,42.16,17.84,8.32,26.16,0,0,0,33.75,8.37,42.12,17.37,8.37,25.74,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
60,8.81,881.00,0.24,9.20,920.00,0.25,766.66,727.45,9.1,8.0,10.4,6.4,0.0,24.9 ,9.1,8.0,10.0,6.0,0.0,24.0 ,25.29,8.7,8.6,10.5,6.8,0.0,33.52,8.32,41.84,18.88,8.24,27.12,0,0,0,33.50,8.25,41.75,17.37,8.25,25.62,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
70,8.87,887.00,0.24,9.20,920.00,0.25,766.66,768.88,9.1,8.0,10.4,6.4,0.0,24.8 ,9.1,8.0,10.0,6.0,0.0,24.0 ,23.93,7.6,7.4,10.4,7.9,0.0,33.28,8.24,41.52,23.28,8.24,31.52,0,0,0,33.25,8.25,41.50,17.50,8.25,25.75,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
80,8.92,892.00,0.24,9.20,920.00,0.25,766.66,697.00,9.1,8.0,10.3,6.5,0.0,24.8 ,9.1,8.0,10.0,6.0,0.0,24.0 ,26.40,8.4,8.2,10.4,9.3,0.0,33.36,8.24,41.60,28.88,8.16,37.04,0,0,0,33.00,8.25,41.25,17.62,8.25,25.87,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
