N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
10,,,10 10 10 16 33704 10,,,,,,0,0,0,0,0,0,0,0,0
20,,,20 20 20 16 16852 20,,,,,,0,0,0,0,0,0,0,0,0
30,,,30 30 30 16 11234 30,,,,,,0,0,0,0,0,0,0,0,0
40,,,40 40 40 16 8426 40,,,,,,0,0,0,0,0,0,0,0,0
50,,,50 50 50 16 6740 50,,,,,,0,0,0,0,0,0,0,0,0
60,,,60 60 60 16 5617 60,,,,,,0,0,0,0,0,0,0,0,0
70,,,70 70 70 16 4814 70,,,,,,0,0,0,0,0,0,0,0,0
80,,,80 80 80 16 4213 80,,,,,,0,0,0,0,0,0,0,0,0
90,,,90 90 90 16 3744 90,,,,,,0,0,0,0,0,0,0,0,0
100,,,100 100 100 16 3370 100,,,,,,0,0,0,0,0,0,0,0,0
110,,,110 110 110 16 3064 110,,,,,,0,0,0,0,0,0,0,0,0
120,,,120 120 120 16 2808 120,,,,,,0,0,0,0,0,0,0,0,0
130,,,130 130 130 16 2592 130,,,,,,0,0,0,0,0,0,0,0,0
140,,,140 140 140 16 2407 140,,,,,,0,0,0,0,0,0,0,0,0
150,,,150 150 150 16 2246 150,,,,,,0,0,0,0,0,0,0,0,0
160,,,160 160 160 16 2106 160,,,,,,0,0,0,0,0,0,0,0,0
170,,,170 170 170 16 1982 170,,,,,,0,0,0,0,0,0,0,0,0
180,,,180 180 180 16 1872 180,,,,,,0,0,0,0,0,0,0,0,0
190,,,190 190 190 16 1773 190,,,,,,0,0,0,0,0,0,0,0,0
200,,,200 200 200 16 1685 200,,,,,,0,0,0,0,0,0,0,0,0
210,,,210 210 210 16 1604 210,,,,,,0,0,0,0,0,0,0,0,0
220,,,220 220 220 16 1532 220,,,,,,0,0,0,0,0,0,0,0,0
230,,,230 230 230 16 1465 230,,,,,,0,0,0,0,0,0,0,0,0
240,,,240 240 240 16 1404 240,,,,,,0,0,0,0,0,0,0,0,0
250,,,250 250 250 16 1348 250,,,,,,0,0,0,0,0,0,0,0,0
260,,,260 260 260 16 1296 260,,,,,,0,0,0,0,0,0,0,0,0
270,,,270 270 270 16 1248 270,,,,,,0,0,0,0,0,0,0,0,0
280,,,280 280 280 16 1203 280,,,,,,0,0,0,0,0,0,0,0,0
290,,,290 290 290 16 1162 290,,,,,,0,0,0,0,0,0,0,0,0
300,,,300 300 300 16 1123 300,,,,,,0,0,0,0,0,0,0,0,0
310,,,310 310 310 16 1087 310,,,,,,0,0,0,0,0,0,0,0,0
320,,,320 320 320 16 1053 320,,,,,,0,0,0,0,0,0,0,0,0
330,,,330 330 330 16 1021 330,,,,,,0,0,0,0,0,0,0,0,0
340,,,340 340 340 16 991 340,,,,,,0,0,0,0,0,0,0,0,0
350,,,350 350 350 16 962 350,,,,,,0,0,0,0,0,0,0,0,0
360,,,360 360 360 16 936 360,,,,,,0,0,0,0,0,0,0,0,0
370,,,370 370 370 16 910 370,,,,,,0,0,0,0,0,0,0,0,0
380,,,380 380 380 16 886 380,,,,,,0,0,0,0,0,0,0,0,0
390,,,390 390 390 16 864 390,,,,,,0,0,0,0,0,0,0,0,0
400,,,400 400 400 16 842 400,,,,,,0,0,0,0,0,0,0,0,0
410,,,410 410 410 16 822 410,,,,,,0,0,0,0,0,0,0,0,0
420,,,420 420 420 16 802 420,,,,,,0,0,0,0,0,0,0,0,0
430,,,430 430 430 16 783 430,,,,,,0,0,0,0,0,0,0,0,0
440,,,440 440 440 16 766 440,,,,,,0,0,0,0,0,0,0,0,0
450,,,450 450 450 16 748 450,,,,,,0,0,0,0,0,0,0,0,0
460,,,460 460 460 16 732 460,,,,,,0,0,0,0,0,0,0,0,0
470,,,470 470 470 16 717 470,,,,,,0,0,0,0,0,0,0,0,0
480,,,480 480 480 16 702 480,,,,,,0,0,0,0,0,0,0,0,0
490,,,490 490 490 16 687 490,,,,,,0,0,0,0,0,0,0,0,0
500,,,500 500 500 16 674 500,,,,,,0,0,0,0,0,0,0,0,0
510,,,510 510 510 16 660 510,,,,,,0,0,0,0,0,0,0,0,0
520,,,520 520 520 16 648 520,,,,,,0,0,0,0,0,0,0,0,0
530,,,530 530 530 16 635 530,,,,,,0,0,0,0,0,0,0,0,0
540,,,540 540 540 16 624 540,,,,,,0,0,0,0,0,0,0,0,0
550,,,550 550 550 16 612 550,,,,,,0,0,0,0,0,0,0,0,0
560,,,560 560 560 16 601 560,,,,,,0,0,0,0,0,0,0,0,0
570,,,570 570 570 16 591 570,,,,,,0,0,0,0,0,0,0,0,0
580,,,580 580 580 16 581 580,,,,,,0,0,0,0,0,0,0,0,0
590,,,590 590 590 16 571 590,,,,,,0,0,0,0,0,0,0,0,0
600,,,600 600 600 16 561 600,,,,,,0,0,0,0,0,0,0,0,0
610,,,610 610 610 16 552 610,,,,,,0,0,0,0,0,0,0,0,0
620,,,620 620 620 16 543 620,,,,,,0,0,0,0,0,0,0,0,0
630,,,630 630 630 16 534 630,,,,,,0,0,0,0,0,0,0,0,0
640,,,640 640 640 16 526 640,,,,,,0,0,0,0,0,0,0,0,0
650,,,650 650 650 16 518 650,,,,,,0,0,0,0,0,0,0,0,0
660,,,660 660 660 16 510 660,,,,,,0,0,0,0,0,0,0,0,0
670,,,670 670 670 16 503 670,,,,,,0,0,0,0,0,0,0,0,0
