,Roofline,,,,,,,,ECM,,,,,,,,,,,,,Data Transfer,,,,,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,L1-L2 (B/LUP),,,,L2-L3 (B/LUP),,,,L3-MEM (B/LUP),,,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,access,evict,load,total,access,evict,load,total,access,evict,load,total
10,,,,9.97,766.923076923077,,766.666666666667,247,,,,,,,24,14,0,0,0,24,74.5,93.22,0,0,0,0,0,0,0,0,0,0.08,0.08
20,9.97,766.923076923077,,9.97,766.923076923077,,766.666666666667,476.32,24,14,6,0,0,24,24,14,6,0,0,24,38.63,284.16,10.24,26,36.24,26,0,0,0,0,0,0.08,0.08
30,8.41,646.923076923077,0.23,8.41,646.923076923077,0.23,541.176470588235,437.03,24,14,14,7,0,35,24,14,14,6,0,34,42.1,326.48,9.28,50,59.28,50,7.92,20.56,28.48,20.56,0,0.08,0.08
40,8.32,640,0.19,8.41,646.923076923077,0.23,541.176470588235,457.53,24,14,16.7,8,0,38.7,24,14,14,6,0,34,40.22,240.8,8.96,54.72,63.68,54.72,8.88,20.72,29.6,20.72,0,0.08,0.08
50,8.41,646.923076923077,0.23,8.41,646.923076923077,0.23,541.176470588235,473.08,24,14,14,6,0,34,24,14,14,6,0,34,38.89,274.56,8.72,53.2,61.92,53.2,8.72,19.92,28.64,19.92,0,0.08,0.08
60,8.41,646.923076923077,0.23,8.41,646.923076923077,0.23,541.176470588235,481.76,24,14,14,5.2,0,33.2,24,14,14,6,0,34,38.19,228.88,8.72,52.4,61.12,52.4,8.56,19.92,28.48,19.92,0,0.08,0.08
70,8.41,646.923076923077,0.23,8.41,646.923076923077,0.23,541.176470588235,508.07,24,14,14,4,0,32,24,14,14,6,0,34,36.22,254.32,8.48,51.52,60,51.52,8.48,31.76,40.24,31.76,0,0,0
80,8.28,636.923076923077,0.27,7.09,545.384615384615,0.23,438.095238095238,471.39,24,14,14,12,0,40,24,14,14,14,0,42,39.03,223.36,8.48,51.6,60.08,51.6,8.48,38.64,47.12,38.64,0,0.08,0.08
90,7.09,545.384615384615,0.23,7.09,545.384615384615,0.23,438.095238095238,469.67,24,14,14,14,0,42,24,14,14,14,0,42,39.18,243.52,8.4,50.88,59.28,50.88,8.4,49.6,58,49.6,0,0.08,0.08
100,4.87,374.615384615385,0.27,7.09,545.384615384615,0.23,438.095238095238,487.43,24,14,14,12,0,40,24,14,14,14,0,42,37.75,220.08,8.32,50.56,58.88,50.56,8.32,51.04,59.36,51.04,0.24,0.32,0.56
110,6.3,484.615384615385,0.21,7.09,545.384615384615,0.23,438.095238095238,471.6,24,14,14,15.8,0,43.8,24,14,14,14,0,42,39.02,236.8,8.32,50.4,58.72,50.4,8.32,50.64,58.96,50.64,1.76,2.48,4.24
120,7.09,545.384615384615,0.23,7.09,545.384615384615,0.23,327.985739750446,401.92,24,14,14,14,14.1,56.1,24,14,14,14,14.1,56.1,45.78,218,8.32,50.16,58.48,50.16,8.24,50.32,58.56,50.32,5.36,8.48,13.84
130,7.09,545.384615384615,0.23,7.09,545.384615384615,0.23,327.985739750446,349.29,24,14,14,14,14.5,56.5,24,14,14,14,14.1,56.1,52.68,232.16,8.32,50.4,58.72,50.4,8.24,50.08,58.32,50.08,7.76,14.56,22.32
140,7.09,545.384615384615,0.23,7.09,545.384615384615,0.23,327.985739750446,345.04,24,14,14,14,14.1,56.1,24,14,14,14,14.1,56.1,53.33,216.56,8.24,49.92,58.16,49.92,8.24,49.92,58.16,49.92,8.48,18,26.48
150,7.09,545.384615384615,0.23,7.09,545.384615384615,0.23,327.985739750446,337.17,24,14,14,14,14.1,56.1,24,14,14,14,14.1,56.1,54.57,228.88,8.24,49.84,58.08,49.84,8.16,49.76,57.92,49.76,8.24,16.96,25.2
160,7.09,545.384615384615,0.23,7.09,545.384615384615,0.23,327.985739750446,325.29,24,14,14,14,14.1,56.1,24,14,14,14,14.1,56.1,56.57,215.44,8.32,50.72,59.04,50.72,8.16,49.68,57.84,49.68,8.24,17.04,25.28
170,7.09,545.384615384615,0.23,7.09,545.384615384615,0.23,327.985739750446,342.29,24,14,14,14,8.2,50.2,24,14,14,14,14.1,56.1,53.76,226.32,8.16,49.52,57.68,49.52,8.16,49.52,57.68,49.52,8.24,16.96,25.2
180,7.09,545.384615384615,0.23,7.09,545.384615384615,0.23,327.985739750446,345.97,24,14,14,14,14.1,56.1,24,14,14,14,14.1,56.1,53.18,214.56,8.16,49.52,57.68,49.52,8.16,49.44,57.6,49.44,8.24,16.88,25.12
190,7.09,545.384615384615,0.23,7.09,545.384615384615,0.23,327.985739750446,344.83,24,14,14,14,14.1,56.1,24,14,14,14,14.1,56.1,53.36,224.4,8.16,49.44,57.6,49.44,8.08,49.36,57.44,49.36,8.24,16.88,25.12
200,7.09,545.384615384615,0.23,7.09,545.384615384615,0.23,327.985739750446,347.29,24,14,14,14,14.1,56.1,24,14,14,14,14.1,56.1,52.98,213.92,8.16,49.36,57.52,49.36,8.16,49.28,57.44,49.28,8.16,16.8,24.96
210,7.09,545.384615384615,0.23,7.09,545.384615384615,0.23,327.985739750446,348.64,24,14,14,14,8.2,50.2,24,14,14,14,14.1,56.1,52.78,222.8,8.16,49.28,57.44,49.28,8.08,49.2,57.28,49.2,8.16,16.8,24.96
220,6.75,519.230769230769,0.42,7.09,545.384615384615,0.23,327.985739750446,347.41,24,14,14,14,19.5,61.5,24,14,14,14,14.1,56.1,52.96,213.36,8.16,49.36,57.52,49.36,8.16,49.2,57.36,49.2,8.16,16.8,24.96
230,7.09,545.384615384615,0.23,7.09,545.384615384615,0.23,327.985739750446,347.29,24,14,14,14,14.1,56.1,24,14,14,14,14.1,56.1,52.98,220.8,8.16,49.12,57.28,49.12,8.08,49.12,57.2,49.12,8.16,16.72,24.88
240,7.09,545.384615384615,0.23,7.09,545.384615384615,0.23,327.985739750446,345.44,24,14,14,14,14.1,56.1,24,14,14,14,14.1,56.1,53.27,227.52,8.24,49.44,57.68,49.44,8,49.04,57.04,49.04,8.16,16.72,24.88
250,2.92,224.615384615385,0.2,7.09,545.384615384615,0.23,327.985739750446,346.21,24,14,14,14,37.5,79.5,24,14,14,14,14.1,56.1,53.15,219.76,8.32,49.44,57.76,49.44,8.08,49.04,57.12,49.04,8.16,16.72,24.88
260,2.59,199.230769230769,0.18,7.09,545.384615384615,0.23,327.985739750446,342.18,24,14,14,14,42.2,84.2,24,14,14,14,14.1,56.1,53.77,226,8.32,50.56,58.88,50.56,8,49.04,57.04,49.04,8.16,16.72,24.88
270,7.09,545.384615384615,0.23,7.09,545.384615384615,0.23,327.985739750446,343.88,24,14,14,14,12.6,54.6,24,14,14,14,14.1,56.1,53.51,218.88,8.16,52.8,60.96,52.8,8.08,48.96,57.04,48.96,8.16,16.72,24.88
280,7.09,545.384615384615,0.23,7.09,545.384615384615,0.23,327.985739750446,348.16,24,14,14,14,18.4,60.4,24,14,14,14,14.1,56.1,52.85,224.72,8.16,50.56,58.72,50.56,8,48.96,56.96,48.96,8.16,16.64,24.8
290,7.09,545.384615384615,0.23,7.09,545.384615384615,0.23,327.985739750446,350.1,24,14,14,14,14.1,56.1,24,14,14,14,14.1,56.1,52.56,218.08,8.16,49.28,57.44,49.28,8.08,48.88,56.96,48.88,8.16,16.72,24.88
300,7.09,545.384615384615,0.23,7.09,545.384615384615,0.23,327.985739750446,348.17,24,14,14,14,14.1,56.1,24,14,14,14,14.1,56.1,52.85,223.6,8.16,49.6,57.76,49.6,8,48.88,56.88,48.88,8.16,16.72,24.88
310,7.09,545.384615384615,0.23,7.09,545.384615384615,0.23,327.985739750446,350.09,24,14,14,14,14.1,56.1,24,14,14,14,14.1,56.1,52.56,217.44,8.16,49.44,57.6,49.44,8.08,48.88,56.96,48.88,8.16,16.64,24.8
320,7.09,545.384615384615,0.23,7.09,545.384615384615,0.23,327.985739750446,333.92,24,14,14,14,14.1,56.1,24,14,14,14,14.1,56.1,55.1,222.56,8.32,57.52,65.84,57.52,8,48.88,56.88,48.88,8.16,16.72,24.88
330,7.09,545.384615384615,0.23,7.09,545.384615384615,0.23,327.985739750446,350.51,24,14,14,14,12.5,54.5,24,14,14,14,14.1,56.1,52.49,216.88,8.24,50.24,58.48,50.24,8,48.8,56.8,48.8,8.16,16.72,24.88
