,Roofline,,,,,,,,ECM,,,,,,,,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
10,13.87,924.66,,13.87,924.66,,924.22,230.44,19.9,14.0,0.0,0.0,0.0,19.9 ,19.9,14.0,0.0,0.0,0.0,19.9 ,79.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,13.87,924.66,,13.87,924.66,,920.00,483.11,19.9,14.0,8.7,0.0,0.0,22.7 ,19.9,14.0,6.0,0.0,0.0,20.0 ,38.09,25.68,10.00,35.68,0,0,0,0,0,0,24.87,10.00,34.87,0,0,0,0,0,0,16.00,8.00,24.00,0,0,0,0,0,0
30,8.63,575.33,0.23,9.85,656.66,0.27,540.94,392.31,19.9,14.0,16.0,7.6,0.0,37.6 ,19.9,14.0,14.0,6.0,0.0,34.0 ,46.90,48.80,9.28,58.08,20.80,8.48,29.28,0,0,0,54.62,9.25,63.87,21.25,9.25,30.50,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
40,8.73,582.00,0.24,9.85,656.66,0.27,540.94,424.36,19.9,14.0,15.8,7.2,0.0,37.0 ,19.9,14.0,14.0,6.0,0.0,34.0 ,43.36,54.80,8.96,63.76,20.72,8.96,29.68,0,0,0,54.25,8.87,63.12,19.75,8.87,28.62,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
50,8.94,596.00,0.24,9.85,656.66,0.27,541.17,446.48,19.9,14.0,15.4,6.9,0.0,36.3 ,19.9,14.0,14.0,6.0,0.0,34.0 ,41.21,53.20,8.72,61.92,21.20,8.72,29.92,0,0,0,53.00,8.75,61.75,18.87,8.75,27.62,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
60,9.11,607.33,0.25,9.85,656.66,0.27,541.17,442.63,19.9,14.0,15.2,6.8,0.0,36.0 ,19.9,14.0,14.0,6.0,0.0,34.0 ,41.57,52.40,8.72,61.12,21.76,8.56,30.32,0,0,0,52.00,8.62,60.62,18.87,8.62,27.49,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
70,9.21,614.00,0.25,9.85,656.66,0.27,540.94,476.54,19.9,14.0,15.0,6.9,0.0,35.8 ,19.9,14.0,14.0,6.0,0.0,34.0 ,38.61,51.68,8.48,60.16,29.92,8.48,38.40,0,0,0,51.50,8.50,60.00,19.00,8.50,27.50,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
80,7.90,526.66,0.27,7.97,531.33,0.27,438.09,435.95,19.9,14.0,14.9,14.1,0.0,43.0 ,19.9,14.0,14.0,14.0,0.0,42.0 ,42.21,51.84,8.48,60.32,45.20,8.40,53.60,0,0,0,51.00,8.37,59.37,48.00,8.37,56.37,0,0,0,48.00,8.00,56.00,48.00,8.00,56.00,0,0,0
90,7.89,526.00,0.27,7.97,531.33,0.27,437.90,450.49,19.9,14.0,14.8,14.1,0.0,42.9 ,19.9,14.0,14.0,14.0,0.0,42.0 ,40.84,50.72,8.40,59.12,49.04,8.40,57.44,0,0,0,50.62,8.37,58.99,48.25,8.37,56.62,0,0,0,48.00,8.00,56.00,48.00,8.00,56.00,0,0,0
100,7.61,507.33,0.26,7.97,531.33,0.27,438.09,469.29,19.9,14.0,14.7,14.7,0.0,43.3 ,19.9,14.0,14.0,14.0,0.0,42.0 ,39.21,50.40,8.32,58.72,50.88,8.32,59.20,.72,.64,1.36,50.37,8.37,58.74,50.37,8.37,58.74,0,0,0,48.00,8.00,56.00,48.00,8.00,56.00,0,0,0
110,7.64,509.33,0.26,7.97,531.33,0.27,314.39,393.43,19.9,14.0,14.6,14.6,17.9,61.2 ,19.9,14.0,14.0,14.0,16.5,58.5 ,46.77,50.16,8.32,58.48,50.48,8.24,58.72,7.44,5.76,13.20,50.12,8.25,58.37,50.12,8.25,58.37,16.25,9.87,26.12,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
120,7.67,511.33,0.26,7.97,531.33,0.27,314.52,341.63,19.9,14.0,14.5,14.5,17.3,60.4 ,19.9,14.0,14.0,14.0,16.5,58.5 ,53.86,50.00,8.32,58.32,50.16,8.24,58.40,15.36,8.24,23.60,49.87,8.25,58.12,49.87,8.25,58.12,16.87,8.37,25.24,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
