N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
10,2097152,2.832039,L2 10 10 10 16 307 10,2952790016,134217728,1.04,47.38,460.00,0,0,0,0,0,0,0,0,0
20,262144,3.064539,L2 20 20 20 16 153 20,15825108992,719323136,5.16,234.72,80.00,0,0,0,0,0,0,0,0,0
30,65536,2.656434,L2 30 30 30 16 102 30,19931332608,905969664,7.50,341.04,55.68,0,0,0,0,0,0,0,0,0
40,32768,2.946354,L2 40 40 40 16 76 40,28334096384,1287913472,9.61,437.11,42.72,0,0,0,0,0,0,0,0,0
50,16384,2.773326,L2 50 50 50 16 61 50,30704402432,1395654656,11.06,503.24,36.80,0,0,0,0,0,0,0,0,0
60,8192,2.212110,L2 60 60 60 16 51 60,28378791936,1289945088,12.82,583.12,32.24,0,0,0,0,0,0,0,0,0
70,8192,3.381815,L2 70 70 70 16 43 70,47244640256,2147483648,13.96,635.00,29.20,0,0,0,0,0,0,0,0,0
80,4096,2.500846,L2 80 80 80 16 38 80,36515545088,1659797504,14.59,663.69,28.24,0,0,0,0,0,0,0,0,0
90,4096,3.628804,L2 90 90 90 16 34 90,53409742848,2427715584,14.71,669.01,27.84,0,0,0,0,0,0,0,0,0
100,2048,2.383461,L2 100 100 100 16 30 100,37422792704,1701036032,15.69,713.68,25.84,0,0,0,0,0,0,0,0,0
110,2048,3.532901,L2 110 110 110 16 27 110,50681872384,2303721472,14.34,652.07,28.24,0,0,0,0,0,0,0,0,0
120,1024,2.757573,L2 120 120 120 16 25 120,33376223232,1517101056,12.10,550.15,34.00,0,0,0,0,0,0,0,0,0
130,512,2.123025,L2 130 130 130 16 23 130,21476212736,976191488,10.11,459.81,40.88,0,0,0,0,0,0,0,0,0
140,512,2.752986,L2 140 140 140 16 21 140,27102355456,1231925248,9.84,447.48,41.76,0,0,0,0,0,0,0,0,0
150,512,3.430561,L2 150 150 150 16 20 150,33634123776,1528823808,9.80,445.64,41.76,0,0,0,0,0,0,0,0,0
160,256,2.071846,L2 160 160 160 16 19 160,20569550848,934979584,9.92,451.27,41.76,0,0,0,0,0,0,0,0,0
170,256,2.430940,L2 170 170 170 16 18 170,24842436608,1129201664,10.21,464.51,40.00,0,0,0,0,0,0,0,0,0
180,256,2.922179,L2 180 180 180 16 17 180,29669511168,1348614144,10.14,461.50,40.88,0,0,0,0,0,0,0,0,0
190,256,3.420088,L2 190 190 190 16 16 190,35084566528,1594753024,10.25,466.28,40.00,0,0,0,0,0,0,0,0,0
200,128,2.021979,L2 200 200 200 16 15 200,20560697344,934577152,10.16,462.20,40.88,0,0,0,0,0,0,0,0,0
210,128,2.383712,L2 210 210 210 16 14 210,23906893824,1086676992,10.02,455.87,40.88,0,0,0,0,0,0,0,0,0
220,128,2.688788,L2 220 220 220 16 13 220,27597768704,1254444032,10.26,466.54,40.00,0,0,0,0,0,0,0,0,0
230,128,3.070097,L2 230 230 230 16 13 230,31650217984,1438646272,10.30,468.59,40.00,0,0,0,0,0,0,0,0,0
240,128,3.493434,L2 240 240 240 16 12 240,36081137664,1640051712,10.32,469.46,40.00,0,0,0,0,0,0,0,0,0
250,64,2.001245,L2 250 250 250 16 12 250,20453711872,929714176,10.21,464.56,40.88,0,0,0,0,0,0,0,0,0
260,64,2.387035,L2 260 260 260 16 12 250,23072986112,1048772096,9.66,439.36,42.72,0,0,0,0,0,0,0,0,0
270,64,2.694095,L2 270 270 270 16 12 250,25906839552,1177583616,9.61,437.09,42.72,0,0,0,0,0,0,0,0,0
280,64,3.166846,L2 280 280 280 16 12 250,28963720192,1316532736,9.14,415.72,44.80,0,0,0,0,0,0,0,0,0
290,64,3.467687,L2 290 290 290 16 12 250,32252076032,1466003456,9.30,422.76,43.76,0,0,0,0,0,0,0,0,0
300,64,3.910152,L2 300 300 300 16 12 250,35780355072,1626379776,9.15,415.93,44.80,0,0,0,0,0,0,0,0,0
310,32,2.156767,L2 310 310 310 16 12 250,19778502656,899022848,9.16,416.83,44.80,0,0,0,0,0,0,0,0,0
