,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
10,13.49,613.18,CPU bound,13.49,613.18,,612.53,219.65,30.0,22.2,0.0,0.0,0.0,30.0 ,30.0,22.2,0.0,0.0,0.0,30.0 ,83.77,35.1,50.4,0.0,0.0,0.1,0,0,0,0,0,0,.08,0,.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,13.49,613.18,CPU bound,13.49,613.18,,612.53,229.79,30.0,22.2,11.1,0.0,0.0,33.3 ,30.0,22.2,6.0,0.0,0.0,30.0 ,80.07,45.0,42.7,12.1,0.0,0.1,37.04,11.36,48.40,0,0,0,.08,0,.08,32.75,11.62,44.37,0,0,0,0,0,0,16.00,8.00,24.00,0,0,0,0,0,0
30,8.78,399.09,0.24,11.19,508.63,0.31,397.74,257.32,30.0,22.2,23.0,7.8,0.0,53.0 ,30.0,22.2,18.0,6.0,0.0,46.2 ,71.51,30.6,26.0,23.3,8.0,0.1,83.20,10.08,93.28,23.20,8.88,32.08,.08,0,.08,81.87,10.00,91.87,21.37,9.87,31.24,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
40,9.33,424.09,0.25,11.19,508.63,0.31,397.74,210.94,30.0,22.2,21.6,7.9,0.0,51.7 ,30.0,22.2,18.0,6.0,0.0,46.2 ,87.23,36.5,30.4,21.8,8.4,0.1,77.60,9.52,87.12,24.24,9.44,33.68,.08,.08,.16,76.87,9.37,86.24,22.12,9.37,31.49,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
50,9.71,441.36,0.26,11.19,508.63,0.31,397.74,260.16,30.0,22.2,20.8,7.4,0.0,50.4 ,30.0,22.2,18.0,6.0,0.0,46.2 ,70.72,30.3,24.1,20.8,10.7,0.1,74.24,9.12,83.36,33.84,9.12,42.96,.08,0,.08,74.00,9.12,83.12,20.62,9.12,29.74,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
60,9.93,451.36,0.27,11.19,508.63,0.31,397.74,229.47,30.0,22.2,20.3,7.3,0.0,49.8 ,30.0,22.2,18.0,6.0,0.0,46.2 ,80.18,34.0,27.3,20.5,14.3,0.1,72.80,9.04,81.84,48.40,8.88,57.28,.08,0,.08,72.25,8.87,81.12,20.37,8.87,29.24,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
70,10.13,460.45,0.28,9.03,410.45,0.31,315.73,258.12,30.0,22.2,19.9,15.8,0.0,57.9 ,30.0,22.2,18.0,18.0,0.0,58.2 ,71.28,30.3,23.5,19.9,19.9,0.1,70.96,8.80,79.76,70.96,8.72,79.68,.08,0,.08,70.87,8.75,79.62,54.25,8.75,63.00,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
80,8.28,376.36,0.28,9.03,410.45,0.31,315.73,231.27,30.0,22.2,19.6,19.6,0.0,61.5 ,30.0,22.2,18.0,18.0,0.0,58.2 ,79.56,33.0,25.9,20.4,19.8,0.1,72.96,8.80,81.76,70.64,8.64,79.28,.08,0,.08,69.87,8.62,78.49,69.87,8.62,78.49,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
