N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
10,1048576,3.856116,L3 10 10 10 16 54067 10,28454158336,536870912,7.37,139.22,141.52,0,0,0,0,0,0,0,0,0
20,65536,2.665251,L3 20 20 20 16 27033 20,20256915456,382205952,7.59,143.40,131.36,0,0,0,0,0,0,0,0,0
30,32768,3.939228,L3 30 30 30 16 18022 30,38124126208,719323136,9.67,182.60,102.16,0,0,0,0,0,0,0,0,0
40,8192,2.794324,L3 40 40 40 16 13517 40,23824105472,449511424,8.52,160.86,122.64,0,0,0,0,0,0,0,0,0
50,4096,2.417737,L3 50 50 50 16 10813 50,24008196096,452984832,9.92,187.35,102.16,0,0,0,0,0,0,0,0,0
60,2048,2.268324,L3 60 60 60 16 9011 60,21178236928,399589376,9.33,176.15,108.16,0,0,0,0,0,0,0,0,0
70,2048,3.349320,L3 70 70 70 16 7724 70,34129707008,643956736,10.18,192.26,96.80,0,0,0,0,0,0,0,0,0
80,1024,2.719287,L3 80 80 80 16 6758 80,25754886144,485941248,9.46,178.70,108.16,0,0,0,0,0,0,0,0,0
90,512,2.120242,L3 90 90 90 16 6007 90,18492424192,348913664,8.72,164.56,114.96,0,0,0,0,0,0,0,0,0
100,512,2.621973,L3 100 100 100 16 5407 100,25540186112,481890304,9.74,183.78,102.16,0,0,0,0,0,0,0,0,0
110,512,3.320315,L3 110 110 110 16 4915 110,34183544832,644972544,10.29,194.24,96.80,0,0,0,0,0,0,0,0,0
120,256,2.279019,L3 120 120 120 16 4505 120,22292658176,420616192,9.78,184.55,102.16,0,0,0,0,0,0,0,0,0
130,256,3.198426,L3 130 130 130 16 4159 130,28454158336,536870912,8.89,167.85,114.96,0,0,0,0,0,0,0,0,0
140,128,2.037769,L3 140 140 140 16 3862 140,17828840448,336393216,8.74,165.07,114.96,0,0,0,0,0,0,0,0,0
150,128,2.156733,L3 150 150 150 16 3604 150,21992316928,414949376,10.19,192.39,96.80,0,0,0,0,0,0,0,0,0
160,128,2.794817,L3 160 160 160 16 3379 160,26758212608,504871936,9.57,180.64,108.16,0,0,0,0,0,0,0,0,0
170,128,3.141895,L3 170 170 170 16 3180 170,32167231488,606928896,10.23,193.17,96.80,0,0,0,0,0,0,0,0,0
180,128,3.849788,L3 180 180 180 16 3004 180,38260077568,721888256,9.93,187.51,102.16,0,0,0,0,0,0,0,0,0
190,64,2.179498,L3 190 190 190 16 2846 190,22538727424,425259008,10.33,195.11,96.80,0,0,0,0,0,0,0,0,0
200,64,2.619476,L3 200 200 200 16 2703 200,26330033664,496793088,10.05,189.65,102.16,0,0,0,0,0,0,0,0,0
210,64,2.943208,L3 210 210 210 16 2575 210,30524309504,575930368,10.36,195.68,96.80,0,0,0,0,0,0,0,0,0
220,64,3.522372,L3 220 220 220 16 2457 220,35141906944,663054848,9.97,188.23,102.16,0,0,0,0,0,0,0,0,0
230,64,3.875742,L3 230 230 230 16 2351 230,40203177984,758550528,10.37,195.71,96.80,0,0,0,0,0,0,0,0,0
240,32,2.350130,L3 240 240 240 16 2253 240,22864237312,431400704,9.72,183.56,102.16,0,0,0,0,0,0,0,0,0
250,32,2.497180,L3 250 250 250 16 2163 250,25869074432,488095744,10.35,195.45,96.80,0,0,0,0,0,0,0,0,0
260,32,2.888976,L3 260 260 260 16 2079 260,29126276352,549552384,10.07,190.22,102.16,0,0,0,0,0,0,0,0,0
270,32,3.139084,L3 270 270 270 16 2002 270,32646019072,615962624,10.39,196.22,96.80,0,0,0,0,0,0,0,0,0
280,32,3.573116,L3 280 280 280 16 1931 280,36438478592,687518464,10.19,192.41,96.80,0,0,0,0,0,0,0,0,0
290,32,3.914198,L3 290 290 290 16 1864 290,40513830912,764411904,10.34,195.29,96.80,0,0,0,0,0,0,0,0,0
300,16,2.221161,L3 300 300 300 16 1802 300,22441126016,423417472,10.10,190.62,102.16,0,0,0,0,0,0,0,0,0
310,16,2.393006,L3 310 310 310 16 1744 310,24776958976,467489792,10.35,195.35,96.80,0,0,0,0,0,0,0,0,0
320,16,2.779503,L3 320 320 320 16 1689 320,27269502336,514518912,9.80,185.10,102.16,0,0,0,0,0,0,0,0,0
330,16,2.894603,L3 330 330 330 16 1638 330,29923844096,564600832,10.33,195.05,96.80,0,0,0,0,0,0,0,0,0
340,16,3.211154,L3 340 340 340 16 1590 340,32745072256,617831552,10.19,192.40,102.16,0,0,0,0,0,0,0,0,0
