,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
10,22.11,417.16,CPU bound,22.11,417.16,0.6,416.68,188.83,44.1,44,0,0,0,44.1,44.1,44,0,0,0,44.1,97.44,43.3,63.3,0,0,0.1,0,0,0,0,0,0,0.08,0.08,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,22.11,417.16,CPU bound,22.11,417.16,0.6,367.52,171.15,44.1,44,7.2,0,0,51.2,44.1,44,6,0,0,50,107.51,53.9,68.2,7.2,0,0.1,19.76,8.88,28.64,0,0,0,0.08,0.08,0.16,19.87,9,28.87,0,0,0,0,0,0,16,8,24,0,0,0,0,0,0
30,22.11,417.16,CPU bound,22.11,417.16,0.6,328.14,198.49,44.1,44,6.8,6.8,0,57.5,44.1,44,6,6,0,56,92.7,40.7,48.5,7.5,5.7,0.1,21.28,8.72,30,15.68,7.28,22.96,0.08,0.08,0.16,18.5,8.62,27.12,18.5,8.62,27.12,0,0,0,16,8,24,16,8,24,0,0,0
40,22.11,417.16,CPU bound,22.11,417.16,0.6,306.26,176.39,44.1,44,10.9,6.5,0,61.4,44.1,44,10,6,0,60,104.32,47,54.9,10.9,6.7,0.1,35.04,8.48,43.52,18.24,8.48,26.72,0.08,0.08,0.16,35,8.37,43.37,17.75,8.37,26.12,0,0,0,32,8,40,16,8,24,0,0,0
50,22.11,417.16,CPU bound,22.11,417.16,0.6,306.26,174.42,44.1,44,10.7,6.5,0,61.1,44.1,44,10,6,0,60,105.49,40.6,46.2,10.7,6.7,0.1,34.4,8.4,42.8,18.32,8.32,26.64,0.08,0.08,0.16,34.37,8.37,42.74,17.5,8.37,25.87,0,0,0,32,8,40,16,8,24,0,0,0
60,22.11,417.16,CPU bound,22.11,417.16,0.6,306.26,188.73,44.1,44,10.6,6.4,0,61,44.1,44,10,6,0,60,97.49,45,50.8,10.6,6.6,0.1,34.08,8.32,42.4,18,8.24,26.24,0.08,0.08,0.16,34,8.25,42.25,17.37,8.25,25.62,0,0,0,32,8,40,16,8,24,0,0,0
70,22.11,417.16,CPU bound,22.11,417.16,0.6,306.26,203.24,44.1,44,10.5,6.4,0,60.9,44.1,44,10,6,0,60,90.53,40.8,45.2,10.5,7.3,0.1,33.68,8.24,41.92,21.12,8.24,29.36,0.08,0.08,0.16,33.62,8.25,41.87,17.5,8.25,25.75,0,0,0,32,8,40,16,8,24,0,0,0
80,22.11,417.16,CPU bound,22.11,417.16,0.6,306.26,190.31,44.1,44,10.4,6.5,0,60.9,44.1,44,10,6,0,60,96.68,43.7,48.8,10.6,8,0.1,34.16,8.24,42.4,23.68,8.24,31.92,0.08,0.08,0.16,33.5,8.25,41.75,17.62,8.25,25.87,0,0,0,32,8,40,16,8,24,0,0,0
