N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
10,1048576,2.090500,L2 10 10 10 16 224 10,6979321856,536870912,3.33,256.81,73.60,97.34,11.07,0,0,57851.00,109677.00,108.41,0,167528.00
20,131072,2.911170,L2 20 20 20 16 112 20,9937354752,764411904,3.41,262.57,70.72,88.29,9.05,90.14,8.93,76896.00,149708.00,97.34,99.07,226604.00
30,32768,2.270512,L2 30 30 30 16 75 30,9351200768,719323136,4.11,316.80,59.28,96.50,8.69,83.21,8.64,61731.00,117276.00,105.19,91.85,179007.00
40,16384,3.502247,L2 40 40 40 16 56 40,11687297024,899022848,3.33,256.69,73.60,104.20,9.00,82.83,8.49,92516.00,179926.00,113.20,91.32,272442.00
50,8192,2.821204,L2 50 50 50 16 45 50,11777605632,905969664,4.17,321.12,59.28,92.66,8.39,86.60,8.36,74066.00,145198.00,101.05,94.96,219264.00
60,4096,2.629154,L2 60 60 60 16 37 60,10389323776,799178752,3.94,303.96,61.28,92.67,8.36,85.05,8.28,9222653.74,1533567.00,101.03,93.33,10756220.74
70,2048,3.465153,L2 70 70 70 16 32 70,8371437568,643956736,2.41,185.83,102.16,91.71,8.29,82.88,8.23,255062605.34,61950999.00,100.00,91.11,317013604.34
80,1024,3.216498,L2 80 80 80 16 28 80,6317236224,485941248,1.96,151.07,131.36,98.72,8.68,83.59,7.89,281212347.03,62107969.00,107.40,91.48,343320316.03
90,512,2.192169,L2 90 90 90 16 25 90,4535877632,348913664,2.06,159.16,122.64,91.69,8.27,84.95,8.14,204167133.44,44815764.00,99.96,93.09,248982897.44
100,512,2.938161,L2 100 100 100 16 22 100,6264573952,481890304,2.13,164.01,114.96,91.15,8.18,77.80,8.10,280848987.29,61694537.00,99.33,85.90,342543524.29
110,256,2.010033,L2 110 110 110 16 20 110,4192321536,322486272,2.08,160.43,122.64,91.32,8.20,85.10,8.12,187597492.22,41234541.00,99.52,93.22,228832033.22
120,256,2.683048,L2 120 120 120 16 19 120,5468010496,420616192,2.03,156.76,122.64,99.32,8.61,79.98,8.13,244471183.19,53698243.00,107.93,88.11,298169426.19
130,256,3.315114,L2 130 130 130 16 17 130,6979321856,536870912,2.10,161.94,122.64,92.86,8.42,79.61,8.09,311241262.10,68439167.00,101.28,87.70,379680429.10
140,128,2.068513,L2 140 140 140 16 16 140,4373111808,336393216,2.11,162.62,122.64,90.97,8.16,77.71,8.06,195249249.14,42813313.00,99.13,85.77,238062562.14
150,128,2.517366,L2 150 150 150 16 15 150,5394341888,414949376,2.14,164.83,114.96,91.72,8.20,79.07,8.07,240943917.15,52778308.00,99.92,87.14,293722225.15
160,128,3.305642,L2 160 160 160 16 14 160,6563335168,504871936,1.98,152.72,122.64,106.80,8.77,84.85,7.23,293349655.18,64176612.00,115.57,92.08,357526267.18
170,128,3.678343,L2 170 170 170 16 13 170,7890075648,606928896,2.14,164.99,114.96,90.99,8.14,79.50,8.05,352082993.12,77069052.00,99.13,87.55,429152045.12
180,64,2.217731,L2 180 180 180 16 13 180,4692273664,360944128,2.11,162.75,114.96,91.66,8.15,79.71,8.05,209239520.09,45793454.00,99.81,87.76,255032974.09
190,64,2.534842,L2 190 190 190 16 12 190,5528367104,425259008,2.17,167.76,114.96,91.40,8.26,77.80,8.07,246446957.08,53925362.00,99.66,85.87,300372319.08
200,64,3.276976,L2 200 200 200 16 12 190,6458310144,496793088,1.96,151.60,131.36,104.47,9.12,84.26,8.67,287696784.06,62986208.00,113.59,92.93,350682992.06
210,64,3.821306,L2 210 210 210 16 12 190,7487094784,575930368,1.95,150.71,131.36,98.49,8.70,90.64,8.53,333155033.02,72984589.00,107.19,99.17,406139622.02
220,32,2.178615,L2 220 220 220 16 12 190,4309856512,331527424,1.97,152.17,122.64,98.10,8.59,87.94,8.47,191703620.00,41989880.00,106.69,96.41,233693500.00
230,32,2.521797,L2 230 230 230 16 12 190,4930578432,379275264,1.95,150.39,131.36,99.64,8.63,93.09,8.52,219375517.01,48027583.00,108.27,101.61,267403100.01
240,32,3.065551,L2 240 240 240 16 12 190,5608209152,431400704,1.82,140.72,131.36,104.06,9.01,101.59,8.17,249483199.00,54618313.00,113.07,109.76,304101512.00
250,32,3.368449,L2 250 250 250 16 12 190,6345244672,488095744,1.88,144.90,131.36,99.29,8.58,99.63,8.47,282167749.99,61766216.00,107.87,108.10,343933965.99
260,32,3.807051,L2 260 260 260 16 12 190,7144180992,549552384,1.87,144.35,131.36,98.77,8.52,101.34,8.37,317926010.02,69514585.00,107.29,109.71,387440595.02
270,16,2.138969,L2 270 270 270 16 12 190,4003757056,307981312,1.87,143.98,131.36,99.37,8.49,98.02,8.42,178063876.00,38955234.00,107.86,106.44,217019110.00
280,16,2.486703,L2 280 280 280 16 12 190,4468870016,343759232,1.79,138.23,141.52,105.50,8.92,101.06,8.49,198735425.99,43475689.00,114.42,109.55,242211114.99
290,16,2.675570,L2 290 290 290 16 12 190,4968677376,382205952,1.85,142.84,131.36,98.28,8.49,100.62,8.40,220850433.97,48318032.00,106.77,109.02,269168465.97
300,16,2.954287,L2 300 300 300 16 12 190,5504427136,423417472,1.86,143.32,131.36,97.38,8.39,96.52,8.32,244731653.98,53511071.00,105.77,104.84,298242724.98
310,16,3.257172,L2 310 310 310 16 12 190,6077367296,467489792,1.86,143.52,131.36,97.46,8.44,99.54,8.38,270383691.01,59071445.00,105.90,107.92,329455136.01
320,16,3.870592,L2 320 320 320 16 12 190,6688745856,514518912,1.72,132.92,141.52,110.38,9.05,102.15,8.01,297988495.06,65028842.00,119.43,110.16,363017337.06
330,16,3.951670,L2 330 330 330 16 12 190,7339810816,564600832,1.85,142.87,131.36,97.13,8.46,99.45,8.36,326183658.97,71314875.00,105.59,107.81,397498533.97
340,8,2.139182,L2 340 340 340 16 12 190,4015905088,308915776,1.87,144.40,131.36,96.33,8.36,97.25,8.29,178660066.01,39008875.00,104.69,105.54,217668941.01
350,8,2.330238,L2 350 350 350 16 12 190,4382995968,337153536,1.87,144.68,131.36,96.64,8.41,97.14,8.33,194780325.97,42571534.00,105.05,105.47,237351859.97
360,8,2.623055,L2 360 360 360 16 12 190,4771802048,367061696,1.81,139.93,141.52,103.42,8.82,100.46,8.39,211921982.94,46347423.00,112.24,108.85,258269405.94
370,8,2.769272,L2 370 370 370 16 12 190,5182947328,398688256,1.87,143.96,131.36,96.59,8.39,99.19,8.31,230434452.98,50324779.00,104.98,107.50,280759231.98
380,8,2.983149,L2 380 380 380 16 12 190,5617055808,432081216,1.88,144.84,131.36,96.30,8.47,98.59,8.28,249875105.01,54528314.00,104.77,106.87,304403419.01
