N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
10,1048576,2.332940,,6979321856,536870912,2.98,230.12,87.20,115.43,16.39,0,0,12846.00,32089.00,131.82,0,44935.00
20,131072,2.268482,,9937354752,764411904,4.37,336.96,58.16,89.98,10.03,0,0,11684.00,29288.00,100.01,0,40972.00
30,32768,2.463395,,9351200768,719323136,3.79,292.00,68.56,97.12,8.99,82.98,82.94,21573.00,36022.00,106.11,165.92,57595.00
40,16384,3.283071,,11687297024,899022848,3.55,273.83,71.04,103.50,9.18,80.42,80.34,18596.00,45477.00,112.68,160.76,64073.00
50,8192,2.940997,,11777605632,905969664,4.00,308.04,64.00,93.97,8.46,78.84,78.78,61275.00,37477.00,102.43,157.62,98752.00
60,4096,2.554333,,10389323776,799178752,4.06,312.86,64.00,93.11,8.38,77.58,77.52,2278391.00,519266.00,101.49,155.10,2797657.00
70,2048,2.056654,,8371437568,643956736,4.06,313.10,61.92,92.42,8.31,76.70,76.64,16788657.00,4935957.00,100.73,153.34,21724614.00
80,2048,3.768713,,12634472448,971882496,3.35,257.88,76.80,99.62,8.68,76.55,76.52,94632800.00,22126891.00,108.30,153.07,116759691.00
90,1024,2.944578,,9071755264,697827328,3.08,236.98,83.44,91.66,8.25,77.41,77.39,127157300.00,16308676.00,99.91,154.80,143465976.00
100,512,2.296087,,6264573952,481890304,2.72,209.87,96.00,91.34,8.20,79.59,79.56,122556800.00,21689855.00,99.54,159.15,144246655.00
110,512,3.428650,,8384643072,644972544,2.44,188.11,106.64,91.09,8.19,82.54,82.51,206947200.00,33539291.00,99.28,165.05,240486491.00
120,256,2.571008,,5468010496,420616192,2.12,163.59,120.00,99.66,8.66,86.26,86.22,158209980.00,33573656.00,108.32,172.48,191783636.00
130,256,3.351561,,6979321856,536870912,2.07,160.18,128.00,92.43,8.48,88.62,88.56,218876600.00,55421940.00,100.91,177.18,274298540.00
140,128,2.090148,,4373111808,336393216,2.09,160.94,128.00,90.73,8.15,89.79,89.74,140166810.00,35579596.00,98.88,179.53,175746406.00
150,128,2.627804,,5394341888,414949376,2.05,157.90,128.00,91.43,8.22,89.78,89.74,172857870.00,43943740.00,99.65,179.52,216801610.00
160,128,3.370258,,6563335168,504871936,1.94,149.80,137.12,109.35,8.84,89.91,89.86,213673100.00,53437250.00,118.19,179.77,267110350.00
170,128,3.798980,,7890075648,606928896,2.07,159.75,128.00,90.60,8.17,89.61,89.56,251289500.00,64166070.00,98.77,179.17,315455570.00
180,64,2.318857,,4692273664,360944128,2.02,155.65,128.00,91.00,8.22,89.63,89.58,149793130.00,38197517.00,99.22,179.21,187990647.00
190,64,2.712452,,5528367104,425259008,2.03,156.77,128.00,90.91,8.31,89.42,89.37,175650980.00,44968308.00,99.22,178.79,220619288.00
200,64,3.285253,,6458310144,496793088,1.96,151.21,137.12,98.31,8.73,89.47,89.42,206699100.00,52522030.00,107.04,178.89,259221130.00
210,64,3.713376,,7487094784,575930368,2.01,155.09,128.00,90.89,8.39,89.28,89.23,237275600.00,60911040.00,99.28,178.51,298186640.00
220,32,2.193757,,4309856512,331527424,1.96,151.11,128.00,90.94,8.51,89.28,89.22,136529810.00,35107297.00,99.45,178.50,171637107.00
230,32,2.494990,,4930578432,379275264,1.97,152.01,137.12,91.30,8.60,89.16,89.10,156207870.00,40146033.00,99.90,178.26,196353903.00
240,32,2.899335,,5608209152,431400704,1.93,148.79,137.12,97.18,8.94,89.21,89.15,178049890.00,45650832.00,106.12,178.36,223700722.00
250,32,3.224632,,6345244672,488095744,1.96,151.36,137.12,91.34,8.71,89.08,89.01,200969200.00,51639970.00,100.05,178.09,252609170.00
260,16,1.900258,,3572090496,274776192,1.87,144.59,137.12,92.69,9.03,89.07,88.98,113358840.00,29169041.00,101.72,178.05,142527881.00
270,16,2.159133,,4003757056,307981312,1.85,142.64,147.68,93.50,9.32,89.05,88.94,127248510.00,32724018.00,102.82,177.99,159972528.00
280,16,2.458168,,4468870016,343759232,1.81,139.83,147.68,100.97,9.73,89.06,88.96,142969730.00,36523147.00,110.70,178.02,179492877.00
290,16,2.718494,,4968677376,382205952,1.82,140.59,147.68,97.65,9.45,88.98,88.87,159024600.00,40612724.00,107.10,177.85,199637324.00
300,16,2.990342,,5504427136,423417472,1.83,141.59,137.12,94.59,9.56,88.95,88.86,175067760.00,44971066.00,104.15,177.81,220038826.00
310,16,3.266833,,6077367296,467489792,1.85,143.09,137.12,95.12,9.76,88.93,88.83,193244940.00,49614109.00,104.88,177.76,242859049.00
320,8,2.013780,,3344372928,257259456,1.65,127.74,160.00,113.38,11.37,88.96,88.80,107623230.00,27510521.00,124.75,177.76,135133751.00
330,8,2.155320,,3669905408,282300416,1.69,130.97,160.00,99.91,10.72,88.86,88.71,117679920.00,30158865.00,110.63,177.57,147838785.00
340,8,2.348696,,4015905088,308915776,1.70,131.52,160.00,100.35,10.56,88.83,88.68,128720770.00,32995667.00,110.91,177.51,161716437.00
350,8,2.552914,,4382995968,337153536,1.71,132.06,160.00,100.26,10.52,88.82,88.67,140366130.00,35985358.00,110.78,177.49,176351488.00
360,8,2.785259,,4771802048,367061696,1.71,131.78,160.00,102.36,10.92,88.82,88.68,152818860.00,39167257.00,113.28,177.50,191986117.00
370,8,3.004382,,5182947328,398688256,1.72,132.69,160.00,104.80,10.38,88.77,88.64,166075120.00,42506722.00,115.18,177.41,208581842.00
380,8,3.275528,,5617055808,432081216,1.71,131.91,147.68,101.38,10.43,88.75,88.61,180161900.00,46100628.00,111.81,177.36,226262528.00
390,4,1.912304,,3037375744,233644288,1.58,122.17,160.00,104.50,11.15,88.73,88.53,97516780.00,25105672.00,115.65,177.26,122622452.00
