N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
10,2097152,3.817040,L2 10 10 10 16 894 10,13958643712,1073741824,3.65,281.30,68.56,97.59,10.96,0,0,18939.00,47012.00,108.55,0,65951.00
20,131072,2.480085,L2 20 20 20 16 447 20,9937354752,764411904,4.00,308.21,64.00,90.05,9.14,4.25,4.25,38714.00,95650.00,99.19,8.50,134364.00
30,32768,2.471846,L2 30 30 30 16 298 30,9351200768,719323136,3.78,291.00,68.56,96.48,8.69,79.55,79.52,112655.00,35331.00,105.17,159.07,147986.00
40,16384,3.517650,L2 40 40 40 16 224 40,11687297024,899022848,3.32,255.57,76.80,103.65,9.12,79.03,78.99,94853.00,37900.00,112.77,158.02,132753.00
50,8192,3.003453,L2 50 50 50 16 179 50,11777605632,905969664,3.91,301.63,66.16,92.59,8.37,77.06,77.02,957217.00,340163.00,100.96,154.08,1297380.00
60,4096,2.792476,L2 60 60 60 16 149 60,10389323776,799178752,3.71,286.18,68.56,91.71,8.32,76.06,76.02,41226534.00,14046607.00,100.03,152.08,55273141.00
70,2048,2.440933,L2 70 70 70 16 128 70,8371437568,643956736,3.42,263.81,73.84,91.25,8.26,75.47,75.42,116923886.00,17168707.00,99.51,150.89,134092593.00
80,1024,2.158348,L2 80 80 80 16 112 80,6317236224,485941248,2.92,225.14,87.20,99.12,8.70,75.70,75.66,124115960.00,21592353.00,107.82,151.36,145708313.00
90,1024,2.950603,L2 90 90 90 16 99 90,9071755264,697827328,3.07,236.50,83.44,90.63,8.26,75.10,75.05,208276084.00,38120011.00,98.89,150.15,246396095.00
100,512,2.255519,L2 100 100 100 16 89 100,6264573952,481890304,2.77,213.64,91.36,90.46,8.19,77.16,77.10,160893403.00,31613366.00,98.65,154.26,192506769.00
110,512,2.962363,L2 110 110 110 16 81 110,8384643072,644972544,2.82,217.72,91.36,90.34,8.18,76.45,76.40,225653340.00,45986439.00,98.52,152.85,271639779.00
120,256,2.021115,L2 120 120 120 16 75 120,5468010496,420616192,2.70,208.10,96.00,99.26,8.61,76.49,76.42,153453827.00,31753784.00,107.87,152.91,185207611.00
130,256,2.585934,L2 130 130 130 16 69 130,6979321856,536870912,2.69,207.61,96.00,91.61,8.47,76.05,75.99,197702703.00,40226473.00,100.08,152.04,237929176.00
140,256,3.352840,L2 140 140 140 16 64 140,8746223616,672786432,2.60,200.65,101.04,89.95,8.14,78.49,78.43,266843206.00,55067559.00,98.09,156.92,321910765.00
150,256,3.886716,L2 150 150 150 16 60 150,10788683776,829898752,2.77,213.51,91.36,90.50,8.21,76.43,76.37,317723479.00,65585295.00,98.71,152.80,383308774.00
160,128,2.757425,L2 160 160 160 16 56 160,6563335168,504871936,2.37,183.09,106.64,107.04,8.74,84.32,84.27,204138263.00,42709520.00,115.78,168.59,246847783.00
170,128,2.952511,L2 170 170 170 16 53 170,7890075648,606928896,2.67,205.56,96.00,89.69,8.13,76.51,76.45,236716629.00,49750239.00,97.82,152.96,286466868.00
180,128,3.476126,L2 180 180 180 16 50 180,9384547328,721888256,2.69,207.66,96.00,89.83,8.13,76.13,76.07,280939869.00,59369855.00,97.96,152.20,340309724.00
190,64,2.051442,L2 190 190 190 16 47 190,5528367104,425259008,2.69,207.29,96.00,89.93,8.22,76.22,76.16,166979152.00,35435680.00,98.15,152.38,202414832.00
200,64,2.499457,L2 200 200 200 16 45 200,6458310144,496793088,2.58,198.75,101.04,98.19,8.55,76.04,75.98,194873206.00,41475793.00,106.74,152.02,236348999.00
210,64,2.695482,L2 210 210 210 16 43 210,7487094784,575930368,2.77,213.66,91.36,89.96,8.18,75.36,75.30,223989925.00,48002281.00,98.14,150.66,271992206.00
220,64,3.255050,L2 220 220 220 16 41 220,8619713024,663054848,2.64,203.69,96.00,89.96,8.23,75.93,75.87,260383867.00,55501385.00,98.19,151.80,315885252.00
230,64,3.629822,L2 230 230 230 16 39 230,9861156864,758550528,2.71,208.97,96.00,90.26,8.27,75.90,75.84,298996841.00,63830816.00,98.53,151.74,362827657.00
240,32,2.183363,L2 240 240 240 16 37 240,5608209152,431400704,2.56,197.58,101.04,96.44,8.55,76.58,76.52,170722504.00,36317808.00,104.99,153.10,207040312.00
250,32,2.441277,L2 250 250 250 16 36 250,6345244672,488095744,2.59,199.93,101.04,90.18,8.22,76.38,76.33,193458254.00,41072667.00,98.40,152.71,234530921.00
260,32,2.762765,L2 260 260 260 16 34 260,7144180992,549552384,2.58,198.91,101.04,90.62,8.27,75.57,75.51,215491022.00,46191442.00,98.89,151.08,261682464.00
270,32,2.960479,L2 270 270 270 16 33 270,8007514112,615962624,2.70,208.06,96.00,90.80,8.24,75.75,75.70,242328263.00,51790006.00,99.04,151.45,294118269.00
280,32,3.508293,L2 280 280 280 16 32 280,8937740032,687518464,2.54,195.96,101.04,99.26,8.53,76.40,76.33,272444129.00,57800920.00,107.79,152.73,330245049.00
290,32,3.833748,L2 290 290 290 16 31 290,9937354752,764411904,2.59,199.38,101.04,94.16,8.32,75.96,75.91,301592084.00,64240675.00,102.48,151.87,365832759.00
300,16,2.098970,L2 300 300 300 16 30 300,5504427136,423417472,2.62,201.72,96.00,90.81,8.28,75.70,75.65,166496732.00,35550033.00,99.09,151.35,202046765.00
310,16,2.244291,L2 310 310 310 16 29 310,6077367296,467489792,2.70,208.29,96.00,91.62,8.44,75.65,75.60,183592755.00,39269528.00,100.06,151.25,222862283.00
320,16,2.875258,L2 320 320 320 16 28 320,6688745856,514518912,2.32,178.94,112.88,106.72,8.65,81.18,81.11,206617605.00,43241792.00,115.37,162.29,249859397.00
330,16,2.779629,L2 330 330 330 16 27 330,7339810816,564600832,2.63,203.12,96.00,94.95,8.52,76.30,76.24,223520299.00,47408732.00,103.47,152.54,270929031.00
340,16,3.043379,L2 340 340 340 16 26 340,8031810176,617831552,2.63,203.00,96.00,94.29,8.35,75.58,75.53,242680024.00,51838452.00,102.64,151.11,294518476.00
350,16,3.296775,L2 350 350 350 16 26 350,8765991936,674307072,2.65,204.53,96.00,94.43,8.48,75.97,75.91,266042940.00,56613885.00,102.91,151.88,322656825.00
360,16,3.803636,L2 360 360 360 16 25 360,9543604096,734123392,2.50,193.00,101.04,99.14,8.53,76.11,76.04,289968579.00,61627646.00,107.67,152.15,351596225.00
370,16,3.988189,L2 370 370 370 16 24 370,10365894656,797376512,2.59,199.93,101.04,101.22,8.55,75.38,75.19,311885972.00,66927573.00,109.77,150.57,378813545.00
380,8,2.158773,L2 380 380 380 16 24 380,5617055808,432081216,2.59,200.15,101.04,97.60,8.48,75.36,75.14,169044664.00,36228341.00,106.08,150.50,205273005.00
390,8,2.386413,L2 390 390 390 16 23 390,6074751488,467288576,2.54,195.80,101.04,96.99,8.50,75.99,75.81,183948235.00,39198765.00,105.49,151.80,223147000.00
400,8,2.628526,L2 400 400 400 16 22 400,6556658368,504358336,2.49,191.87,101.04,95.44,8.46,76.03,75.75,198238957.00,42319748.00,103.90,151.78,240558705.00
410,8,2.769959,L2 410 410 410 16 22 410,7063400448,543338496,2.54,196.15,101.04,99.81,8.53,76.24,76.04,214605412.00,45576608.00,108.34,152.28,260182020.00
420,8,3.059438,L2 420 420 420 16 21 420,7595601728,584277056,2.48,190.97,106.64,105.60,8.53,76.85,76.66,231987980.00,48985592.00,114.13,153.51,280973572.00
430,8,3.276983,L2 430 430 430 16 21 430,8153886208,627222016,2.48,191.40,106.64,104.92,8.52,75.79,75.63,246561193.00,52594978.00,113.44,151.42,299156171.00
440,8,3.570433,L2 440 440 440 16 20 440,8738877888,672221376,2.44,188.27,106.64,94.46,8.46,75.92,75.68,264615975.00,56377784.00,102.92,151.60,320993759.00
450,8,3.747008,L2 450 450 450 16 20 450,9351200768,719323136,2.49,191.97,106.64,100.91,8.47,76.22,76.05,283895788.00,60320580.00,109.38,152.27,344216368.00
460,8,3.972676,L2 460 460 460 16 20 460,9991478848,768575296,2.51,193.46,101.04,105.54,8.48,75.67,75.49,301763668.00,64380417.00,114.02,151.16,366144085.00
470,4,2.118257,L2 470 470 470 16 19 470,5330168064,410012928,2.51,193.56,101.04,105.52,8.48,75.57,75.39,160836100.00,34367141.00,114.00,150.96,195203241.00
480,4,2.429488,L2 480 480 480 16 19 480,5679198304,436861408,2.33,179.81,112.88,95.80,8.49,82.90,82.64,175539844.00,36644905.00,104.29,165.54,212184749.00
490,4,2.418146,L2 490 490 490 16 18 490,6043142144,464857088,2.49,192.23,101.04,104.64,8.46,75.79,75.63,182839856.00,38966632.00,113.10,151.42,221806488.00
500,4,2.616860,L2 500 500 500 16 18 500,6422311584,494023968,2.45,188.78,106.64,105.38,8.45,75.88,75.69,194399346.00,41369357.00,113.83,151.57,235768703.00
510,4,2.901060,L2 510 510 510 16 18 510,6817018624,524386048,2.34,180.75,112.88,103.71,8.46,76.14,75.93,206671118.00,43947834.00,112.17,152.07,250618952.00
520,4,2.948917,L2 520 520 520 16 17 520,7227575264,555967328,2.44,188.53,106.64,107.13,8.46,75.66,75.44,217918040.00,46590295.00,115.59,151.10,264508335.00
530,4,3.041957,L2 530 530 530 16 17 530,7654293504,588791808,2.51,193.55,101.04,105.52,8.43,76.03,75.86,232160398.00,49329475.00,113.95,151.89,281489873.00
540,4,3.261342,L2 540 540 540 16 17 540,8097485344,622883488,2.48,190.98,101.04,105.52,8.42,76.43,76.25,246524754.00,52165770.00,113.94,152.68,298690524.00
550,4,3.343961,L2 550 550 550 16 16 550,8557462784,658266368,2.55,196.85,101.04,105.46,8.42,75.49,75.32,257887451.00,55149854.00,113.88,150.81,313037305.00
560,4,3.650043,L2 560 560 560 16 16 560,9034537824,694964448,2.47,190.39,106.64,106.89,8.43,75.80,75.55,272200798.00,58220546.00,115.32,151.35,330421344.00
570,4,3.799094,L2 570 570 570 16 16 570,9529022464,733001728,2.50,192.94,101.04,105.34,8.40,75.98,75.83,288884971.00,61404634.00,113.74,151.81,350289605.00
580,2,2.000821,L2 580 580 580 16 16 580,5020614352,386201104,2.50,193.02,106.64,105.40,8.39,75.69,75.51,151586279.00,32322841.00,113.79,151.20,183909120.00
590,2,2.044471,L2 590 590 590 16 15 590,5285734272,406594944,2.58,198.87,101.04,105.43,8.39,75.64,75.46,159448039.00,34046995.00,113.82,151.10,193495034.00
600,2,2.333923,L2 600 600 600 16 15 600,5560026992,427694384,2.38,183.24,112.88,107.09,8.40,75.83,75.60,168307166.00,35824619.00,115.49,151.43,204131785.00
610,2,2.296296,L2 610 610 610 16 15 610,5843648512,449511424,2.54,195.75,101.04,105.39,8.38,75.77,75.61,176716366.00,37639976.00,113.77,151.38,214356342.00
620,2,2.443315,L2 620 620 620 16 15 620,6136754832,472058064,2.50,193.20,101.04,105.40,8.37,76.21,76.03,186466221.00,39514990.00,113.77,152.24,225981211.00
630,2,2.504784,L2 630 630 630 16 14 630,6439501952,495346304,2.56,197.75,101.04,105.35,8.37,75.76,75.61,194695178.00,41482626.00,113.72,151.37,236177804.00
640,2,3.011562,L2 640 640 640 16 14 640,6752045872,519388144,2.24,172.46,120.00,108.93,8.42,78.80,78.53,205289490.00,43522734.00,117.35,157.33,248812224.00
650,2,2.779525,L2 650 650 650 16 14 650,7074542592,544195584,2.54,195.78,101.04,105.46,8.36,75.93,75.74,214353865.00,45568319.00,113.82,151.67,259922184.00
660,2,2.942775,L2 660 660 660 16 14 660,7407148112,569780624,2.51,193.61,101.04,105.23,8.35,75.98,75.80,224516664.00,47665181.00,113.58,151.78,272181845.00
670,2,3.058613,L2 670 670 670 16 13 670,7750018432,596155264,2.53,194.90,101.04,105.26,8.35,76.09,75.91,235172067.00,49904244.00,113.61,152.00,285076311.00
680,2,3.316212,L2 680 680 680 16 13 680,8103309552,623331504,2.44,187.96,106.64,106.82,8.35,76.33,76.11,246373907.00,52192868.00,115.17,152.44,298566775.00
690,2,3.415492,L2 690 690 690 16 13 690,8467177472,651321344,2.47,190.69,101.04,105.21,8.34,75.85,75.69,256198880.00,54525018.00,113.55,151.54,310723898.00
700,2,3.559004,L2 700 700 700 16 13 700,8841778192,680136784,2.48,191.10,101.04,105.34,8.33,76.28,76.08,268644490.00,56917167.00,113.67,152.36,325561657.00
710,2,3.648663,L2 710 710 710 16 13 710,9227267712,709789824,2.52,194.53,101.04,105.44,8.33,76.23,76.03,280139990.00,59413447.00,113.77,152.26,339553437.00
