N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC Arithmetic Intensity,Roofline ECM MLUPs,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,Benchmark cycl,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,3.99,306.92,CPU bound,3.99,306.92,,306.53,218.95,28,60,22.53,0,0,60,28,60,18,0,0,60,84.04,,,,,,,,,,,,,,,90.12,9.62,99.74,0,0,0,0,0,0,72,8,80,0,0,0,0,0,0
20,3.99,306.92,CPU bound,3.99,306.92,,306.53,260.47,28,60,22.35,19.07,0,60,28,60,22,20,0,60,70.64,,,,,,,,,,,,,,,89.37,9.12,98.49,38.12,38.12,76.24,0,0,0,88,8,96,72,8,80,0,0,0
30,2.79,214.61,CPU bound,3.99,306.92,,306.53,250.2,28,60,23.92,39.49,0,60,28,60,22,20,0,60,73.54,,,,,,,,,,,,,,,95.62,8.62,104.24,79,79,158,0,0,0,88,8,96,72,8,80,0,0,0
40,1.37,105.38,CPU bound,3.99,306.92,,306.53,231.6,28,60,92.74,38.33,0,92.74,28,60,22,20,0,60,79.45,,,,,,,,,,,,,,,371,64,435,76.62,76.62,153.24,0,0,0,88,8,96,72,8,80,0,0,0
50,2.9,223.07,0.09,3.65,280.76,0.16,269.91,259.29,28,60,23.07,21.89,43.47,65.36,28,60,22,20,48.14,68.14,70.96,,,,,,,,,,,,,,,92.25,8.37,100.62,11.62,76,87.62,64.37,7.87,72.24,88,8,96,72,8,80,72,8,80
60,2.92,224.61,0.09,3.65,280.76,0.16,269.91,215.11,28,60,22.88,18.87,50.73,69.59,28,60,22,20,48.14,68.14,85.54,,,,,,,,,,,,,,,91.5,8.25,99.75,0,75.5,75.5,75.5,8.87,84.37,88,8,96,72,8,80,72,8,80
70,2.96,227.69,0.09,3.65,280.76,0.16,269.91,215.22,28,60,22.74,18.62,49.78,68.39,28,60,22,20,48.14,68.14,85.49,,,,,,,,,,,,,,,91,8.25,99.25,0,74.5,74.5,74.5,8.25,82.75,88,8,96,72,8,80,72,8,80
80,0.9,69.23,0.02,3.65,280.76,0.16,254.83,180.58,28,60,150.2,18.52,49.52,150.2,28,60,22,24,48.14,72.14,101.89,,,,,,,,,,,,,,,600.75,64,664.75,0,74,74,74,8.25,82.25,88,8,96,88,8,96,72,8,80
90,2.7,207.69,0.08,3.65,280.76,0.16,254.94,218.97,28,60,22.57,22.31,49.4,71.72,28,60,22,24,48.14,72.14,84.03,,,,,,,,,,,,,,,90.25,8.25,98.5,7.62,81.62,89.24,73.87,8.25,82.12,88,8,96,88,8,96,72,8,80
100,2.44,187.69,0.07,3.65,280.76,0.16,254.94,222.45,28,60,22.51,26.6,49.28,75.88,28,60,22,24,48.14,72.14,82.72,,,,,,,,,,,,,,,90,8.12,98.12,16.37,90,106.37,73.75,8.25,82,88,8,96,88,8,96,72,8,80
110,2.45,188.46,0.07,3.65,280.76,0.16,254.94,225.11,28,60,22.46,26.54,49.18,75.71,28,60,22,24,48.14,72.14,81.74,,,,,,,,,,,,,,,89.87,8.12,97.99,16.25,89.87,106.12,73.5,8.12,81.62,88,8,96,88,8,96,72,8,80
120,1.37,105.38,0.03,3.65,280.76,0.16,254.94,193.87,28,60,92.37,26.47,49.04,92.37,28,60,22,24,48.14,72.14,94.91,,,,,,,,,,,,,,,369.5,64,433.5,16.25,89.62,105.87,73.37,8.12,81.49,88,8,96,88,8,96,72,8,80
130,2.46,189.23,0.07,3.65,280.76,0.16,254.94,212.39,28,60,22.38,26.45,48.98,75.43,28,60,22,24,48.14,72.14,86.63,,,,,,,,,,,,,,,89.5,8.12,97.62,16.25,89.5,105.75,73.25,8.12,81.37,88,8,96,88,8,96,72,8,80
