N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
10,1048576,2.789910,L2 10 10 10 16 614 10,14495514624,536870912,5.19,192.43,102.16,0,0,0,0,74751.00,143912.00,0,0,218663.00
20,65536,2.039264,L2 20 20 20 16 307 20,10319560704,382205952,5.05,187.42,102.16,19.96,8.93,0,0,53856.00,105486.00,28.89,0,159342.00
30,32768,2.824930,L2 30 30 30 16 205 30,19421724672,719323136,6.87,254.63,73.60,22.10,8.72,16.02,7.25,77444.00,147986.00,30.82,23.27,225430.00
40,8192,2.085285,L2 40 40 40 16 153 40,12136808448,449511424,5.81,215.56,87.60,35.24,8.53,18.45,8.46,54220.00,106832.00,43.77,26.91,161052.00
50,8192,3.422169,L2 50 50 50 16 123 50,24461180928,905969664,7.14,264.73,70.72,34.50,8.41,17.99,8.35,91304.00,176240.00,42.91,26.34,267544.00
60,4096,3.247680,L2 60 60 60 16 102 60,21577826304,799178752,6.64,246.07,76.64,34.11,8.30,18.19,8.26,86367.00,167117.00,42.41,26.45,253484.00
70,2048,2.370121,L2 70 70 70 16 88 70,17386831872,643956736,7.33,271.69,68.08,33.73,8.26,19.06,8.24,63739.00,122732.00,41.99,27.30,186471.00
80,1024,2.026632,L2 80 80 80 16 77 80,13120413696,485941248,6.47,239.77,80.00,34.22,8.24,20.90,8.22,54982.00,105160.00,42.46,29.12,160142.00
90,1024,2.956027,L2 90 90 90 16 68 90,18841337856,697827328,6.37,236.06,80.00,34.02,8.22,21.63,8.19,95280.00,168917.00,42.24,29.82,264197.00
100,1024,3.710405,L2 100 100 100 16 61 100,26022076416,963780608,7.01,259.75,73.60,33.81,8.18,20.04,8.15,4792306.31,5916427.00,41.99,28.19,10708733.31
110,512,2.378711,L2 110 110 110 16 56 110,17414258688,644972544,7.31,271.14,70.72,33.64,8.17,20.07,8.11,45578531.52,52467751.00,41.81,28.18,98046282.52
120,512,3.420339,L2 120 120 120 16 51 120,22713274368,841232384,6.63,245.94,76.64,33.97,8.16,20.71,8.14,99295416.55,104002996.00,42.13,28.85,203298412.55
130,256,2.287702,L2 130 130 130 16 47 130,14495514624,536870912,6.33,234.67,80.00,33.99,8.15,20.22,8.12,69115170.23,68249895.00,42.14,28.34,137365065.23
140,256,2.915518,L2 140 140 140 16 44 140,18165233664,672786432,6.22,230.75,83.60,33.39,8.13,20.90,8.10,87165215.29,85476131.00,41.52,29.00,172641346.29
150,256,3.098435,L2 150 150 150 16 41 150,22407266304,829898752,7.22,267.84,70.72,34.22,8.13,19.99,8.08,107335239.27,105359140.00,42.35,28.07,212694379.27
160,128,2.155755,L2 160 160 160 16 38 160,13631542272,504871936,6.32,234.19,80.00,35.10,8.14,22.19,8.10,65287721.27,64046621.00,43.24,30.29,129334342.27
