,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
10,9.55,353.70,CPU bound,9.55,353.70,,353.69,279.73,52.0,28.0,0.0,0.0,0.0,52.0 ,52.0,28.0,0.0,0.0,0.0,52.0 ,65.78,52.3,36.1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,9.55,353.70,CPU bound,9.55,353.70,,353.84,235.35,52.0,28.0,7.2,0.0,0.0,52.0 ,52.0,28.0,6.0,0.0,0.0,52.0 ,78.18,69.6,42.0,7.3,0.0,0.0,20.16,9.04,29.20,0,0,0,0,0,0,19.87,9.00,28.87,0,0,0,0,0,0,16.00,8.00,24.00,0,0,0,0,0,0
30,9.55,353.70,CPU bound,9.55,353.70,,353.69,291.71,52.0,28.0,6.8,6.8,0.0,52.0 ,52.0,28.0,6.0,6.0,0.0,52.0 ,63.08,52.1,29.4,7.4,6.1,0.0,20.96,8.72,29.68,16.80,7.52,24.32,0,0,0,18.50,8.62,27.12,18.50,8.62,27.12,0,0,0,16.00,8.00,24.00,16.00,8.00,24.00,0,0,0
40,9.55,353.70,CPU bound,9.55,353.70,,353.69,258.31,52.0,28.0,10.9,6.5,0.0,52.0 ,52.0,28.0,10.0,6.0,0.0,52.0 ,71.23,60.3,34.0,10.9,6.7,0.0,35.20,8.48,43.68,18.24,8.48,26.72,0,0,0,35.00,8.37,43.37,17.75,8.37,26.12,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
50,9.55,353.70,CPU bound,9.55,353.70,,353.69,288.97,52.0,28.0,10.7,6.5,0.0,52.0 ,52.0,28.0,10.0,6.0,0.0,52.0 ,63.68,52.0,28.4,10.7,6.6,0.0,34.48,8.40,42.88,18.16,8.32,26.48,0,0,0,34.37,8.37,42.74,17.50,8.37,25.87,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
60,9.55,353.70,CPU bound,9.55,353.70,,353.84,274.99,52.0,28.0,10.6,6.4,0.0,52.0 ,52.0,28.0,10.0,6.0,0.0,52.0 ,66.91,57.4,31.6,10.6,6.9,0.0,34.00,8.32,42.32,19.52,8.24,27.76,0,0,0,34.00,8.25,42.25,17.37,8.25,25.62,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
70,9.55,353.70,CPU bound,9.55,353.70,,353.84,301.14,52.0,28.0,10.5,6.4,0.0,52.0 ,52.0,28.0,10.0,6.0,0.0,52.0 ,61.10,52.0,28.0,10.5,8.0,0.0,33.76,8.24,42.00,23.60,8.24,31.84,0,0,0,33.62,8.25,41.87,17.50,8.25,25.75,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
80,9.55,353.70,CPU bound,9.55,353.70,,353.69,280.51,52.0,28.0,10.4,6.5,0.0,52.0 ,52.0,28.0,10.0,6.0,0.0,52.0 ,65.59,56.0,30.4,10.6,7.6,0.0,34.16,8.24,42.40,22.24,8.24,30.48,0,0,0,33.50,8.25,41.75,17.62,8.25,25.87,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
