N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC Arithmetic Intensity,Roofline ECM MLUPs,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,Benchmark cycl,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,4.44,164.44,CPU bound,4.44,164.44,,164.21,89.28,104.0,112.0,0.00,0.00,0.00,112.00,104.0,112.0,0.00,0.00,0.00,112.00,206.08,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,4.44,164.44,CPU bound,4.44,164.44,,164.21,89.03,104.0,112.0,4.98,0.00,0.00,112.00,104.0,112.0,4.00,0.00,0.00,112.00,206.67,,,,,,,,,,,,,,,19.87,9.00,28.87,0,0,0,0,0,0,16.00,8.00,24.00,0,0,0,0,0,0
30,4.44,164.44,CPU bound,4.44,164.44,,164.21,88.84,104.0,112.0,4.61,0.00,0.00,112.00,104.0,112.0,4.00,0.00,0.00,112.00,207.11,,,,,,,,,,,,,,,18.50,8.62,27.12,0,0,0,0,0,0,16.00,8.00,24.00,0,0,0,0,0,0
40,4.44,164.44,CPU bound,4.44,164.44,,164.21,89.25,104.0,112.0,8.75,8.87,0.00,112.00,104.0,112.0,8.00,6.00,0.00,112.00,206.16,,,,,,,,,,,,,,,35.00,8.37,43.37,17.75,17.75,35.50,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
50,4.44,164.44,CPU bound,4.44,164.44,,164.21,89.90,104.0,112.0,8.60,8.72,0.00,112.00,104.0,112.0,8.00,6.00,0.00,112.00,204.66,,,,,,,,,,,,,,,34.37,8.37,42.74,17.50,17.50,35.00,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
60,4.44,164.44,CPU bound,4.44,164.44,,164.21,89.52,104.0,112.0,8.50,8.71,0.00,112.00,104.0,112.0,8.00,6.00,0.00,112.00,205.55,,,,,,,,,,,,,,,34.00,8.25,42.25,17.37,17.37,34.74,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
70,4.44,164.44,CPU bound,4.44,164.44,,164.21,89.96,104.0,112.0,8.42,8.75,0.00,112.00,104.0,112.0,8.00,6.00,0.00,112.00,204.55,,,,,,,,,,,,,,,33.62,8.25,41.87,17.50,17.50,35.00,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
80,4.44,164.44,CPU bound,4.44,164.44,,164.21,89.46,104.0,112.0,8.37,8.27,1.05,112.00,104.0,112.0,8.00,6.00,0.00,112.00,205.67,,,,,,,,,,,,,,,33.50,8.25,41.75,15.37,17.62,32.99,2.25,0,2.25,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
90,4.44,164.44,CPU bound,4.44,164.44,,164.21,89.59,104.0,112.0,8.32,4.46,15.59,112.00,104.0,112.0,8.00,6.00,13.87,112.00,205.38,,,,,,,,,,,,,,,33.25,8.25,41.50,0,17.87,17.87,17.87,9.12,26.99,32.00,8.00,40.00,16.00,8.00,24.00,16.00,8.00,24.00
100,4.44,164.44,CPU bound,4.44,164.44,,164.21,89.59,104.0,112.0,8.28,4.12,14.27,112.00,104.0,112.0,8.00,6.00,13.87,112.00,205.37,,,,,,,,,,,,,,,33.12,8.12,41.24,0,16.50,16.50,16.50,8.25,24.75,32.00,8.00,40.00,16.00,8.00,24.00,16.00,8.00,24.00
110,4.44,164.44,CPU bound,4.44,164.44,,164.21,90.25,104.0,112.0,8.27,4.12,14.22,112.00,104.0,112.0,8.00,6.00,13.87,112.00,203.87,,,,,,,,,,,,,,,33.12,8.12,41.24,0,16.50,16.50,16.50,8.12,24.62,32.00,8.00,40.00,16.00,8.00,24.00,16.00,8.00,24.00
120,4.44,164.44,CPU bound,4.44,164.44,,164.21,88.99,104.0,112.0,8.24,4.10,14.17,112.00,104.0,112.0,8.00,6.00,13.87,112.00,206.77,,,,,,,,,,,,,,,33.00,8.12,41.12,0,16.37,16.37,16.37,8.12,24.49,32.00,8.00,40.00,16.00,8.00,24.00,16.00,8.00,24.00
130,4.44,164.44,CPU bound,4.44,164.44,,164.21,89.74,104.0,112.0,8.22,12.10,14.16,112.00,104.0,112.0,8.00,10.00,13.87,112.00,205.04,,,,,,,,,,,,,,,32.87,8.12,40.99,16.00,32.37,48.37,16.37,8.12,24.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
140,4.44,164.44,CPU bound,4.44,164.44,,164.21,89.74,104.0,112.0,8.20,12.21,14.16,112.00,104.0,112.0,8.00,10.00,13.87,112.00,205.05,,,,,,,,,,,,,,,32.75,8.12,40.87,16.25,32.62,48.87,16.37,8.12,24.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
150,4.44,164.44,CPU bound,4.44,164.44,,164.21,90.18,104.0,112.0,8.18,12.28,14.05,112.00,104.0,112.0,8.00,10.00,13.87,112.00,204.03,,,,,,,,,,,,,,,32.75,8.12,40.87,16.37,32.75,49.12,16.37,8.00,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
160,4.44,164.44,CPU bound,4.44,164.44,,164.21,89.20,104.0,112.0,8.18,12.28,14.10,112.00,104.0,112.0,8.00,10.00,13.87,112.00,206.28,,,,,,,,,,,,,,,32.75,8.12,40.87,16.37,32.75,49.12,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
170,4.44,164.44,CPU bound,4.44,164.44,,164.21,88.35,104.0,112.0,8.16,12.25,14.08,112.00,104.0,112.0,8.00,10.00,13.87,112.00,208.27,,,,,,,,,,,,,,,32.62,8.12,40.74,16.37,32.62,48.99,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
180,4.44,164.44,CPU bound,4.44,164.44,,164.21,89.82,104.0,112.0,8.18,12.28,14.11,112.00,104.0,112.0,8.00,10.00,13.87,112.00,204.86,,,,,,,,,,,,,,,32.75,8.12,40.87,16.37,32.75,49.12,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
190,4.44,164.44,CPU bound,4.44,164.44,,164.21,90.19,104.0,112.0,8.15,12.24,14.09,112.00,104.0,112.0,8.00,10.00,13.87,112.00,204.01,,,,,,,,,,,,,,,32.62,8.12,40.74,16.37,32.62,48.99,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
200,4.44,164.44,CPU bound,4.44,164.44,,164.21,88.00,104.0,112.0,8.15,12.24,14.08,112.00,104.0,112.0,8.00,10.00,13.87,112.00,209.08,,,,,,,,,,,,,,,32.62,8.12,40.74,16.37,32.62,48.99,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
210,4.44,164.44,CPU bound,4.44,164.44,,164.21,90.23,104.0,112.0,8.13,12.20,14.04,112.00,104.0,112.0,8.00,10.00,13.87,112.00,203.92,,,,,,,,,,,,,,,32.50,8.12,40.62,16.25,32.50,48.75,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
220,4.44,164.44,CPU bound,4.44,164.44,,164.21,89.57,104.0,112.0,8.13,12.20,14.06,112.00,104.0,112.0,8.00,10.00,13.87,112.00,205.42,,,,,,,,,,,,,,,32.50,8.12,40.62,16.25,32.50,48.75,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
230,4.44,164.44,CPU bound,4.44,164.44,,164.21,89.77,104.0,112.0,8.10,12.15,13.99,112.00,104.0,112.0,8.00,10.00,13.87,112.00,204.97,,,,,,,,,,,,,,,32.37,8.12,40.49,16.25,32.37,48.62,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
240,4.44,164.44,CPU bound,4.44,164.44,,164.21,89.38,104.0,112.0,8.12,12.20,14.03,112.00,104.0,112.0,8.00,10.00,13.87,112.00,205.86,,,,,,,,,,,,,,,32.50,8.12,40.62,16.25,32.50,48.75,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
250,4.44,164.44,CPU bound,4.44,164.44,,164.21,90.27,104.0,112.0,8.09,12.15,13.98,112.00,104.0,112.0,8.00,10.00,13.87,112.00,203.83,,,,,,,,,,,,,,,32.37,8.12,40.49,16.25,32.37,48.62,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
260,4.44,164.44,CPU bound,4.44,164.44,,164.21,89.87,104.0,112.0,8.09,12.15,14.02,112.00,104.0,112.0,8.00,10.00,13.87,112.00,204.74,,,,,,,,,,,,,,,32.37,8.12,40.49,16.25,32.37,48.62,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
270,4.44,164.44,CPU bound,4.44,164.44,,164.21,90.46,104.0,112.0,8.09,12.14,14.23,112.00,104.0,112.0,8.00,10.00,13.87,112.00,203.41,,,,,,,,,,,,,,,32.37,8.00,40.37,16.25,32.37,48.62,16.12,8.50,24.62,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
280,4.44,164.44,CPU bound,4.44,164.44,,164.21,89.08,104.0,112.0,8.09,12.14,13.99,112.00,104.0,112.0,8.00,10.00,13.87,112.00,206.56,,,,,,,,,,,,,,,32.37,8.00,40.37,16.25,32.37,48.62,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
290,4.44,164.44,CPU bound,4.44,164.44,,164.21,89.65,104.0,112.0,8.09,12.14,14.33,112.00,104.0,112.0,8.00,10.00,13.87,112.00,205.23,,,,,,,,,,,,,,,32.37,8.00,40.37,16.25,32.37,48.62,16.12,8.62,24.74,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
300,4.44,164.44,CPU bound,4.44,164.44,,164.21,89.16,104.0,112.0,8.09,12.14,14.07,112.00,104.0,112.0,8.00,10.00,13.87,112.00,206.37,,,,,,,,,,,,,,,32.37,8.00,40.37,16.25,32.37,48.62,16.12,8.25,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
310,4.44,164.44,CPU bound,4.44,164.44,,164.21,90.23,104.0,112.0,8.09,12.14,15.23,112.00,104.0,112.0,8.00,10.00,13.87,112.00,203.92,,,,,,,,,,,,,,,32.37,8.00,40.37,16.25,32.37,48.62,16.12,10.25,26.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
320,4.44,164.44,CPU bound,4.44,164.44,,164.21,89.02,104.0,112.0,8.09,12.14,15.34,112.00,104.0,112.0,8.00,10.00,13.87,112.00,206.71,,,,,,,,,,,,,,,32.37,8.00,40.37,16.25,32.37,48.62,16.12,10.37,26.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
330,4.44,164.44,CPU bound,4.44,164.44,,164.21,89.96,104.0,112.0,8.09,12.14,16.42,112.00,104.0,112.0,8.00,10.00,13.87,112.00,204.55,,,,,,,,,,,,,,,32.37,8.00,40.37,16.25,32.37,48.62,16.12,10.75,26.87,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
