,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
10,9.55,353.70,CPU bound. 9.55 GFLOP/s due to CPU bottleneck,9.55,353.70,,353.69,276.02,52.0,28.0,0.0,0.0,0.0,52.0 ,52.0,28.0,0.0,0.0,0.0,52.0 ,66.66,53.8,39.8,0.1,0.0,0.0,.32,0,.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,9.55,353.70,CPU bound. 9.55 GFLOP/s due to CPU bottleneck,9.55,353.70,,353.84,219.39,52.0,28.0,9.5,0.0,0.0,52.0 ,52.0,28.0,8.0,0.0,0.0,52.0 ,83.87,71.1,45.3,9.6,2.0,0.0,29.28,9.12,38.40,6.96,.88,7.84,0,0,0,29.00,9.12,38.12,0,0,0,0,0,0,24.00,8.00,32.00,0,0,0,0,0,0
30,9.55,353.70,CPU bound. 9.55 GFLOP/s due to CPU bottleneck,9.55,353.70,,353.69,279.29,52.0,28.0,9.0,8.9,0.0,52.0 ,52.0,28.0,12.0,8.0,0.0,52.0 ,65.88,52.6,31.2,10.1,9.2,0.0,31.84,8.64,40.48,28.24,8.64,36.88,0,0,0,27.50,8.62,36.12,27.12,8.62,35.74,0,0,0,40.00,8.00,48.00,24.00,8.00,32.00,0,0,0
40,9.55,353.70,CPU bound. 9.55 GFLOP/s due to CPU bottleneck,9.55,353.70,,353.69,239.38,52.0,28.0,13.0,8.6,0.0,52.0 ,52.0,28.0,12.0,8.0,0.0,52.0 ,76.87,61.1,36.1,13.0,8.9,0.0,43.68,8.48,52.16,27.28,8.48,35.76,0,0,0,43.37,8.37,51.74,26.12,8.37,34.49,0,0,0,40.00,8.00,48.00,24.00,8.00,32.00,0,0,0
50,9.55,353.70,CPU bound. 9.55 GFLOP/s due to CPU bottleneck,9.55,353.70,,353.69,276.04,52.0,28.0,12.8,8.5,0.0,52.0 ,52.0,28.0,12.0,8.0,0.0,52.0 ,66.66,52.3,29.9,12.9,8.9,0.0,43.04,8.48,51.52,27.12,8.40,35.52,0,0,0,42.75,8.37,51.12,25.75,8.37,34.12,0,0,0,40.00,8.00,48.00,24.00,8.00,32.00,0,0,0
60,9.55,353.70,CPU bound. 9.55 GFLOP/s due to CPU bottleneck,9.55,353.70,,353.84,269.69,52.0,28.0,12.6,8.5,0.0,52.0 ,52.0,28.0,12.0,8.0,0.0,52.0 ,68.23,57.9,33.3,12.7,9.1,0.0,42.40,8.32,50.72,28.16,8.24,36.40,0,0,0,42.25,8.25,50.50,25.75,8.25,34.00,0,0,0,40.00,8.00,48.00,24.00,8.00,32.00,0,0,0
70,9.55,353.70,CPU bound. 9.55 GFLOP/s due to CPU bottleneck,9.55,353.70,,353.69,279.98,52.0,28.0,12.5,8.5,0.0,52.0 ,52.0,28.0,12.0,8.0,0.0,52.0 ,65.72,52.3,29.3,12.6,9.6,0.0,42.16,8.24,50.40,30.16,8.24,38.40,0,0,0,41.87,8.25,50.12,25.75,8.25,34.00,0,0,0,40.00,8.00,48.00,24.00,8.00,32.00,0,0,0
80,9.55,353.70,CPU bound. 9.55 GFLOP/s due to CPU bottleneck,9.55,353.70,,353.69,257.36,52.0,28.0,12.5,10.4,0.0,52.0 ,52.0,28.0,12.0,8.0,0.0,52.0 ,71.49,56.4,32.0,12.7,10.7,0.2,42.40,8.24,50.64,34.56,8.24,42.80,.24,.08,.32,41.62,8.25,49.87,33.37,8.25,41.62,0,0,0,40.00,8.00,48.00,24.00,8.00,32.00,0,0,0
