N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC Arithmetic Intensity,Roofline ECM MLUPs,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,Benchmark cycl,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,9.20,1314.28,CPU bound,9.20,1314.28,,1313.71,375.68,12.0,14.0,0.00,0.00,0.00,14.00,12.0,14.0,0.00,0.00,0.00,14.00,48.98,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,9.20,1314.28,CPU bound,9.20,1314.28,,1313.71,546.92,12.0,14.0,4.97,0.00,0.00,14.00,12.0,14.0,4.00,0.00,0.00,14.00,33.64,,,,,,,,,,,,,,,19.87,9.00,28.87,0,0,0,0,0,0,16.00,8.00,24.00,0,0,0,0,0,0
30,9.20,1314.28,CPU bound,9.20,1314.28,,1313.71,619.62,12.0,14.0,4.61,0.00,0.00,14.00,12.0,14.0,4.00,0.00,0.00,14.00,29.70,,,,,,,,,,,,,,,18.37,8.62,26.99,0,0,0,0,0,0,16.00,8.00,24.00,0,0,0,0,0,0
40,6.69,955.71,0.20,8.01,1144.28,0.17,1313.71,667.51,12.0,14.0,8.53,8.86,0.00,14.00,12.0,14.0,8.00,6.00,0.00,14.00,27.57,,,,,,,,,,,,,,,34.12,8.37,42.49,17.75,17.75,35.50,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
50,6.80,971.42,0.20,8.01,1144.28,0.17,1313.71,701.51,12.0,14.0,8.44,8.71,0.00,14.00,12.0,14.0,8.00,6.00,0.00,14.00,26.23,,,,,,,,,,,,,,,33.75,8.37,42.12,17.37,17.37,34.74,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
60,6.81,972.85,0.20,8.01,1144.28,0.17,1313.71,706.50,12.0,14.0,8.36,8.70,0.00,14.00,12.0,14.0,8.00,6.00,0.00,14.00,26.04,,,,,,,,,,,,,,,33.50,8.25,41.75,17.37,17.37,34.74,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
70,6.78,968.57,0.20,8.01,1144.28,0.17,1313.71,736.71,12.0,14.0,8.31,8.74,0.00,14.00,12.0,14.0,8.00,6.00,0.00,14.00,24.98,,,,,,,,,,,,,,,33.25,8.25,41.50,17.50,17.50,35.00,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
80,6.73,961.42,0.20,8.01,1144.28,0.17,1313.71,729.60,12.0,14.0,8.26,8.26,1.05,14.00,12.0,14.0,8.00,6.00,0.00,14.00,25.22,,,,,,,,,,,,,,,33.00,8.25,41.25,15.37,17.62,32.99,2.25,0,2.25,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
90,6.65,950.00,0.20,5.60,800.00,0.29,924.40,630.02,12.0,14.0,8.23,4.45,15.56,20.01,12.0,14.0,8.00,6.00,13.87,19.87,29.21,,,,,,,,,,,,,,,32.87,8.25,41.12,0,17.87,17.87,17.87,9.12,26.99,32.00,8.00,40.00,16.00,8.00,24.00,16.00,8.00,24.00
100,7.19,1027.14,0.21,5.60,800.00,0.29,925.61,633.77,12.0,14.0,8.21,4.12,14.27,18.39,12.0,14.0,8.00,6.00,13.87,19.87,29.03,,,,,,,,,,,,,,,32.87,8.12,40.99,0,16.50,16.50,16.50,8.25,24.75,32.00,8.00,40.00,16.00,8.00,24.00,16.00,8.00,24.00
110,7.20,1028.57,0.21,5.60,800.00,0.29,925.61,609.31,12.0,14.0,8.19,4.12,14.22,18.34,12.0,14.0,8.00,6.00,13.87,19.87,30.20,,,,,,,,,,,,,,,32.75,8.12,40.87,0,16.50,16.50,16.50,8.12,24.62,32.00,8.00,40.00,16.00,8.00,24.00,16.00,8.00,24.00
120,7.22,1031.42,0.21,5.60,800.00,0.29,925.61,687.66,12.0,14.0,8.17,4.10,14.17,18.27,12.0,14.0,8.00,6.00,13.87,19.87,26.76,,,,,,,,,,,,,,,32.62,8.12,40.74,0,16.37,16.37,16.37,8.12,24.49,32.00,8.00,40.00,16.00,8.00,24.00,16.00,8.00,24.00
130,3.81,544.28,0.11,5.60,800.00,0.29,770.50,675.06,12.0,14.0,8.16,11.46,14.13,25.59,12.0,14.0,8.00,10.00,13.87,23.87,27.26,,,,,,,,,,,,,,,32.62,8.12,40.74,14.75,31.12,45.87,16.37,8.12,24.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
140,3.72,531.42,0.11,5.60,800.00,0.29,770.50,625.42,12.0,14.0,8.15,11.86,14.13,25.99,12.0,14.0,8.00,10.00,13.87,23.87,29.42,,,,,,,,,,,,,,,32.62,8.12,40.74,15.50,31.87,47.37,16.37,8.12,24.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
150,3.64,520.00,0.11,5.60,800.00,0.29,770.50,647.26,12.0,14.0,8.13,12.19,14.12,26.31,12.0,14.0,8.00,10.00,13.87,23.87,28.43,,,,,,,,,,,,,,,32.50,8.12,40.62,16.25,32.50,48.75,16.37,8.12,24.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
160,3.65,521.42,0.11,5.60,800.00,0.29,770.50,630.62,12.0,14.0,8.13,12.18,14.10,26.28,12.0,14.0,8.00,10.00,13.87,23.87,29.18,,,,,,,,,,,,,,,32.50,8.12,40.62,16.25,32.50,48.75,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
170,3.65,521.42,0.11,5.60,800.00,0.29,770.50,640.98,12.0,14.0,8.12,12.17,14.07,26.24,12.0,14.0,8.00,10.00,13.87,23.87,28.71,,,,,,,,,,,,,,,32.50,8.12,40.62,16.25,32.50,48.75,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
180,3.65,521.42,0.11,5.60,800.00,0.29,770.50,638.12,12.0,14.0,8.11,12.16,14.08,26.24,12.0,14.0,8.00,10.00,13.87,23.87,28.83,,,,,,,,,,,,,,,32.50,8.12,40.62,16.12,32.50,48.62,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
190,3.65,521.42,0.11,5.60,800.00,0.29,770.50,652.00,12.0,14.0,8.11,12.15,14.07,26.22,12.0,14.0,8.00,10.00,13.87,23.87,28.22,,,,,,,,,,,,,,,32.50,8.12,40.62,16.12,32.50,48.62,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
200,3.66,522.85,0.11,5.60,800.00,0.29,770.17,633.43,12.0,14.0,8.10,12.15,14.08,26.23,12.0,14.0,8.00,10.00,13.87,23.87,29.05,,,,,,,,,,,,,,,32.37,8.12,40.49,16.12,32.37,48.49,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
210,3.66,522.85,0.11,5.60,800.00,0.29,770.50,656.92,12.0,14.0,8.09,12.13,14.07,26.20,12.0,14.0,8.00,10.00,13.87,23.87,28.01,,,,,,,,,,,,,,,32.37,8.12,40.49,16.12,32.37,48.49,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
220,3.66,522.85,0.11,5.60,800.00,0.29,770.50,660.74,12.0,14.0,8.09,12.13,14.00,26.13,12.0,14.0,8.00,10.00,13.87,23.87,27.85,,,,,,,,,,,,,,,32.37,8.12,40.49,16.12,32.37,48.49,16.25,8.00,24.25,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
230,3.67,524.28,0.11,5.60,800.00,0.29,770.50,679.35,12.0,14.0,8.08,12.12,14.00,26.11,12.0,14.0,8.00,10.00,13.87,23.87,27.08,,,,,,,,,,,,,,,32.37,8.12,40.49,16.12,32.37,48.49,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
240,3.66,522.85,0.11,5.60,800.00,0.29,770.50,701.48,12.0,14.0,8.09,12.12,14.03,26.15,12.0,14.0,8.00,10.00,13.87,23.87,26.23,,,,,,,,,,,,,,,32.37,8.12,40.49,16.12,32.37,48.49,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
250,3.66,522.85,0.11,5.60,800.00,0.29,770.50,709.87,12.0,14.0,8.09,12.12,14.06,26.18,12.0,14.0,8.00,10.00,13.87,23.87,25.92,,,,,,,,,,,,,,,32.37,8.12,40.49,16.12,32.37,48.49,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
260,3.67,524.28,0.11,5.60,800.00,0.29,770.50,706.84,12.0,14.0,8.07,12.10,14.02,26.13,12.0,14.0,8.00,10.00,13.87,23.87,26.03,,,,,,,,,,,,,,,32.25,8.12,40.37,16.12,32.25,48.37,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
270,3.67,524.28,0.11,5.60,800.00,0.29,770.50,648.99,12.0,14.0,8.07,12.10,14.30,26.40,12.0,14.0,8.00,10.00,13.87,23.87,28.35,,,,,,,,,,,,,,,32.25,8.00,40.25,16.12,32.25,48.37,16.12,8.62,24.74,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
280,3.67,524.28,0.11,5.60,800.00,0.29,770.50,690.24,12.0,14.0,8.07,12.10,13.99,26.09,12.0,14.0,8.00,10.00,13.87,23.87,26.66,,,,,,,,,,,,,,,32.25,8.00,40.25,16.12,32.25,48.37,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
290,3.67,524.28,0.11,5.60,800.00,0.29,770.50,667.43,12.0,14.0,8.07,12.10,14.01,26.11,12.0,14.0,8.00,10.00,13.87,23.87,27.57,,,,,,,,,,,,,,,32.25,8.00,40.25,16.12,32.25,48.37,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
300,3.67,524.28,0.11,5.60,800.00,0.29,770.50,651.62,12.0,14.0,8.07,12.09,14.11,26.21,12.0,14.0,8.00,10.00,13.87,23.87,28.24,,,,,,,,,,,,,,,32.25,8.00,40.25,16.12,32.25,48.37,16.12,8.25,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
310,3.67,524.28,0.11,5.60,800.00,0.29,770.50,666.94,12.0,14.0,8.06,12.09,14.02,26.11,12.0,14.0,8.00,10.00,13.87,23.87,27.59,,,,,,,,,,,,,,,32.25,8.00,40.25,16.12,32.25,48.37,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
320,3.67,524.28,0.11,5.60,800.00,0.29,770.50,642.06,12.0,14.0,8.06,12.09,14.04,26.13,12.0,14.0,8.00,10.00,13.87,23.87,28.66,,,,,,,,,,,,,,,32.25,8.00,40.25,16.12,32.25,48.37,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
330,3.67,524.28,0.11,5.60,800.00,0.29,770.50,672.51,12.0,14.0,8.06,12.09,14.28,26.37,12.0,14.0,8.00,10.00,13.87,23.87,27.36,,,,,,,,,,,,,,,32.25,8.00,40.25,16.12,32.25,48.37,16.12,8.62,24.74,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
