N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
10,,,L2 10 10 10 16 491 10,,,,,,,,,,,,,,
20,,,L2 20 20 20 16 246 20,,,,,,,,,,,,,,
30,,,L2 30 30 30 16 164 30,,,,,,,,,,,,,,
40,,,L2 40 40 40 16 123 40,,,,,,,,,,,,,,
50,,,L2 50 50 50 16 98 50,,,,,,,,,,,,,,
60,,,L2 60 60 60 16 82 60,,,,,,,,,,,,,,
70,,,L2 70 70 70 16 70 70,,,,,,,,,,,,,,
80,,,L2 80 80 80 16 61 80,,,,,,,,,,,,,,
90,,,L2 90 90 90 16 55 90,,,,,,,,,,,,,,
100,,,L2 100 100 100 16 49 100,,,,,,,,,,,,,,
110,,,L2 110 110 110 16 45 110,,,,,,,,,,,,,,
120,,,L2 120 120 120 16 41 120,,,,,,,,,,,,,,
130,,,L2 130 130 130 16 38 130,,,,,,,,,,,,,,
140,,,L2 140 140 140 16 35 140,,,,,,,,,,,,,,
150,,,L2 150 150 150 16 33 150,,,,,,,,,,,,,,
160,,,L2 160 160 160 16 31 160,,,,,,,,,,,,,,
170,,,L2 170 170 170 16 29 170,,,,,,,,,,,,,,
180,,,L2 180 180 180 16 27 180,,,,,,,,,,,,,,
190,,,L2 190 190 190 16 26 190,,,,,,,,,,,,,,
200,,,L2 200 200 200 16 25 200,,,,,,,,,,,,,,
210,,,L2 210 210 210 16 23 210,,,,,,,,,,,,,,
220,,,L2 220 220 220 16 22 220,,,,,,,,,,,,,,
230,,,L2 230 230 230 16 21 230,,,,,,,,,,,,,,
240,,,L2 240 240 240 16 20 240,,,,,,,,,,,,,,
250,,,L2 250 250 250 16 20 250,,,,,,,,,,,,,,
260,,,L2 260 260 260 16 19 260,,,,,,,,,,,,,,
270,,,L2 270 270 270 16 18 270,,,,,,,,,,,,,,
280,,,L2 280 280 280 16 18 280,,,,,,,,,,,,,,
290,,,L2 290 290 290 16 17 290,,,,,,,,,,,,,,
300,,,L2 300 300 300 16 16 300,,,,,,,,,,,,,,
310,,,L2 310 310 310 16 16 310,,,,,,,,,,,,,,
320,,,L2 320 320 320 16 15 320,,,,,,,,,,,,,,
330,,,L2 330 330 330 16 15 330,,,,,,,,,,,,,,
340,,,L2 340 340 340 16 14 340,,,,,,,,,,,,,,
350,,,L2 350 350 350 16 14 350,,,,,,,,,,,,,,
360,,,L2 360 360 360 16 14 360,,,,,,,,,,,,,,
370,,,L2 370 370 370 16 13 370,,,,,,,,,,,,,,
380,,,L2 380 380 380 16 13 380,,,,,,,,,,,,,,
390,,,L2 390 390 390 16 13 390,,,,,,,,,,,,,,
400,,,L2 400 400 400 16 12 400,,,,,,,,,,,,,,
410,,,L2 410 410 410 16 12 410,,,,,,,,,,,,,,
420,,,L2 420 420 420 16 12 420,,,,,,,,,,,,,,
430,,,L2 430 430 430 16 12 420,,,,,,,,,,,,,,
440,,,L2 440 440 440 16 12 420,,,,,,,,,,,,,,
450,,,L2 450 450 450 16 12 420,,,,,,,,,,,,,,
460,,,L2 460 460 460 16 12 420,,,,,,,,,,,,,,
470,,,L2 470 470 470 16 12 420,,,,,,,,,,,,,,
480,,,L2 480 480 480 16 12 420,,,,,,,,,,,,,,
490,,,L2 490 490 490 16 12 420,,,,,,,,,,,,,,
500,,,L2 500 500 500 16 12 420,,,,,,,,,,,,,,
510,,,L2 510 510 510 16 12 420,,,,,,,,,,,,,,
