N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
10,1048576,2.102107,L2 10 10 10 16 2458 10,16106127360,536870912,7.65,255.39,76.80,.08,0,0,0,9336.00,22638.00,.08,0,31974.00
20,131072,2.825173,L2 20 20 20 16 1229 20,22932357120,764411904,8.11,270.57,73.84,20.21,9.13,0,0,12241.00,29541.00,29.34,0,41782.00
30,32768,2.055699,L2 30 30 30 16 819 30,21579694080,719323136,10.49,349.91,56.40,22.22,8.88,0,0,9410.00,22455.00,31.10,0,31865.00
40,16384,2.832559,L2 40 40 40 16 614 40,26970685440,899022848,9.52,317.38,61.92,35.41,8.57,5.16,5.15,17252.00,30632.00,43.98,10.31,47884.00
50,8192,2.547687,L2 50 50 50 16 491 50,27179089920,905969664,10.66,355.60,54.80,34.69,8.49,17.46,17.44,12958.00,27920.00,43.18,34.90,40878.00
60,4096,2.309251,L2 60 60 60 16 409 60,23975362560,799178752,10.37,346.07,56.40,34.11,8.34,17.35,17.33,15804.00,24483.00,42.45,34.68,40287.00
70,4096,3.415529,L2 70 70 70 16 351 70,38637404160,1287913472,11.31,377.07,51.84,33.78,8.31,17.14,17.12,18954.00,38435.00,42.09,34.26,57389.00
80,2048,2.782252,L2 80 80 80 16 307 80,29156474880,971882496,10.47,349.31,56.40,34.41,8.24,17.00,16.98,17158.00,32299.00,42.65,33.98,49457.00
90,2048,3.934099,L2 90 90 90 16 273 90,41869639680,1395654656,10.64,354.75,54.80,33.43,8.25,16.87,16.85,175791.00,226967.00,41.68,33.72,402758.00
100,1024,2.609399,L2 100 100 100 16 246 100,28913418240,963780608,11.07,369.34,53.28,33.20,8.18,16.77,16.75,1224510.00,1330171.00,41.38,33.52,2554681.00
110,1024,3.330917,L2 110 110 110 16 223 110,38698352640,1289945088,11.61,387.26,50.48,33.09,8.17,16.68,16.67,19211729.00,22632691.00,41.26,33.35,41844420.00
120,512,2.309277,L2 120 120 120 16 205 120,25236971520,841232384,10.92,364.28,53.28,32.99,8.15,16.64,16.63,12942442.00,15348364.00,41.14,33.27,28290806.00
130,512,2.941635,L2 130 130 130 16 189 130,32212254720,1073741824,10.94,365.01,53.28,33.00,8.15,16.62,16.60,22787740.00,27264878.00,41.15,33.22,50052618.00
140,512,3.690680,L2 140 140 140 16 175 140,40367185920,1345572864,10.93,364.58,53.28,32.89,8.15,16.62,16.61,45104880.00,54592790.00,41.04,33.23,99697670.00
150,256,2.179669,L2 150 150 150 16 164 150,24896962560,829898752,11.41,380.74,51.84,32.85,8.12,16.67,16.65,35809100.00,44025226.00,40.97,33.32,79834326.00
160,256,2.900220,L2 160 160 160 16 153 160,30292316160,1009743872,10.44,348.15,56.40,34.41,8.14,18.16,18.15,56510770.00,72650710.00,42.55,36.31,129161480.00
170,256,3.188032,L2 170 170 170 16 144 170,36415733760,1213857792,11.42,380.75,51.84,33.09,8.16,18.05,18.04,75387710.00,93263900.00,41.25,36.09,168651610.00
180,256,3.962791,L2 180 180 180 16 136 180,43313295360,1443776512,10.92,364.33,53.28,33.00,8.12,17.88,17.86,95642320.00,117018400.00,41.12,35.74,212660720.00
190,128,2.231969,L2 190 190 190 16 129 190,25515540480,850518016,11.42,381.05,50.48,33.03,8.15,18.06,18.04,61809430.00,75955890.00,41.18,36.10,137765320.00
200,128,2.725797,L2 200 200 200 16 123 200,29807585280,993586176,10.93,364.50,53.28,33.03,8.14,17.78,17.77,72985430.00,90032230.00,41.17,35.55,163017660.00
210,128,2.995244,L2 210 210 210 16 117 210,34555822080,1151860736,11.53,384.56,50.48,32.86,8.09,17.64,17.62,86705550.00,107067390.00,40.95,35.26,193772940.00
220,128,3.714690,L2 220 220 220 16 112 220,39783290880,1326109696,10.70,356.98,54.80,33.27,8.34,17.83,17.82,104674490.00,130234490.00,41.61,35.65,234908980.00
230,128,3.966629,L2 230 230 230 16 107 230,45513031680,1517101056,11.47,382.46,50.48,33.13,8.09,18.01,17.99,125304930.00,152498330.00,41.22,36.00,277803260.00
240,64,2.578492,L2 240 240 240 16 102 240,25884042240,862801408,10.03,334.61,58.16,33.98,8.31,18.06,18.04,72384680.00,88428670.00,42.29,36.10,160813350.00
250,64,2.590990,L2 250 250 250 16 98 250,29285744640,976191488,11.30,376.76,51.84,33.01,8.10,18.03,18.02,83857070.00,101356270.00,41.11,36.05,185213340.00
260,64,2.936341,L2 260 260 260 16 94 260,32973143040,1099104768,11.22,374.30,51.84,33.78,8.12,17.69,17.68,92921830.00,113427710.00,41.90,35.37,206349540.00
270,64,3.216692,L2 270 270 270 16 91 270,36957757440,1231925248,11.48,382.97,50.48,33.36,8.10,17.80,17.79,106109980.00,128835700.00,41.46,35.59,234945680.00
280,64,3.823016,L2 280 280 280 16 88 280,41251107840,1375036928,10.78,359.67,54.80,33.44,8.08,17.88,17.86,120500210.00,144071920.00,41.52,35.74,264572130.00
290,64,4.001716,L2 290 290 290 16 85 290,45864714240,1528823808,11.46,382.04,51.84,37.15,8.08,18.28,18.26,135636820.00,160413730.00,45.23,36.54,296050550.00
300,32,2.292359,L2 300 300 300 16 82 300,25405048320,846834944,11.08,369.41,53.28,37.00,8.09,17.87,17.86,74871180.00,88826290.00,45.09,35.73,163697470.00
310,32,2.482212,L2 310 310 310 16 79 310,28049387520,934979584,11.29,376.66,51.84,35.92,8.28,18.19,18.18,83613300.00,98087080.00,44.20,36.37,181700380.00
320,32,3.167154,L2 320 320 320 16 77 320,30871134720,1029037824,9.74,324.90,60.00,35.59,8.25,17.95,17.93,91273770.00,107935320.00,43.84,35.88,199209090.00
330,32,3.008681,L2 330 330 330 16 74 330,33876049920,1129201664,11.25,375.31,51.84,35.83,8.26,18.03,18.01,100964450.00,118432340.00,44.09,36.04,219396790.00
340,32,3.290063,L2 340 340 340 16 72 340,37069893120,1235663104,11.26,375.57,51.84,35.30,8.19,17.96,17.94,109570720.00,129563730.00,43.49,35.90,239134450.00
350,32,3.570934,L2 350 350 350 16 70 350,40458424320,1348614144,11.32,377.66,51.84,36.09,8.31,17.83,17.82,120143760.00,141387570.00,44.40,35.65,261531330.00
360,32,4.018484,L2 360 360 360 16 68 360,44047403520,1468246784,10.95,365.37,53.28,37.83,8.49,18.14,18.13,132841650.00,153908670.00,46.32,36.27,286750320.00
370,16,2.204741,L2 370 370 370 16 66 370,23921295360,797376512,10.84,361.66,54.80,38.08,8.45,18.12,18.10,72235730.00,83575650.00,46.53,36.22,155811380.00
380,16,2.293376,L2 380 380 380 16 65 380,25924872960,864162432,11.30,376.80,51.84,37.71,8.47,17.86,17.84,77983120.00,90542790.00,46.18,35.70,168525910.00
390,16,2.603442,L2 390 390 390 16 63 390,28037314560,934577152,10.76,358.97,54.80,37.94,8.65,18.11,18.09,84835890.00,97923680.00,46.59,36.20,182759570.00
400,16,2.721475,L2 400 400 400 16 61 400,30261500160,1008716672,11.11,370.64,53.28,50.47,8.82,18.24,18.23,92368620.00,105682920.00,59.29,36.47,198051540.00
410,16,3.076530,L2 410 410 410 16 60 410,32600309760,1086676992,10.59,353.21,54.80,46.69,8.98,17.89,17.87,99062890.00,113831110.00,55.67,35.76,212894000.00
420,16,3.121820,L2 420 420 420 16 58 420,35056623360,1168554112,11.22,374.31,51.84,48.00,9.08,17.83,17.81,106505790.00,122349520.00,57.08,35.64,228855310.00
430,16,3.687203,L2 430 430 430 16 57 430,37633320960,1254444032,10.20,340.21,58.16,39.23,8.74,18.49,18.47,115596070.00,131375430.00,47.97,36.96,246971500.00
440,16,3.644599,L2 440 440 440 16 56 440,40333282560,1344442752,11.06,368.88,53.28,38.52,8.69,18.23,18.21,123626720.00,140787670.00,47.21,36.44,264414390.00
