N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
10,1048576,3.491298,L2 10 10 10 16 308 10,16106127360,536870912,4.61,153.77,122.64,43.20,7.49,0,0,94529.01,180454.00,50.69,0,274983.01
20,65536,2.512727,L2 20 20 20 16 154 20,11466178560,382205952,4.56,152.10,122.64,57.91,9.02,44.26,6.62,67989.01,131282.00,66.93,50.88,199271.01
30,32768,3.826612,L2 30 30 30 16 103 30,21579694080,719323136,5.63,187.97,102.16,71.22,8.82,56.18,8.65,99995.00,196554.00,80.04,64.83,296549.00
40,8192,2.714793,L2 40 40 40 16 77 40,13485342720,449511424,4.96,165.57,114.96,74.01,9.13,55.21,8.47,73851.01,140724.00,83.14,63.68,214575.01
50,4096,2.325798,L2 50 50 50 16 62 50,13589544960,452984832,5.83,194.76,96.80,68.47,8.47,55.28,8.37,66339.00,123670.00,76.94,63.65,190009.00
60,2048,2.161658,L2 60 60 60 16 52 60,11987681280,399589376,5.54,184.84,102.16,67.45,8.42,61.98,8.31,111992.01,116375.00,75.87,70.29,228367.01
70,2048,3.238131,L2 70 70 70 16 44 70,19318702080,643956736,5.96,198.86,96.80,68.01,8.33,57.81,8.26,8123116.82,1086869.00,76.34,66.07,9209985.82
80,1024,2.862989,L2 80 80 80 16 39 80,14578237440,485941248,5.08,169.73,114.96,70.52,8.54,59.10,8.22,121175599.95,36644350.00,79.06,67.32,157819949.95
90,512,2.141942,L2 90 90 90 16 35 90,10467409920,348913664,4.88,162.89,122.64,68.08,8.31,57.74,8.21,129814549.80,43147878.00,76.39,65.95,172962427.80
100,512,2.578509,L2 100 100 100 16 31 100,14456709120,481890304,5.60,186.88,102.16,67.38,8.24,55.21,8.17,188034261.97,61639391.00,75.62,63.38,249673652.97
110,512,3.471303,L2 110 110 110 16 28 110,19349176320,644972544,5.57,185.80,102.16,67.80,8.25,56.35,8.17,251178332.92,82430675.00,76.05,64.52,333609007.92
120,256,2.528450,L2 120 120 120 16 26 120,12618485760,420616192,4.98,166.35,114.96,79.61,8.68,56.53,8.16,163452292.86,53688449.00,88.29,64.69,217140741.86
130,256,3.156651,L2 130 130 130 16 24 130,16106127360,536870912,5.10,170.07,114.96,70.75,8.33,55.93,8.14,208526828.85,68425613.00,79.08,64.07,276952441.85
140,256,3.987436,L2 140 140 140 16 22 140,20183592960,672786432,5.06,168.72,114.96,68.31,8.31,54.06,8.13,260891989.81,85612102.00,76.62,62.19,346504091.81
150,128,2.276365,L2 150 150 150 16 21 150,12448481280,414949376,5.46,182.28,102.16,69.17,8.24,59.42,8.13,161042720.83,52759745.00,77.41,67.55,213802465.83
