N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
10,2097152,3.250218,L2 10 10 10 16 614 10,8589934592,1073741824,2.63,330.35,57.44,0,0,0,0,87164.00,167928.00,0,0,255092.00
20,131072,2.146231,L2 20 20 20 16 307 20,6115295232,764411904,2.84,356.16,52.56,19.88,8.93,.72,.30,57975.00,111622.00,28.81,1.02,169597.00
30,65536,2.421393,L2 30 30 30 16 205 30,11509170176,1438646272,4.74,594.13,31.12,21.21,8.71,16.87,7.93,65378.00,125349.00,29.92,24.80,190727.00
40,32768,2.963580,L2 40 40 40 16 153 40,14384365568,1798045696,4.85,606.71,30.64,34.46,8.52,18.30,8.45,77182.00,152204.00,42.98,26.75,229386.00
50,16384,2.782743,L2 50 50 50 16 123 50,14495514624,1811939328,5.20,651.13,28.24,33.89,8.39,17.97,8.35,75106.00,144231.00,42.28,26.32,219337.00
60,8192,2.234411,L2 60 60 60 16 102 60,12786860032,1598357504,5.71,715.33,25.84,33.60,8.30,18.30,8.25,59495.00,115543.00,41.90,26.55,175038.00
70,8192,4.051119,L2 70 70 70 16 88 70,20606615552,2575826944,5.08,635.82,29.20,33.37,8.26,19.83,8.23,108327.00,210759.00,41.63,28.06,319086.00
80,4096,2.488139,L2 80 80 80 16 77 80,15550119936,1943764992,6.24,781.21,23.84,33.31,8.24,20.47,8.19,65452.00,128011.00,41.55,28.66,193463.00
90,4096,3.800783,L2 90 90 90 16 68 90,22330474496,2791309312,5.87,734.40,25.20,33.06,8.21,20.37,8.18,133829.00,224389.00,41.27,28.55,358218.00
100,2048,2.435544,L2 100 100 100 16 61 100,15420489728,1927561216,6.33,791.42,23.52,33.13,8.18,19.85,8.12,10410530.34,12908181.00,41.31,27.97,23318711.34
110,1024,2.082189,L2 110 110 110 16 56 110,10319560704,1289945088,4.95,619.51,30.16,33.03,8.17,19.53,8.07,82550877.09,95734003.00,41.20,27.60,178284880.09
120,1024,3.089734,L2 120 120 120 16 51 120,13459718144,1682464768,4.35,544.53,34.00,33.15,8.16,20.09,7.94,195157413.42,205980709.00,41.31,28.03,401138122.42
130,512,1.984588,L2 130 130 130 16 47 130,8589934592,1073741824,4.32,541.03,34.64,33.07,8.15,19.44,7.93,137798382.21,136435262.00,41.22,27.37,274233644.21
140,512,2.529678,L2 140 140 140 16 44 140,10764582912,1345572864,4.25,531.91,35.36,32.63,8.13,19.70,7.90,173938508.27,170823472.00,40.76,27.60,344761980.27
150,512,3.050598,L2 150 150 150 16 41 150,13278380032,1659797504,4.34,544.08,34.00,33.02,8.13,18.46,7.90,214177730.25,210582621.00,41.15,26.36,424760351.25
160,512,3.809195,L2 160 160 160 16 38 160,16155901952,2019487744,4.23,530.15,35.36,32.67,8.13,20.79,7.90,260498120.25,256001503.00,40.80,28.69,516499623.25
170,256,2.249940,L2 170 170 170 16 36 170,9710862336,1213857792,4.31,539.50,34.64,32.99,8.12,19.42,7.92,156365696.24,153755296.00,41.11,27.34,310120992.24
180,256,2.699407,L2 180 180 180 16 34 180,11550212096,1443776512,4.27,534.84,34.64,32.98,8.10,20.82,7.88,185893489.23,182702407.00,41.08,28.70,368595896.23
190,256,3.061844,L2 190 190 190 16 32 190,13608288256,1701036032,4.44,555.55,33.44,33.01,8.11,18.44,7.89,219241447.24,215174448.00,41.12,26.33,434415895.24
200,256,3.648452,L2 200 200 200 16 31 200,15897378816,1987172352,4.35,544.66,34.00,33.05,8.10,19.47,7.84,257622661.29,251239728.00,41.15,27.31,508862389.29
