,Roofline,,,,,,,,ECM,,,,,,,,,,,,,Data Transfer,,,,,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,L1-L2 (B/LUP),,,,L2-L3 (B/LUP),,,,L3-MEM (B/LUP),,,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,access,load,evict,total,access,load,evict,total,access,load,evict,total,load,evict,total,load,evict,total,load,evict,total
10,,,,8.21,1172.85714285714,,1257.14285714286,340.97,,,,,,,12,14,0,0,0,14,51.62,253.28,0,0,0,0,0,0,0,0,0.08,0.08,0.16
20,8.21,1172.85714285714,0.25,8.21,1172.85714285714,,880,417.38,12,14,7,0,0,21,12,14,6,0,0,20,42.17,237.36,9.04,20,29.04,20,0,0,0,0,0.08,0.08,0.16
30,3.65,521.428571428571,0.29,4.5,642.857142857143,0.29,676.923076923077,427.37,12,14,5,7,0,26,12,14,6,6,0,26,41.18,170.4,8.72,20.8,29.52,20.8,7.44,18.64,26.08,18.64,0.08,0.08,0.16
40,4.5,642.857142857143,0.29,4.5,642.857142857143,0.29,586.666666666667,376.99,12,14,10,6,0,30,12,14,10,6,0,30,46.69,186.08,8.48,34.4,42.88,34.4,8.4,18.16,26.56,18.16,0.08,0.08,0.16
50,4.5,642.857142857143,0.29,4.5,642.857142857143,0.29,586.666666666667,448.3,12,14,10,6,0,30,12,14,10,6,0,30,39.26,132.64,8.4,33.92,42.32,33.92,8,17.36,25.36,17.36,0.08,0.08,0.16
60,4.5,642.857142857143,0.29,4.5,642.857142857143,0.29,586.666666666667,404.68,12,14,10,6,0,30,12,14,10,6,0,30,43.49,160.48,8.32,33.6,41.92,33.6,8.16,18.24,26.4,18.24,0.08,0.08,0.16
70,4.5,642.857142857143,0.29,4.5,642.857142857143,0.29,586.666666666667,458.02,12,14,10,6,0,30,12,14,10,6,0,30,38.43,136,8.24,33.36,41.6,33.36,8.08,19.12,27.2,19.12,0.08,0.08,0.16
80,4.5,642.857142857143,0.29,4.5,642.857142857143,0.29,586.666666666667,423.84,12,14,10,6,0,30,12,14,10,6,0,30,41.53,148.08,8.24,33.36,41.6,33.36,8.16,20.24,28.4,20.24,0.08,0.08,0.16
90,4.5,642.857142857143,0.17,4.5,642.857142857143,0.29,586.666666666667,452.96,12,14,10,6,0,30,12,14,10,6,0,30,38.86,130.56,8.24,33.04,41.28,33.04,7.92,20.56,28.48,20.56,0.08,0.08,0.16
100,2.45,350,0.17,2.45,350,0.17,517.647058823529,458.98,12,14,10,10,0,34,12,14,10,10,0,34,38.35,134.88,8.16,32.96,41.12,32.96,7.84,27.76,35.6,27.76,0.08,0.08,0.16
110,2.45,350,0.17,2.45,350,0.17,517.647058823529,452,12,14,10,10,0,34,12,14,10,10,0,34,38.94,127.12,8.16,32.8,40.96,32.8,7.76,30.16,37.92,30.16,0.4,0.4,0.8
120,2.45,350,0.17,2.45,350,0.17,392.857142857143,432.16,12,14,10,10,0,34,12,14,10,10,10.8,44.8,40.73,135.92,8.16,32.72,40.88,32.72,7.68,31.2,38.88,31.2,4,5.12,9.12
130,2.45,350,0.17,2.45,350,0.17,392.857142857143,309.15,12,14,10,10,15.8,49.8,12,14,10,10,10.8,44.8,56.93,119.84,8.16,32.72,40.88,32.72,8.08,32.56,40.64,32.56,8.08,13.84,21.92
140,2.45,350,0.17,2.45,350,0.17,392.857142857143,397.61,12,14,10,10,15.8,49.8,12,14,10,10,10.8,44.8,44.26,132.48,8.16,32.72,40.88,32.72,7.52,30.64,38.16,30.64,8.24,16.48,24.72
150,2.45,350,0.17,2.45,350,0.17,392.857142857143,394.53,12,14,10,10,10.8,44.8,12,14,10,10,10.8,44.8,44.61,123.12,8.16,32.64,40.8,32.64,7.52,30.8,38.32,30.8,8.16,16.56,24.72
160,2.45,350,0.17,2.45,350,0.17,392.857142857143,388.84,12,14,10,10,10.8,44.8,12,14,10,10,10.8,44.8,45.26,129.92,8.08,32.72,40.8,32.72,7.44,30.56,38,30.56,8.16,16.56,24.72
170,2.45,350,0.17,2.45,350,0.17,392.857142857143,407.97,12,14,10,10,7.5,41.5,12,14,10,10,10.8,44.8,43.14,121.84,8.08,32.48,40.56,32.48,7.52,30.32,37.84,30.32,8.16,16.48,24.64
180,2.45,350,0.17,2.45,350,0.17,392.857142857143,403.97,12,14,10,10,15.8,49.8,12,14,10,10,10.8,44.8,43.57,124.72,8.08,32.48,40.56,32.48,7.44,30.24,37.68,30.24,8.16,16.48,24.64
190,2.45,350,0.17,2.45,350,0.17,392.857142857143,406.2,12,14,10,10,10.8,44.8,12,14,10,10,10.8,44.8,43.33,120.8,8.08,32.48,40.56,32.48,7.44,30.16,37.6,30.16,8.16,16.48,24.64
200,2.45,350,0.17,2.45,350,0.17,392.857142857143,408.7,12,14,10,10,10.8,44.8,12,14,10,10,10.8,44.8,43.06,126.32,8.08,32.48,40.56,32.48,7.36,30.16,37.52,30.16,8.16,16.48,24.64
210,2.45,350,0.17,2.45,350,0.17,392.857142857143,411.12,12,14,10,10,10.8,44.8,12,14,10,10,10.8,44.8,42.81,116.88,8.08,32.4,40.48,32.4,7.28,30.08,37.36,30.08,8.16,16.4,24.56
220,2.45,350,0.17,2.45,350,0.17,392.857142857143,401.73,12,14,10,10,10.8,44.8,12,14,10,10,10.8,44.8,43.81,125.04,8.08,32.4,40.48,32.4,7.44,30.08,37.52,30.08,8.16,16.4,24.56
230,2.45,350,0.17,2.45,350,0.17,392.857142857143,408.7,12,14,10,10,10.8,44.8,12,14,10,10,10.8,44.8,43.06,119.28,8.08,32.4,40.48,32.4,7.36,30.16,37.52,30.16,8.16,16.4,24.56
