N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
10,2097152,3.085682,L3 10 10 10 16 49152 10,8589934592,1073741824,2.78,347.97,63.52,0,0,0,,23325.01,322752.00,0,,346077.01
20,131072,2.043447,L3 20 20 20 16 24576 20,6115295232,764411904,2.99,374.07,58.32,19.95,9.01,0,,16468.01,215189.00,28.96,,231657.01
30,65536,3.693966,L3 30 30 30 16 16384 30,11509170176,1438646272,3.11,389.45,56.80,21.52,8.71,16.52,,28005.01,386349.00,30.23,,414354.01
40,16384,2.149645,L3 40 40 40 16 12288 40,7192182784,899022848,3.34,418.21,52.64,34.48,8.52,18.11,,16397.01,225152.00,43.00,,241549.01
50,8192,2.187699,L3 50 50 50 16 9830 50,7247757312,905969664,3.30,414.11,52.64,33.95,8.39,17.93,,16524.01,228881.00,42.34,,245405.01
60,4096,2.075268,L3 60 60 60 16 8192 60,6393430016,799178752,3.07,385.09,56.80,33.64,8.30,18.03,,15795.01,217324.00,41.94,,233119.01
70,4096,3.345393,L3 70 70 70 16 7022 70,10303307776,1287913472,3.07,384.98,56.80,33.38,8.26,19.24,,29400.01,353107.00,41.64,,382507.01
80,4096,4.029436,L3 80 80 80 16 6144 80,15550119936,1943764992,3.85,482.39,44.96,33.53,8.22,21.56,,51736.01,422446.00,41.75,,474182.01
90,2048,3.598906,L3 90 90 90 16 5461 90,11165237248,1395654656,3.10,387.79,56.80,33.19,8.20,25.22,,1285393.03,1224838.00,41.39,,2510231.03
100,1024,2.373714,L3 100 100 100 16 4915 100,7710244864,963780608,3.24,406.02,54.00,32.96,8.17,28.68,,14628555.34,10408191.00,41.13,,25036746.34
110,1024,3.381565,L3 110 110 110 16 4468 110,10319560704,1289945088,3.04,381.46,58.32,32.87,8.16,30.83,,108896021.81,75158800.00,41.03,,184054821.81
120,1024,3.823359,L3 120 120 120 16 4096 120,13459718144,1682464768,3.51,440.04,50.16,32.80,8.14,30.91,,255789383.25,175363140.00,40.94,,431152523.25
130,512,2.900575,L3 130 130 130 16 3781 130,8589934592,1073741824,2.95,370.18,60.00,32.77,8.14,31.85,,193951823.86,131226880.00,40.91,,325178703.86
140,512,3.700287,L3 140 140 140 16 3511 140,10764582912,1345572864,2.90,363.63,60.00,32.78,8.12,32.12,,257264044.09,170091820.00,40.90,,427355864.09
150,256,2.268434,L3 150 150 150 16 3277 150,6639190016,829898752,2.92,365.84,60.00,32.68,8.11,32.01,,160581914.14,105358370.00,40.79,,265940284.14
160,256,2.219036,L3 160 160 160 16 3072 160,8077950976,1009743872,3.63,455.03,48.00,32.96,8.13,30.92,,195381514.14,128128350.00,41.09,,323509864.14
170,256,3.294736,L3 170 170 170 16 2891 170,9710862336,1213857792,2.94,368.42,60.00,32.55,8.10,31.72,,234255924.13,153969770.00,40.65,,388225694.13
180,256,3.801825,L3 180 180 180 16 2731 180,11550212096,1443776512,3.03,379.75,58.32,32.56,8.09,31.88,,278157774.12,182954310.00,40.65,,461112084.12
190,128,2.255460,L3 190 190 190 16 2587 190,6804144128,850518016,3.01,377.08,58.32,32.56,8.09,31.56,,163678204.12,107737730.00,40.65,,271415934.12
