N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
10,2097152,2.342573,L2 10 10 10 16 1638 10,8589934592,1073741824,3.66,458.35,42.64,2.37,.80,0,0,10886.00,27633.00,3.17,0,38519.00
20,131072,2.450138,L2 20 20 20 16 819 20,6115295232,764411904,2.49,311.98,61.92,39.21,9.04,0,0,12140.00,29390.00,48.25,0,41530.00
30,65536,3.046610,L2 30 30 30 16 546 30,11509170176,1438646272,3.77,472.21,41.68,44.65,8.73,7.76,7.75,76509.00,38901.00,53.38,15.51,115410.00
40,32768,3.583047,L2 40 40 40 16 410 40,14384365568,1798045696,4.01,501.81,39.12,51.69,8.53,35.15,35.12,21120.00,53163.00,60.22,70.27,74283.00
50,16384,3.422764,L2 50 50 50 16 328 50,14495514624,1811939328,4.23,529.37,36.88,50.67,8.39,34.73,34.71,407416.00,38661.00,59.06,69.44,446077.00
60,8192,2.925613,L2 60 60 60 16 273 60,12786860032,1598357504,4.36,546.32,35.52,50.25,8.31,34.13,34.10,470124.00,423366.00,58.56,68.23,893490.00
70,4096,2.162704,L2 70 70 70 16 234 70,10303307776,1287913472,4.76,595.50,32.48,49.84,8.26,33.77,33.72,3550488.00,1981698.00,58.10,67.49,5532186.00
80,4096,3.509025,L2 80 80 80 16 205 80,15550119936,1943764992,4.43,553.93,34.88,49.83,8.25,33.57,33.51,57290688.00,28748699.00,58.08,67.08,86039387.00
90,2048,2.649919,L2 90 90 90 16 182 90,11165237248,1395654656,4.21,526.67,36.88,49.60,8.20,33.37,33.30,105374771.00,46807616.00,57.80,66.67,152182387.00
100,2048,3.686971,L2 100 100 100 16 164 100,15420489728,1927561216,4.18,522.80,36.88,49.24,8.17,33.20,33.11,198090574.00,78518477.00,57.41,66.31,276609051.00
110,1024,2.529452,L2 110 110 110 16 149 110,10319560704,1289945088,4.07,509.96,38.40,49.15,8.15,33.14,33.05,155884885.00,77993205.00,57.30,66.19,233878090.00
120,1024,3.330855,L2 120 120 120 16 137 120,13459718144,1682464768,4.03,505.11,38.40,49.09,8.15,33.12,33.03,224780920.00,102679870.00,57.24,66.15,327460790.00
130,512,2.403705,L2 130 130 130 16 126 130,8589934592,1073741824,3.56,446.70,43.60,49.27,8.21,34.39,34.32,162604992.00,80420511.00,57.48,68.71,243025503.00
140,512,3.071671,L2 140 140 140 16 117 140,10764582912,1345572864,3.50,438.05,44.64,49.11,8.12,35.32,35.23,223800047.00,104327832.00,57.23,70.55,328127879.00
150,512,3.560358,L2 150 150 150 16 109 150,13278380032,1659797504,3.72,466.18,41.68,49.02,8.12,34.36,34.25,268595455.00,126956552.00,57.14,68.61,395552007.00
160,256,2.418254,L2 160 160 160 16 102 160,8077950976,1009743872,3.33,417.54,46.80,49.41,8.21,35.31,35.20,175302340.00,82977598.00,57.62,70.51,258279938.00
170,256,2.666124,L2 170 170 170 16 96 170,9710862336,1213857792,3.64,455.28,42.64,48.82,8.09,34.67,34.56,208958386.00,99760814.00,56.91,69.23,308719200.00
180,256,3.100957,L2 180 180 180 16 91 180,11550212096,1443776512,3.72,465.58,41.68,48.78,8.09,34.26,34.15,244815367.00,117705915.00,56.87,68.41,362521282.00
190,256,3.802761,L2 190 190 190 16 86 190,13608288256,1701036032,3.57,447.31,43.60,48.97,8.09,34.71,34.60,300284675.00,142609673.00,57.06,69.31,442894348.00
200,128,2.218639,L2 200 200 200 16 82 200,7948689408,993586176,3.57,447.83,43.60,48.89,8.09,34.57,34.46,174819690.00,83179886.00,56.98,69.03,257999576.00
210,128,2.420535,L2 210 210 210 16 78 210,9214885888,1151860736,3.80,475.87,40.80,48.85,8.08,34.00,33.90,198609709.00,95364294.00,56.93,67.90,293974003.00
220,128,2.994626,L2 220 220 220 16 74 220,10608877568,1326109696,3.53,442.82,43.60,48.73,8.07,34.31,34.19,232454980.00,110631632.00,56.80,68.50,343086612.00
230,128,3.236206,L2 230 230 230 16 71 230,12136808448,1517101056,3.74,468.78,41.68,48.84,8.07,34.32,34.21,267955036.00,127286545.00,56.91,68.53,395241581.00
240,128,3.978207,L2 240 240 240 16 68 240,13804822528,1725602816,3.46,433.76,44.64,48.95,8.10,34.75,34.63,308908102.00,145125338.00,57.05,69.38,454033440.00
250,64,2.185779,L2 250 250 250 16 66 250,7809531904,976191488,3.56,446.60,43.60,48.77,8.07,34.79,34.70,174736553.00,82077674.00,56.84,69.49,256814227.00
260,64,2.465385,L2 260 260 260 16 63 260,8792838144,1099104768,3.56,445.81,43.60,48.85,8.08,34.32,34.21,194740750.00,92349523.00,56.93,68.53,287090273.00
270,64,2.718333,L2 270 270 270 16 61 270,9855401984,1231925248,3.62,453.18,42.64,48.87,8.06,34.48,34.37,219798802.00,103504413.00,56.93,68.85,323303215.00
280,64,3.097908,L2 280 280 280 16 59 280,11000295424,1375036928,3.55,443.85,43.60,48.92,8.08,34.85,34.73,246376139.00,115512035.00,57.00,69.58,361888174.00
290,64,3.347970,L2 290 290 290 16 56 290,12230590464,1528823808,3.65,456.64,42.64,48.95,8.06,34.49,34.38,272320117.00,128402606.00,57.01,68.87,400722723.00
300,64,3.724322,L2 300 300 300 16 55 300,13549359104,1693669888,3.63,454.75,42.64,48.79,8.05,34.28,34.15,300837152.00,142166001.00,56.84,68.43,443003153.00
310,32,2.054627,L2 310 310 310 16 53 310,7479836672,934979584,3.63,455.05,42.64,48.94,8.05,34.63,34.52,167080739.00,78483245.00,56.99,69.15,245563984.00
320,32,2.423843,L2 320 320 320 16 51 320,8232302592,1029037824,3.39,424.54,45.68,49.40,8.21,34.62,34.50,183662773.00,86376401.00,57.61,69.12,270039174.00
330,32,2.507793,L2 330 330 330 16 50 330,9033613312,1129201664,3.60,450.27,43.60,48.92,8.05,35.08,34.97,202860191.00,94766135.00,56.97,70.05,297626326.00
340,32,2.770185,L2 340 340 340 16 48 340,9885304832,1235663104,3.56,446.05,43.60,48.87,8.04,34.95,34.82,221676667.00,103625287.00,56.91,69.77,325301954.00
350,32,2.958080,L2 350 350 350 16 47 350,10788913152,1348614144,3.64,455.90,42.64,48.97,8.12,34.33,34.23,239954405.00,113116694.00,57.09,68.56,353071099.00
360,32,3.276976,L2 360 360 360 16 46 360,11745974272,1468246784,3.58,448.04,43.60,49.03,8.17,34.53,34.40,261690748.00,123144153.00,57.20,68.93,384834901.00
370,32,3.424793,L2 370 370 370 16 44 370,12758024192,1594753024,3.72,465.64,41.68,49.26,8.06,34.30,34.18,283011500.00,133730227.00,57.32,68.48,416741727.00
