,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
10,26.32,1052.80,CPU bound,26.32,1052.80,,1050.05,200.59,17.5,14.0,0.0,0.0,0.0,17.5 ,17.5,14.0,0.0,0.0,0.0,17.5 ,91.73,35.6,62.8,0.0,0.0,0.1,0,0,0,0,0,0,.08,.08,.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,26.32,1052.80,CPU bound,26.32,1052.80,,918.80,386.94,17.5,14.0,8.7,0.0,0.0,22.7 ,17.5,14.0,6.0,0.0,0.0,20.0 ,47.55,18.6,23.8,9.1,0.0,0.0,26.32,10.24,36.56,0,0,0,.08,0,.08,24.87,10.00,34.87,0,0,0,0,0,0,16.00,8.00,24.00,0,0,0,0,0,0
30,14.33,573.20,0.39,16.36,654.40,0.45,540.47,371.00,17.5,14.0,16.0,7.6,0.0,37.6 ,17.5,14.0,14.0,6.0,0.0,34.0 ,49.60,21.9,24.1,15.0,7.5,0.0,50.72,9.36,60.08,21.12,8.88,30.00,.08,0,.08,54.62,9.25,63.87,21.25,9.25,30.50,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
40,14.49,579.60,0.40,16.36,654.40,0.45,540.47,361.82,17.5,14.0,15.8,7.2,0.0,37.0 ,17.5,14.0,14.0,6.0,0.0,34.0 ,50.85,17.9,17.7,16.0,7.7,0.0,54.80,9.04,63.84,21.92,8.96,30.88,.08,0,.08,54.25,8.87,63.12,19.75,8.87,28.62,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
50,14.84,593.60,0.41,16.36,654.40,0.45,540.47,417.49,17.5,14.0,15.4,6.9,0.0,36.3 ,17.5,14.0,14.0,6.0,0.0,34.0 ,44.07,20.0,19.2,15.5,8.3,0.0,53.20,8.72,61.92,24.48,8.72,33.20,.08,0,.08,53.00,8.75,61.75,18.87,8.75,27.62,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
60,15.11,604.40,0.41,16.36,654.40,0.45,540.47,417.32,17.5,14.0,15.2,6.8,0.0,36.0 ,17.5,14.0,14.0,6.0,0.0,34.0 ,44.09,17.7,16.0,15.3,8.1,0.0,52.56,8.72,61.28,23.68,8.56,32.24,.08,0,.08,52.00,8.62,60.62,18.87,8.62,27.49,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
70,15.28,611.20,0.42,16.36,654.40,0.45,540.47,453.72,17.5,14.0,15.0,6.9,0.0,35.8 ,17.5,14.0,14.0,6.0,0.0,34.0 ,40.55,19.3,17.3,15.0,9.3,0.0,51.60,8.48,60.08,28.56,8.48,37.04,.08,0,.08,51.50,8.50,60.00,19.00,8.50,27.50,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
80,13.08,523.20,0.44,13.19,527.60,0.45,437.52,414.92,17.5,14.0,14.9,14.1,0.0,43.0 ,17.5,14.0,14.0,14.0,0.0,42.0 ,44.35,17.7,15.2,15.2,14.4,0.0,52.24,8.48,60.72,49.28,8.48,57.76,.08,0,.08,51.00,8.37,59.37,48.00,8.37,56.37,0,0,0,48.00,8.00,56.00,48.00,8.00,56.00,0,0,0
