N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
10,1048576,2.959153,10 10 10 16 15176 10,5662310400,226492416,1.91,76.53,262.80,0,0,0,0,0,0,0,0,0
20,131072,4.068785,20 20 20 16 7588 20,13421772800,536870912,3.29,131.94,141.52,0,0,0,0,0,0,0,0,0
30,32768,4.124618,30 30 30 16 5058 30,14398259200,575930368,3.48,139.63,141.52,0,0,0,0,0,0,0,0,0
40,8192,3.221375,40 40 40 16 3794 40,9555148800,382205952,2.96,118.64,167.20,0,0,0,0,0,0,0,0,0
50,4096,2.398069,50 50 50 16 3035 50,9967206400,398688256,4.15,166.25,114.96,0,0,0,0,0,0,0,0,0
60,2048,2.833532,60 60 60 16 2529 60,8991539200,359661568,3.17,126.92,153.28,0,0,0,0,0,0,0,0,0
70,1024,3.639150,70 70 70 16 2168 70,7359897600,294395904,2.01,80.89,262.80,0,0,0,0,0,0,0,0,0
80,512,3.571975,80 80 80 16 1897 80,5618892800,224755712,1.57,62.92,306.64,0,0,0,0,0,0,0,0,0
90,256,2.210126,90 90 90 16 1686 90,4070758400,162830336,1.84,73.67,262.80,0,0,0,0,0,0,0,0,0
100,256,2.987760,100 100 100 16 1517 100,5662310400,226492416,1.89,75.80,262.80,0,0,0,0,0,0,0,0,0
110,128,2.026645,110 110 110 16 1379 110,3811251200,152450048,1.87,75.22,262.80,0,0,0,0,0,0,0,0,0
120,128,2.822593,120 120 120 16 1264 120,4994867200,199794688,1.76,70.78,306.64,0,0,0,0,0,0,0,0,0
130,128,3.396574,130 130 130 16 1167 130,6401203200,256048128,1.88,75.38,262.80,0,0,0,0,0,0,0,0,0
140,64,2.095633,140 140 140 16 1084 140,4024729600,160989184,1.91,76.81,262.80,0,0,0,0,0,0,0,0,0
150,64,2.691144,150 150 150 16 1011 150,4979417600,199176704,1.84,74.00,262.80,0,0,0,0,0,0,0,0,0
160,32,2.206801,160 160 160 16 948 160,3037132800,121485312,1.37,55.04,368.00,0,0,0,0,0,0,0,0,0
170,64,3.826795,170 170 170 16 892 170,7318873600,292754944,1.91,76.50,262.80,0,0,0,0,0,0,0,0,0
180,32,2.275960,180 180 180 16 843 180,4361420800,174456832,1.91,76.64,262.80,0,0,0,0,0,0,0,0,0
190,32,2.707421,190 190 190 16 798 190,5147884800,205915392,1.89,76.05,262.80,0,0,0,0,0,0,0,0,0
200,32,3.378659,200 200 200 16 758 200,6023628800,240945152,1.78,71.31,262.80,0,0,0,0,0,0,0,0,0
210,32,3.832347,210 210 210 16 722 210,6993452800,279738112,1.82,72.99,262.80,0,0,0,0,0,0,0,0,0
220,16,2.102474,220 220 220 16 689 220,4031078400,161243136,1.91,76.69,262.80,0,0,0,0,0,0,0,0,0
230,16,2.426525,230 230 230 16 659 230,4617270400,184690816,1.89,76.11,262.80,0,0,0,0,0,0,0,0,0
240,16,3.603074,240 240 240 16 632 240,5257702400,210308096,1.45,58.36,368.00,0,0,0,0,0,0,0,0,0
250,16,3.166067,250 250 250 16 607 250,5954774400,238190976,1.87,75.23,262.80,0,0,0,0,0,0,0,0,0
260,16,3.665588,260 260 260 16 583 260,6710886400,268435456,1.83,73.22,262.80,0,0,0,0,0,0,0,0,0
270,16,3.988183,270 270 270 16 562 270,7528438400,301137536,1.88,75.50,262.80,0,0,0,0,0,0,0,0,0
280,8,2.366934,280 280 280 16 542 280,4204915200,168196608,1.77,71.05,306.64,0,0,0,0,0,0,0,0,0
290,8,2.490844,290 290 290 16 523 290,4678731200,187149248,1.87,75.13,262.80,0,0,0,0,0,0,0,0,0
300,8,2.763584,300 300 300 16 505 300,5186867200,207474688,1.87,75.07,262.80,0,0,0,0,0,0,0,0,0
310,8,3.043024,310 310 310 16 489 310,5730523200,229220928,1.88,75.32,262.80,0,0,0,0,0,0,0,0,0
320,4,2.353868,320 320 320 16 474 320,3155449600,126217984,1.33,53.61,368.00,0,0,0,0,0,0,0,0,0
330,8,3.703510,330 330 330 16 459 330,6929195200,277167808,1.86,74.83,262.80,0,0,0,0,0,0,0,0,0
340,4,2.045766,340 340 340 16 446 340,3793305600,151732224,1.85,74.16,262.80,0,0,0,0,0,0,0,0,0
350,4,2.223604,350 350 350 16 433 350,4142173600,165686944,1.86,74.50,262.80,0,0,0,0,0,0,0,0,0
360,4,2.494245,360 360 360 16 421 360,4511801600,180472064,1.80,72.35,262.80,0,0,0,0,0,0,0,0,0
370,4,2.651081,370 370 370 16 410 370,4902789600,196111584,1.84,73.97,262.80,0,0,0,0,0,0,0,0,0
380,4,2.926885,380 380 380 16 399 380,5315737600,212629504,1.81,72.64,262.80,0,0,0,0,0,0,0,0,0
390,4,3.157013,390 390 390 16 389 390,5751245600,230049824,1.82,72.86,262.80,0,0,0,0,0,0,0,0,0
