,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
10,3.98,159.20,0.11,7.08,283.20,0.20,261.76,103.69,41.2,38.2,56.9,0.0,0.0,95.1 ,41.2,38.2,32.0,0.0,0.0,70.2 ,177.45,51.4,118.6,56.9,0.0,0.2,214.48,13.12,227.60,0,0,0,.24,.08,.32,213.75,13.87,227.62,0,0,0,0,0,0,120.00,8.00,128.00,0,0,0,0,0,0
20,4.48,179.20,0.12,5.66,226.40,0.16,166.75,150.05,41.2,38.2,50.6,41.2,0.0,130.0 ,41.2,38.2,40.0,32.0,0.0,110.2 ,122.63,20.1,46.9,52.8,50.3,0.1,200.48,10.56,211.04,190.88,10.24,201.12,.16,.08,.24,192.37,10.00,202.37,154.75,10.00,164.75,0,0,0,152.00,8.00,160.00,120.00,8.00,128.00,0,0,0
30,4.85,194.00,0.13,5.66,226.40,0.16,166.75,158.83,41.2,38.2,46.7,37.8,0.0,122.7 ,41.2,38.2,40.0,32.0,0.0,110.2 ,115.85,23.7,56.0,47.2,43.5,0.1,179.28,9.36,188.64,164.96,9.20,174.16,.16,.08,.24,177.50,9.25,186.75,141.87,9.25,151.12,0,0,0,152.00,8.00,160.00,120.00,8.00,128.00,0,0,0
40,,,,5.66,226.40,0.16,166.75,123.19,41.2,38.2,267.3,36.1,0.0,341.6 ,41.2,38.2,40.0,32.0,0.0,110.2 ,149.37,18.3,41.9,76.8,43.8,0.1,295.44,11.84,307.28,166.24,8.88,175.12,.16,.08,.24,1005.37,64.00,1069.37,135.37,8.87,144.24,0,0,0,152.00,8.00,160.00,120.00,8.00,128.00,0,0,0
50,4.46,178.40,0.15,4.78,191.20,0.16,155.46,170.49,41.2,38.2,43.7,42.8,0.0,124.7 ,41.2,38.2,40.0,40.0,0.0,118.2 ,107.93,20.7,48.1,44.7,45.1,0.5,170.08,8.80,178.88,171.52,8.72,180.24,.80,.08,.88,166.25,8.75,175.00,162.50,8.75,171.25,0,0,0,152.00,8.00,160.00,152.00,8.00,160.00,0,0,0
60,4.44,177.60,0.15,2.63,105.20,0.20,95.80,128.89,41.2,38.2,43.0,43.0,12.9,137.2 ,41.2,38.2,40.0,40.0,73.6,191.8 ,142.76,17.8,40.5,44.2,44.1,19.4,167.92,8.80,176.72,167.60,8.64,176.24,32.96,.88,33.84,163.50,8.62,172.12,163.50,8.62,172.12,20.87,1.62,22.49,152.00,8.00,160.00,152.00,8.00,160.00,120.00,8.00,128.00
70,2.44,97.60,0.18,2.63,105.20,0.20,95.80,86.06,41.2,38.2,42.6,42.6,79.3,202.7 ,41.2,38.2,40.0,40.0,73.6,191.8 ,213.80,19.7,45.1,43.4,43.1,65.7,165.12,8.56,173.68,164.08,8.48,172.56,107.60,6.72,114.32,161.87,8.50,170.37,161.87,8.50,170.37,129.37,8.62,137.99,152.00,8.00,160.00,152.00,8.00,160.00,120.00,8.00,128.00
80,,,,2.63,105.20,0.20,95.80,68.58,41.2,38.2,294.4,266.4,77.7,676.7 ,41.2,38.2,40.0,40.0,73.6,191.8 ,268.31,17.6,39.8,76.5,43.0,77.7,295.04,10.96,306.00,163.60,8.48,172.08,126.88,8.40,135.28,1113.62,64.00,1177.62,1001.62,64.00,1065.62,126.75,8.37,135.12,152.00,8.00,160.00,152.00,8.00,160.00,120.00,8.00,128.00
