N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
10,,,L3 10 10 10 16 12934 10,,,,,,,,,,,,,,
20,,,L3 20 20 20 16 6467 20,,,,,,,,,,,,,,
30,,,L3 30 30 30 16 4311 30,,,,,,,,,,,,,,
40,,,L3 40 40 40 16 3233 40,,,,,,,,,,,,,,
50,,,L3 50 50 50 16 2586 50,,,,,,,,,,,,,,
60,,,L3 60 60 60 16 2155 60,,,,,,,,,,,,,,
70,,,L3 70 70 70 16 1847 70,,,,,,,,,,,,,,
80,,,L3 80 80 80 16 1616 80,,,,,,,,,,,,,,
90,,,L3 90 90 90 16 1437 90,,,,,,,,,,,,,,
100,,,L3 100 100 100 16 1293 100,,,,,,,,,,,,,,
110,,,L3 110 110 110 16 1175 110,,,,,,,,,,,,,,
120,,,L3 120 120 120 16 1077 120,,,,,,,,,,,,,,
130,,,L3 130 130 130 16 994 130,,,,,,,,,,,,,,
140,,,L3 140 140 140 16 923 140,,,,,,,,,,,,,,
150,,,L3 150 150 150 16 862 150,,,,,,,,,,,,,,
160,,,L3 160 160 160 16 808 160,,,,,,,,,,,,,,
170,,,L3 170 170 170 16 760 170,,,,,,,,,,,,,,
180,,,L3 180 180 180 16 718 180,,,,,,,,,,,,,,
190,,,L3 190 190 190 16 680 190,,,,,,,,,,,,,,
200,,,L3 200 200 200 16 646 200,,,,,,,,,,,,,,
210,,,L3 210 210 210 16 615 210,,,,,,,,,,,,,,
220,,,L3 220 220 220 16 587 220,,,,,,,,,,,,,,
230,,,L3 230 230 230 16 562 230,,,,,,,,,,,,,,
240,,,L3 240 240 240 16 538 240,,,,,,,,,,,,,,
250,,,L3 250 250 250 16 517 250,,,,,,,,,,,,,,
260,,,L3 260 260 260 16 497 260,,,,,,,,,,,,,,
270,,,L3 270 270 270 16 479 270,,,,,,,,,,,,,,
280,,,L3 280 280 280 16 461 280,,,,,,,,,,,,,,
290,,,L3 290 290 290 16 446 290,,,,,,,,,,,,,,
300,,,L3 300 300 300 16 431 300,,,,,,,,,,,,,,
310,,,L3 310 310 310 16 417 310,,,,,,,,,,,,,,
320,,,L3 320 320 320 16 404 320,,,,,,,,,,,,,,
330,,,L3 330 330 330 16 391 330,,,,,,,,,,,,,,
340,,,L3 340 340 340 16 380 340,,,,,,,,,,,,,,
350,,,L3 350 350 350 16 369 350,,,,,,,,,,,,,,
360,,,L3 360 360 360 16 359 360,,,,,,,,,,,,,,
370,,,L3 370 370 370 16 349 370,,,,,,,,,,,,,,
380,,,L3 380 380 380 16 340 380,,,,,,,,,,,,,,
390,,,L3 390 390 390 16 331 390,,,,,,,,,,,,,,
400,,,L3 400 400 400 16 323 400,,,,,,,,,,,,,,
410,,,L3 410 410 410 16 315 410,,,,,,,,,,,,,,
420,,,L3 420 420 420 16 307 420,,,,,,,,,,,,,,
430,,,L3 430 430 430 16 300 430,,,,,,,,,,,,,,
440,,,L3 440 440 440 16 293 440,,,,,,,,,,,,,,
450,,,L3 450 450 450 16 287 450,,,,,,,,,,,,,,
460,,,L3 460 460 460 16 281 460,,,,,,,,,,,,,,
470,,,L3 470 470 470 16 275 470,,,,,,,,,,,,,,
480,,,L3 480 480 480 16 269 480,,,,,,,,,,,,,,
490,,,L3 490 490 490 16 263 490,,,,,,,,,,,,,,
500,,,L3 500 500 500 16 258 500,,,,,,,,,,,,,,
510,,,L3 510 510 510 16 253 510,,,,,,,,,,,,,,
520,,,L3 520 520 520 16 248 520,,,,,,,,,,,,,,
530,,,L3 530 530 530 16 244 530,,,,,,,,,,,,,,
540,,,L3 540 540 540 16 239 540,,,,,,,,,,,,,,
550,,,L3 550 550 550 16 235 550,,,,,,,,,,,,,,
560,,,L3 560 560 560 16 230 560,,,,,,,,,,,,,,
570,,,L3 570 570 570 16 226 570,,,,,,,,,,,,,,
580,,,L3 580 580 580 16 223 580,,,,,,,,,,,,,,
590,,,L3 590 590 590 16 219 590,,,,,,,,,,,,,,
600,,,L3 600 600 600 16 215 600,,,,,,,,,,,,,,
610,,,L3 610 610 610 16 212 610,,,,,,,,,,,,,,
620,,,L3 620 620 620 16 208 620,,,,,,,,,,,,,,
630,,,L3 630 630 630 16 205 630,,,,,,,,,,,,,,
