,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
10,10.74,429.60,0.29,14.37,574.80,0.39,524.21,88.10,39.1,38.2,42.8,0.0,0.0,81.0 ,39.1,38.2,32.0,0.0,0.0,70.2 ,417.71,156.0,351.8,62.6,0.0,0.1,236.16,14.08,250.24,0,0,0,.08,.08,.16,161.25,10.00,171.25,0,0,0,0,0,0,120.00,8.00,128.00,0,0,0,0,0,0
20,10.70,428.00,0.29,11.63,465.20,0.39,360.07,263.16,39.1,38.2,43.0,34.8,0.0,115.9 ,39.1,38.2,32.0,32.0,0.0,102.2 ,139.84,24.6,55.9,42.6,47.5,0.0,159.52,10.80,170.32,180.88,9.12,190.00,0,0,0,161.37,10.50,171.87,131.37,7.62,138.99,0,0,0,120.00,8.00,128.00,120.00,8.00,128.00,0,0,0
30,9.76,390.40,0.27,11.50,460.00,0.31,333.79,233.57,39.1,38.2,47.1,38.1,0.0,123.5 ,39.1,38.2,40.0,32.0,0.0,110.2 ,157.56,34.0,77.0,47.2,43.0,0.0,179.20,9.60,188.80,162.48,9.36,171.84,0,0,0,179.12,9.37,188.49,143.12,9.37,152.49,0,0,0,152.00,8.00,160.00,120.00,8.00,128.00,0,0,0
40,10.29,411.60,0.28,11.50,460.00,0.31,333.79,201.55,39.1,38.2,44.7,36.0,0.0,118.9 ,39.1,38.2,40.0,32.0,0.0,110.2 ,182.59,36.8,80.8,53.0,40.2,0.0,200.64,11.52,212.16,151.68,9.04,160.72,0,0,0,169.87,8.87,178.74,135.25,8.87,144.12,0,0,0,152.00,8.00,160.00,120.00,8.00,128.00,0,0,0
50,10.48,419.20,0.28,11.50,460.00,0.31,333.93,252.53,39.1,38.2,43.9,35.3,0.0,117.4 ,39.1,38.2,40.0,32.0,0.0,110.2 ,145.73,38.0,83.1,44.5,40.0,0.0,169.28,8.80,178.08,151.20,8.64,159.84,0,0,0,166.75,8.75,175.50,132.50,8.75,141.25,0,0,0,152.00,8.00,160.00,120.00,8.00,128.00,0,0,0
60,10.06,402.40,0.34,9.30,372.00,0.31,311.33,277.97,39.1,38.2,43.2,37.0,0.0,118.4 ,39.1,38.2,40.0,40.0,0.0,118.2 ,132.39,18.5,42.9,43.7,41.9,1.8,166.16,8.64,174.80,158.96,8.56,167.52,2.80,.08,2.88,164.12,8.62,172.74,139.37,8.62,147.99,0,0,0,152.00,8.00,160.00,152.00,8.00,160.00,0,0,0
70,8.72,348.80,0.29,6.23,249.20,0.39,182.26,243.45,39.1,38.2,42.7,42.7,22.5,146.0 ,39.1,38.2,40.0,40.0,83.7,201.9 ,151.16,24.0,53.3,43.6,43.0,28.1,165.76,8.56,174.32,163.60,8.56,172.16,40.96,1.92,42.88,162.12,8.50,170.62,162.12,8.50,170.62,32.62,1.75,34.37,152.00,8.00,160.00,152.00,8.00,160.00,120.00,8.00,128.00
80,,,,6.23,249.20,0.39,182.18,147.48,39.1,38.2,522.6,42.0,90.3,693.1 ,39.1,38.2,40.0,40.0,83.7,201.9 ,249.53,27.2,58.2,80.4,43.3,78.2,308.08,13.44,321.52,164.64,8.48,173.12,112.40,7.20,119.60,1962.50,128.00,2090.50,159.62,8.37,167.99,128.75,9.25,138.00,152.00,8.00,160.00,152.00,8.00,160.00,120.00,8.00,128.00
