N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
10,2097152,2.119311,L2 10 10 10 16 409 10,5888802816,452984832,2.77,213.73,87.60,0,0,0,0,660911.00,283722.00,0,0,944633.00
20,262144,2.182909,L2 20 20 20 16 204 20,13958643712,1073741824,6.39,491.88,37.52,18.02,7.06,.05,0,677533.00,291953.00,25.08,.05,969486.00
30,65536,3.017493,L2 30 30 30 16 136 30,14974189568,1151860736,4.96,381.72,48.40,40.06,7.46,16.16,6.72,943712.00,406799.00,47.52,22.88,1350511.00
40,32768,3.329097,L2 40 40 40 16 102 40,19874709504,1528823808,5.96,459.22,40.88,46.60,7.62,17.93,7.59,1037174.00,445084.00,54.22,25.52,1482258.00
50,16384,3.268242,L2 50 50 50 16 81 50,20731789312,1594753024,6.34,487.95,38.32,46.86,7.67,18.00,7.66,1014255.00,437938.00,54.53,25.66,1452193.00
60,8192,2.951486,L2 60 60 60 16 68 60,18702401536,1438646272,6.33,487.42,38.32,47.30,7.83,20.16,7.73,928846.00,396251.00,55.13,27.89,1325097.00
70,4096,2.307453,L2 70 70 70 16 58 70,15308587008,1177583616,6.63,510.33,36.80,45.81,7.78,24.24,7.76,721336.00,308574.00,53.59,32.00,1029910.00
80,4096,3.718293,L2 80 80 80 16 51 80,23374594048,1798045696,6.28,483.56,38.32,48.20,7.86,23.60,7.81,1166217.00,498292.00,56.06,31.41,1664509.00
90,2048,2.604060,L2 90 90 90 16 45 90,16934354944,1302642688,6.50,500.23,37.52,47.81,7.82,22.49,7.80,832425.00,363415.00,55.63,30.29,1195840.00
100,2048,3.550035,L2 100 100 100 16 40 100,23555211264,1811939328,6.63,510.39,36.80,48.23,7.85,22.39,7.84,1786158.00,865466.00,56.08,30.23,2651624.00
110,1024,2.318216,L2 110 110 110 16 37 110,15854804992,1219600384,6.83,526.09,35.36,48.14,7.85,21.31,7.83,26312044.00,15574952.00,55.99,29.14,41886996.00
120,1024,3.512548,L2 120 120 120 16 34 120,20778647552,1598357504,5.91,455.04,40.88,48.46,7.88,22.81,7.87,200519829.00,113421952.00,56.34,30.68,313941781.00
130,512,2.525537,L2 130 130 130 16 31 130,13314502656,1024192512,5.27,405.53,46.00,48.64,7.99,22.41,7.81,240165209.00,125976572.00,56.63,30.22,366141781.00
140,512,3.100390,L2 140 140 140 16 29 140,16742875136,1287913472,5.39,415.40,44.80,48.71,7.89,22.59,7.86,337358537.00,165987984.00,56.60,30.45,503346521.00
150,512,3.918915,L2 150 150 150 16 27 150,20714377216,1593413632,5.28,406.59,46.00,48.88,7.91,22.33,7.81,423721012.00,205302103.00,56.79,30.14,629023115.00
160,256,2.527350,L2 160 160 160 16 25 160,12634472448,971882496,4.99,384.54,48.40,50.02,8.07,23.19,7.88,258306660.00,125046470.00,58.09,31.07,383353130.00
170,256,2.800690,L2 170 170 170 16 24 170,15223257088,1171019776,5.43,418.11,44.80,48.93,7.91,22.44,7.82,310242958.00,150380335.00,56.84,30.26,460623293.00
180,256,3.388337,L2 180 180 180 16 22 180,18143510528,1395654656,5.35,411.89,44.80,49.13,7.93,21.96,7.89,368539862.00,179013630.00,57.06,29.85,547553492.00
190,256,3.955476,L2 190 190 190 16 21 190,21415200768,1647323136,5.41,416.46,44.80,49.25,7.93,20.52,7.81,436449878.00,211002825.00,57.18,28.33,647452703.00
200,128,2.334249,L2 200 200 200 16 20 200,12529147904,963780608,5.36,412.88,44.80,49.34,7.94,23.82,7.90,257984375.00,123337890.00,57.28,31.72,381322265.00
210,128,2.634876,L2 210 210 210 16 19 210,14546381824,1118952448,5.51,424.66,43.76,49.39,7.93,23.40,7.86,299044907.00,143027910.00,57.32,31.26,442072817.00
220,128,3.125298,L2 220 220 220 16 18 220,16769286144,1289945088,5.36,412.74,46.00,49.56,7.96,20.90,7.90,348028069.00,164762080.00,57.52,28.80,512790149.00
230,128,3.455508,L2 230 230 230 16 17 230,19207844864,1477526528,5.55,427.58,43.76,49.69,7.95,20.89,7.86,402253778.00,188526402.00,57.64,28.75,590780180.00
240,64,2.183710,L2 240 240 240 16 17 240,10936020992,841232384,5.00,385.22,48.40,50.20,8.08,26.02,7.91,228259754.00,107307427.00,58.28,33.93,335567181.00
250,64,2.364990,L2 250 250 250 16 16 250,12385930752,952763904,5.23,402.86,46.00,50.23,8.12,24.52,7.86,261708598.00,121427395.00,58.35,32.38,383135993.00
260,64,2.821788,L2 260 260 260 16 15 260,13958643712,1073741824,4.94,380.51,49.68,51.84,8.15,23.64,7.91,297487235.00,136789422.00,59.99,31.55,434276657.00
270,64,2.964493,L2 270 270 270 16 15 270,15659151872,1204550144,5.27,406.32,46.00,52.25,7.95,21.53,7.85,334082158.00,153320888.00,60.20,29.38,487403046.00
280,64,3.295427,L2 280 280 280 16 14 280,17492447232,1345572864,5.30,408.31,46.00,50.63,8.00,22.76,7.93,374574398.00,171186231.00,58.63,30.69,545760629.00
290,64,3.622682,L2 290 290 290 16 14 290,19463521792,1497193984,5.37,413.28,44.80,50.48,7.97,24.37,7.88,420233872.00,190366616.00,58.45,32.25,610600488.00
300,32,2.050128,L2 300 300 300 16 13 300,10788683776,829898752,5.25,404.79,47.12,50.66,7.97,23.10,7.92,233772128.00,105480265.00,58.63,31.02,339252393.00
310,32,2.223697,L2 310 310 310 16 13 310,11919488256,916883712,5.35,412.32,46.00,50.88,8.00,23.65,7.88,259282168.00,116478755.00,58.88,31.53,375760923.00
320,32,2.869374,L2 320 320 320 16 12 320,13126670336,1009743872,4.57,351.90,54.08,58.83,8.23,25.33,7.85,285997548.00,128284454.00,67.06,33.18,414282002.00
330,32,2.690833,L2 330 330 330 16 12 330,14412726016,1108671232,5.35,412.01,46.00,51.58,8.13,23.98,7.88,314154120.00,140727143.00,59.71,31.86,454881263.00
