,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
10,19.93,1533.07,CPU bound,19.93,1533.07,,1533.33,187.50,24.0,14.0,0.0,0.0,0.0,24.0 ,24.0,14.0,0.0,0.0,0.0,24.0 ,196.26,192.7,125.2,0.0,0.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,19.93,1533.07,CPU bound,19.93,1533.07,,1532.66,859.51,24.0,14.0,8.9,0.0,0.0,24.0 ,24.0,14.0,6.0,0.0,0.0,24.0 ,42.82,24.1,21.5,9.0,0.0,0.0,25.36,10.56,35.92,0,0,0,0,0,0,25.25,10.37,35.62,0,0,0,0,0,0,16.00,8.00,24.00,0,0,0,0,0,0
30,19.93,1533.07,CPU bound,19.93,1533.07,,1532.66,791.98,24.0,14.0,7.7,0.0,0.0,24.0 ,24.0,14.0,6.0,0.0,0.0,24.0 ,46.47,37.3,28.2,8.0,0.5,0.0,22.56,9.36,31.92,1.52,.48,2.00,0,0,0,21.37,9.37,30.74,0,0,0,0,0,0,16.00,8.00,24.00,0,0,0,0,0,0
40,18.65,1434.61,0.51,17.08,1313.84,0.46,1082.35,692.63,24.0,14.0,12.8,7.2,0.0,34.0 ,24.0,14.0,14.0,6.0,0.0,34.0 ,53.13,43.3,29.0,13.8,6.8,0.0,46.00,9.04,55.04,19.12,8.00,27.12,0,0,0,42.37,8.87,51.24,19.75,8.87,28.62,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
50,15.46,1189.23,0.42,17.08,1313.84,0.46,1082.35,689.16,24.0,14.0,15.5,6.9,0.0,36.4 ,24.0,14.0,14.0,6.0,0.0,34.0 ,53.40,46.5,29.5,15.5,7.1,0.0,53.20,8.80,62.00,19.84,8.72,28.56,0,0,0,53.12,8.75,61.87,19.00,8.75,27.75,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
60,15.72,1209.23,0.43,17.08,1313.84,0.46,1082.35,886.88,24.0,14.0,15.2,6.9,0.0,36.1 ,24.0,14.0,14.0,6.0,0.0,34.0 ,41.49,24.1,15.3,15.2,7.0,0.0,52.24,8.64,60.88,19.44,8.56,28.00,0,0,0,52.25,8.62,60.87,18.87,8.62,27.49,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
70,15.93,1225.38,0.43,17.08,1313.84,0.46,1082.35,876.83,24.0,14.0,15.0,6.9,0.0,35.9 ,24.0,14.0,14.0,6.0,0.0,34.0 ,41.97,29.4,18.9,15.1,7.9,0.0,51.68,8.56,60.24,22.96,8.48,31.44,0,0,0,51.50,8.50,60.00,19.00,8.50,27.50,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
80,16.10,1238.46,0.44,17.08,1313.84,0.46,1081.88,728.15,24.0,14.0,14.9,6.9,0.0,35.8 ,24.0,14.0,14.0,6.0,0.0,34.0 ,50.54,33.3,20.5,15.0,10.3,0.0,51.36,8.48,59.84,32.88,8.40,41.28,0,0,0,51.00,8.37,59.37,19.25,8.37,27.62,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
