,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
10,10.54,810.76,CPU bound,10.54,810.76,,810.12,236.48,23.7,14.0,0.0,0.0,0.0,23.7 ,23.7,14.0,0.0,0.0,0.0,23.7 ,81.19,38.1,55.4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,10.54,810.76,CPU bound,10.54,810.76,,809.78,537.73,23.7,14.0,5.6,0.0,0.0,23.7 ,23.7,14.0,4.0,0.0,0.0,23.7 ,35.71,14.9,22.0,6.0,0.0,0.0,37.44,10.24,47.68,0,0,0,0,0,0,34.87,10.00,44.87,0,0,0,0,0,0,24.00,8.00,32.00,0,0,0,0,0,0
30,6.63,510.00,0.17,7.83,602.30,0.20,809.78,468.30,23.7,14.0,9.4,0.0,0.0,23.7 ,23.7,14.0,8.0,0.0,0.0,23.7 ,41.00,18.8,24.7,8.7,0.0,0.0,60.24,9.36,69.60,0,0,0,0,0,0,66.25,9.25,75.50,0,0,0,0,0,0,56.00,8.00,64.00,0,0,0,0,0,0
40,6.39,491.53,0.23,7.83,602.30,0.20,564.47,503.87,23.7,14.0,9.0,14.3,0.0,37.3 ,23.7,14.0,8.0,12.0,0.0,34.0 ,38.11,15.0,18.6,9.1,24.5,0.0,63.84,8.96,72.80,24.48,24.48,48.96,.08,0,.08,63.25,8.87,72.12,28.62,8.87,37.49,0,0,0,56.00,8.00,64.00,24.00,8.00,32.00,0,0,0
50,6.62,509.23,0.24,7.83,602.30,0.20,564.70,511.41,23.7,14.0,8.8,13.8,0.0,36.6 ,23.7,14.0,8.0,12.0,0.0,34.0 ,37.54,16.9,20.9,8.8,28.8,0.0,62.00,8.72,70.72,28.80,28.80,57.60,.16,0,.16,61.75,8.75,70.50,27.62,8.75,36.37,0,0,0,56.00,8.00,64.00,24.00,8.00,32.00,0,0,0
60,6.68,513.84,0.24,7.83,602.30,0.20,564.47,524.49,23.7,14.0,8.6,13.7,0.0,36.3 ,23.7,14.0,8.0,12.0,0.0,34.0 ,36.61,15.0,17.7,8.7,27.8,0.0,61.12,8.64,69.76,27.84,27.84,55.68,.08,0,.08,60.62,8.62,69.24,27.37,8.50,35.87,0,0,0,56.00,8.00,64.00,24.00,8.00,32.00,0,0,0
70,6.66,512.30,0.24,7.83,602.30,0.20,564.47,542.77,23.7,14.0,8.6,13.7,0.0,36.3 ,23.7,14.0,8.0,12.0,0.0,34.0 ,35.37,16.2,19.4,8.6,27.1,0.0,60.08,8.48,68.56,27.12,27.12,54.24,0,0,0,60.00,8.50,68.50,27.50,8.50,36.00,0,0,0,56.00,8.00,64.00,24.00,8.00,32.00,0,0,0
80,6.62,509.23,0.24,7.83,602.30,0.20,564.70,522.67,23.7,14.0,8.5,13.8,0.0,36.3 ,23.7,14.0,8.0,12.0,0.0,34.0 ,36.73,15.0,17.2,8.6,26.7,0.0,60.16,8.48,68.64,26.72,26.72,53.44,0,0,0,59.37,8.37,67.74,27.62,8.37,35.99,0,0,0,56.00,8.00,64.00,24.00,8.00,32.00,0,0,0
