,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
10,13.87,924.66,CPU bound,13.87,924.66,,924.22,271.85,19.9,14.0,0.0,0.0,0.0,19.9 ,19.9,14.0,0.0,0.0,0.0,19.9 ,67.69,41.4,45.3,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,13.87,924.66,CPU bound,13.87,924.66,,920.00,502.91,19.9,14.0,8.7,0.0,0.0,22.7 ,19.9,14.0,6.0,0.0,0.0,20.0 ,36.59,20.4,17.3,8.9,0.0,0.0,25.60,10.00,35.60,0,0,0,0,0,0,24.87,10.00,34.87,0,0,0,0,0,0,16.00,8.00,24.00,0,0,0,0,0,0
30,8.35,556.66,0.23,9.53,635.33,0.27,541.17,457.15,19.9,14.0,16.0,7.6,0.0,37.6 ,19.9,14.0,14.0,6.0,0.0,34.0 ,40.25,24.9,20.1,14.8,6.7,0.0,50.00,9.36,59.36,19.36,7.68,27.04,0,0,0,54.62,9.25,63.87,21.25,9.25,30.50,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
40,8.44,562.66,0.24,9.53,635.33,0.27,541.17,465.03,19.9,14.0,15.8,7.2,0.0,37.0 ,19.9,14.0,14.0,6.0,0.0,34.0 ,39.57,20.1,14.8,15.9,7.6,0.0,54.72,8.96,63.68,21.36,8.88,30.24,0,0,0,54.25,8.87,63.12,19.75,8.87,28.62,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
50,8.65,576.66,0.24,9.53,635.33,0.27,540.94,497.96,19.9,14.0,15.4,6.9,0.0,36.3 ,19.9,14.0,14.0,6.0,0.0,34.0 ,36.95,22.8,17.0,15.5,8.8,0.0,53.20,8.72,61.92,26.40,8.72,35.12,0,0,0,53.00,8.75,61.75,18.87,8.75,27.62,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
60,8.81,587.33,0.25,9.53,635.33,0.27,541.17,467.48,19.9,14.0,15.2,6.8,0.0,36.0 ,19.9,14.0,14.0,6.0,0.0,34.0 ,39.36,20.0,14.2,15.3,8.3,0.0,52.48,8.64,61.12,24.80,8.56,33.36,0,0,0,52.00,8.62,60.62,18.87,8.62,27.49,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
70,8.90,593.33,0.25,9.53,635.33,0.27,540.94,488.88,19.9,14.0,15.0,6.9,0.0,35.8 ,19.9,14.0,14.0,6.0,0.0,34.0 ,37.64,21.9,15.8,15.0,10.7,0.0,51.60,8.48,60.08,34.16,8.48,42.64,0,0,0,51.50,8.50,60.00,19.00,8.50,27.50,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
80,7.22,481.33,0.27,7.29,486.00,0.27,437.90,458.39,19.9,14.0,14.9,14.1,0.0,43.0 ,19.9,14.0,14.0,14.0,0.0,42.0 ,40.14,20.0,13.9,15.0,14.1,0.0,51.60,8.48,60.08,48.16,8.40,56.56,0,0,0,51.00,8.37,59.37,48.00,8.37,56.37,0,0,0,48.00,8.00,56.00,48.00,8.00,56.00,0,0,0
