N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
10,2097152,2.088121,L2 10 10 10 16 1638 10,6794772480,452984832,3.25,216.93,91.36,0,0,0,0,12084.00,28361.00,0,0,40445.00
20,262144,2.213758,L2 20 20 20 16 819 20,16106127360,1073741824,7.27,485.03,40.00,18.69,7.15,0,0,10668.00,25913.00,25.84,0,36581.00
30,65536,2.451328,L2 30 30 30 16 546 30,17277911040,1151860736,7.04,469.89,41.68,40.80,7.54,0,0,13888.00,31731.00,48.34,0,45619.00
40,32768,2.949173,L2 40 40 40 16 409 40,22932357120,1528823808,7.77,518.38,37.60,46.68,7.66,3.97,3.97,18887.00,37831.00,54.34,7.94,56718.00
50,16384,3.000073,L2 50 50 50 16 327 50,23921295360,1594753024,7.97,531.57,36.88,46.94,7.70,16.76,16.75,48994.00,48747.00,54.64,33.51,97741.00
60,8192,2.627938,L2 60 60 60 16 273 60,21579694080,1438646272,8.20,547.44,35.52,47.24,7.78,16.85,16.84,15101.00,29821.00,55.02,33.69,44922.00
70,4096,2.041060,L2 70 70 70 16 234 70,17663754240,1177583616,8.65,576.94,33.68,47.24,7.78,16.67,16.66,133683.00,94209.00,55.02,33.33,227892.00
80,4096,3.180901,L2 80 80 80 16 204 80,26970685440,1798045696,8.47,565.26,34.24,47.95,7.85,16.58,16.57,431557.00,394319.00,55.80,33.15,825876.00
90,2048,2.274073,L2 90 90 90 16 182 90,19539640320,1302642688,8.58,572.82,33.68,47.39,7.83,16.49,16.48,1577225.00,1051904.00,55.22,32.97,2629129.00
100,2048,2.994989,L2 100 100 100 16 163 100,27179089920,1811939328,9.07,604.98,32.00,47.43,7.85,16.45,16.44,19327100.00,15586586.00,55.28,32.89,34913686.00
110,1024,2.059621,L2 110 110 110 16 148 110,18294005760,1219600384,8.88,592.14,33.04,47.49,7.86,16.55,16.54,39648090.00,36610047.00,55.35,33.09,76258137.00
120,1024,2.772598,L2 120 120 120 16 136 120,23975362560,1598357504,8.64,576.48,33.68,47.52,7.87,16.74,16.73,74668553.00,72410876.00,55.39,33.47,147079429.00
130,1024,3.803296,L2 130 130 130 16 126 130,30725775360,2048385024,8.07,538.58,36.16,48.24,8.11,16.94,16.93,116625581.00,113989516.00,56.35,33.87,230615097.00
140,512,2.372893,L2 140 140 140 16 117 140,19318702080,1287913472,8.13,542.75,36.16,47.93,7.90,19.03,19.02,91875318.00,88227634.00,55.83,38.05,180102952.00
150,512,3.027390,L2 150 150 150 16 109 150,23901204480,1593413632,7.89,526.33,36.88,48.06,7.92,18.97,18.95,124805730.00,117930186.00,55.98,37.92,242735916.00
160,512,3.925745,L2 160 160 160 16 102 160,29156474880,1943764992,7.42,495.13,39.12,49.56,8.23,18.91,18.90,161949275.00,152963483.00,57.79,37.81,314912758.00
170,256,2.218984,L2 170 170 170 16 96 170,17565296640,1171019776,7.91,527.72,36.88,47.92,7.91,18.86,18.84,101623130.00,96904505.00,55.83,37.70,198527635.00
180,256,2.527920,L2 180 180 180 16 91 180,20934819840,1395654656,8.27,552.09,35.52,47.98,7.92,18.51,18.50,120774174.00,115883245.00,55.90,37.01,236657419.00
190,256,3.249764,L2 190 190 190 16 86 190,24709847040,1647323136,7.60,506.90,38.40,48.23,7.94,19.23,19.21,151686006.00,140160495.00,56.17,38.44,291846501.00
200,256,3.730562,L2 200 200 200 16 81 200,28913418240,1927561216,7.74,516.69,37.60,48.18,7.93,18.99,18.97,179444865.00,163843509.00,56.11,37.96,343288374.00
210,256,3.935247,L2 210 210 210 16 78 210,33568573440,2237904896,8.52,568.68,34.24,48.10,7.94,18.94,18.93,207193814.00,190240448.00,56.04,37.87,397434262.00
220,128,2.479841,L2 220 220 220 16 74 220,19349176320,1289945088,7.79,520.17,37.60,48.19,7.97,18.85,18.84,119103325.00,109592094.00,56.16,37.69,228695419.00
230,128,2.621477,L2 230 230 230 16 71 230,22162897920,1477526528,8.45,563.62,34.24,48.41,8.00,19.08,19.06,138021282.00,125383626.00,56.41,38.14,263404908.00
240,128,3.274323,L2 240 240 240 16 68 240,25236971520,1682464768,7.70,513.83,37.60,49.20,8.12,19.02,19.00,157344961.00,142720107.00,57.32,38.02,300065068.00
250,128,3.347867,L2 250 250 250 16 65 250,28582917120,1905527808,8.53,569.17,34.24,48.82,8.30,18.83,18.82,178312198.00,161471488.00,57.12,37.65,339783686.00
260,128,3.985415,L2 260 260 260 16 63 260,32212254720,2147483648,8.08,538.83,36.16,50.57,8.24,19.32,19.31,202018090.00,181898997.00,58.81,38.63,383917087.00
270,64,2.114782,L2 270 270 270 16 60 270,18068252160,1204550144,8.53,569.58,34.24,51.57,7.95,18.96,18.92,115058813.00,101951850.00,59.52,37.88,217010663.00
280,64,2.387966,L2 280 280 280 16 58 280,20183592960,1345572864,8.45,563.47,34.24,49.31,8.01,19.18,19.16,130129598.00,113858069.00,57.32,38.34,243987667.00
290,64,2.621838,L2 290 290 290 16 56 290,22457909760,1497193984,8.56,571.04,34.24,48.81,7.99,19.05,19.03,144697421.00,126588779.00,56.80,38.08,271286200.00
300,64,2.891000,L2 300 300 300 16 54 300,24896962560,1659797504,8.60,574.12,33.68,48.87,7.98,18.92,18.90,161327932.00,140308542.00,56.85,37.82,301636474.00
310,64,3.229061,L2 310 310 310 16 52 310,27506511360,1833767424,8.51,567.89,34.24,48.89,8.05,19.08,19.07,179817812.00,154897431.00,56.94,38.15,334715243.00
320,32,2.040778,L2 320 320 320 16 51 320,15146158080,1009743872,7.41,494.78,39.12,58.87,8.50,19.16,19.14,98018725.00,85289410.00,67.37,38.30,183308135.00
330,64,3.898375,L2 330 330 330 16 49 330,33260136960,2217342464,8.53,568.78,34.24,49.30,8.24,19.09,19.07,217382162.00,187130847.00,57.54,38.16,404513009.00
340,32,2.172746,L2 340 340 340 16 48 340,18207866880,1213857792,8.37,558.67,34.88,49.14,8.24,19.38,19.36,118370242.00,102446214.00,57.38,38.74,220816456.00
350,32,2.328779,L2 350 350 350 16 46 350,19882433280,1325495552,8.53,569.17,34.24,55.63,8.15,18.97,18.96,129581406.00,111800684.00,63.78,37.93,241382090.00
360,32,2.626685,L2 360 360 360 16 45 360,21656647680,1443776512,8.24,549.65,35.52,57.55,8.15,19.30,19.28,142177941.00,121773344.00,65.70,38.58,263951285.00
370,32,2.741996,L2 370 370 370 16 44 370,23533390080,1568892672,8.58,572.17,34.24,50.83,8.16,19.19,19.15,153228513.00,132253335.00,58.99,38.34,285481848.00
380,32,3.109867,L2 380 380 380 16 43 380,25515540480,1701036032,8.20,546.97,35.52,55.17,8.42,19.50,19.48,167540272.00,143350483.00,63.59,38.98,310890755.00
390,32,3.371203,L2 390 390 390 16 42 390,27605978880,1840398592,8.18,545.91,35.52,60.60,8.35,19.86,19.84,181631317.00,155059674.00,68.95,39.70,336690991.00
400,32,3.683982,L2 400 400 400 16 40 400,29807585280,1987172352,8.08,539.40,36.16,61.51,8.42,19.17,19.14,195161689.00,167421702.00,69.93,38.31,362583391.00
410,32,3.861922,L2 410 410 410 16 39 410,32123239680,2141549312,8.31,554.52,34.88,54.52,8.59,19.27,19.26,209926741.00,180306292.00,63.11,38.53,390233033.00
420,16,2.097266,L2 420 420 420 16 39 420,17277911040,1151860736,8.23,549.21,35.52,53.78,8.60,19.78,19.76,113606115.00,96974436.00,62.38,39.54,210580551.00
430,16,2.233993,L2 430 430 430 16 38 430,18554106240,1236940416,8.30,553.69,34.88,58.24,8.64,19.49,19.48,122241639.00,104108516.00,66.88,38.97,226350155.00
440,16,2.363229,L2 440 440 440 16 37 440,19891645440,1326109696,8.41,561.13,34.88,57.09,8.67,19.24,19.22,130606736.00,111615314.00,65.76,38.46,242222050.00
450,16,2.673109,L2 450 450 450 16 36 450,21291968640,1419464576,7.96,531.01,36.88,64.27,8.68,19.38,19.36,140160120.00,119419854.00,72.95,38.74,259579974.00
460,16,2.794452,L2 460 460 460 16 35 460,22756515840,1517101056,8.14,542.89,35.52,73.27,8.77,19.35,19.33,149550020.00,127609412.00,82.04,38.68,277159432.00
470,16,2.887780,L2 470 470 470 16 34 470,24286727040,1619115136,8.40,560.67,34.88,60.58,8.76,19.20,19.18,159097163.00,136161892.00,69.34,38.38,295259055.00
480,16,3.289553,L2 480 480 480 16 34 480,25884042240,1725602816,7.86,524.56,36.88,62.96,8.65,19.56,19.53,170374817.00,145129813.00,71.61,39.09,315504630.00
490,16,3.403976,L2 490 490 490 16 33 490,27549901440,1836660096,8.09,539.56,36.16,61.71,8.68,20.23,20.21,182425108.00,154405648.00,70.39,40.44,336830756.00
500,16,3.643777,L2 500 500 500 16 32 500,29285744640,1952382976,8.03,535.81,36.16,69.86,8.71,19.45,19.43,192719565.00,164146924.00,78.57,38.88,356866489.00
510,8,2.193535,L2 510 510 510 16 32 510,15546505920,1036433728,7.08,472.49,41.68,64.35,8.68,19.52,19.50,102666434.00,87104767.00,73.03,39.02,189771201.00
520,8,2.102463,L2 520 520 520 16 31 520,16486571520,1099104768,7.83,522.76,37.60,80.26,8.71,19.53,19.51,108650484.00,92380919.00,88.97,39.04,201031403.00
530,8,2.310273,L2 530 530 530 16 30 530,17463789120,1164252608,7.55,503.94,38.40,80.76,8.70,20.28,20.27,116290852.00,97833294.00,89.46,40.55,214124146.00
540,8,2.367618,L2 540 540 540 16 30 540,18478878720,1231925248,7.80,520.32,37.60,80.92,8.69,19.62,19.60,122264310.00,103511905.00,89.61,39.22,225776215.00
550,8,2.505341,L2 550 550 550 16 29 550,19532560320,1302170688,7.79,519.75,37.60,80.69,8.67,19.51,19.49,129674590.00,109360063.00,89.36,39.00,239034653.00
560,8,2.746907,L2 560 560 560 16 29 560,20625553920,1375036928,7.50,500.57,39.12,80.24,8.66,20.53,20.50,137763134.00,115522512.00,88.90,41.03,253285646.00
570,8,2.769173,L2 570 570 570 16 28 570,21758579520,1450571968,7.85,523.82,36.88,80.67,8.65,19.52,19.51,144481234.00,121806740.00,89.32,39.03,266287974.00
