N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
10,2097152,2.796530,10 10 10 16 39321 10,8606711808,452984832,3.07,161.97,114.96,0,0,0,0,0,0,0,0,0
20,262144,2.421446,20 20 20 16 19660 20,20401094656,1073741824,8.42,443.42,41.76,0,0,0,0,0,0,0,0,0
30,65536,2.851908,30 30 30 16 13107 30,21885353984,1151860736,7.67,403.89,46.00,0,0,0,0,0,0,0,0,0
40,32768,3.500285,40 40 40 16 9830 40,29047652352,1528823808,8.29,436.77,42.72,0,0,0,0,0,0,0,0,0
50,16384,3.441377,50 50 50 16 7864 50,30300307456,1594753024,8.80,463.40,40.00,0,0,0,0,0,0,0,0,0
60,8192,3.153403,60 60 60 16 6553 60,27334279168,1438646272,8.66,456.21,40.88,0,0,0,0,0,0,0,0,0
70,4096,2.443800,70 70 70 16 5617 70,22374088704,1177583616,9.15,481.86,39.12,0,0,0,0,0,0,0,0,0
80,2048,2.047612,80 80 80 16 4915 80,17081434112,899022848,8.34,439.05,42.72,0,0,0,0,0,0,0,0,0
90,2048,3.135987,90 90 90 16 4369 90,24750211072,1302642688,7.89,415.38,44.80,0,0,0,0,0,0,0,0,0
100,1024,2.119324,100 100 100 16 3932 100,17213423616,905969664,8.12,427.47,43.76,0,0,0,0,0,0,0,0,0
110,1024,3.161076,110 110 110 16 3574 110,23172407296,1219600384,7.32,385.81,48.40,0,0,0,0,0,0,0,0,0
120,512,2.249724,120 120 120 16 3276 120,15184396288,799178752,6.74,355.23,52.56,0,0,0,0,0,0,0,0,0
130,512,3.002533,130 130 130 16 3024 130,19459657728,1024192512,6.47,341.10,55.68,0,0,0,0,0,0,0,0,0
140,512,3.717571,140 140 140 16 2808 140,24470355968,1287913472,6.58,346.43,54.08,0,0,0,0,0,0,0,0,0
