N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC Arithmetic Intensity,Roofline ECM MLUPs,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,Benchmark cycl,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,12.98,683.15,CPU bound,8.45,444.73,0.24,398.26,161.97,26.9,26.2,12.6,0.0,0.0,38.8 ,26.9,26.2,20.0,0.0,0.0,46.2 ,113.60,49.7,83.9,16.5,0.0,0.0,57.68,8.08,65.76,0,0,0,0,0,0,45.00,5.37,50.37,0,0,0,0,0,0,72.00,8.00,80.00,0,0,0,0,0,0
20,5.46,287.36,0.20,6.04,317.89,0.17,247.97,228.38,26.9,26.2,30.7,23.7,0.0,80.5 ,26.9,26.2,28.0,20.0,0.0,74.2 ,80.57,21.2,32.9,33.1,30.7,0.0,122.16,10.40,132.56,112.80,9.84,122.64,0,0,0,112.62,10.00,122.62,85.37,9.25,94.62,0,0,0,104.00,8.00,112.00,72.00,8.00,80.00,0,0,0
30,5.15,271.05,0.14,6.04,317.89,0.17,247.87,228.42,26.9,26.2,32.8,23.9,0.0,82.9 ,26.9,26.2,28.0,20.0,0.0,74.2 ,80.55,25.0,38.9,33.1,26.7,0.0,123.12,9.44,132.56,97.44,9.20,106.64,0,0,0,121.87,9.25,131.12,86.25,9.25,95.50,0,0,0,104.00,8.00,112.00,72.00,8.00,80.00,0,0,0
40,0.99,52.10,0.03,6.04,317.89,0.17,247.87,214.39,26.9,26.2,171.3,22.7,0.0,220.3 ,26.9,26.2,28.0,20.0,0.0,74.2 ,85.83,19.4,29.0,35.3,25.7,0.0,131.92,9.52,141.44,93.92,8.96,102.88,0,0,0,621.37,64.00,685.37,82.00,8.87,90.87,0,0,0,104.00,8.00,112.00,72.00,8.00,80.00,0,0,0
50,5.38,283.15,0.20,6.04,317.89,0.17,247.97,245.66,26.9,26.2,30.7,24.0,0.0,80.9 ,26.9,26.2,28.0,20.0,0.0,74.2 ,74.90,22.1,33.3,30.9,28.1,0.0,114.88,8.80,123.68,103.68,8.72,112.40,0,0,0,114.00,8.75,122.75,87.50,8.75,96.25,0,0,0,104.00,8.00,112.00,72.00,8.00,80.00,0,0,0
60,4.30,226.31,0.16,4.61,242.63,0.17,223.74,234.69,26.9,26.2,30.2,30.1,0.0,86.4 ,26.9,26.2,28.0,28.0,0.0,82.2 ,78.40,19.0,27.9,30.5,30.8,1.2,113.28,8.72,122.00,114.64,8.64,123.28,1.76,.08,1.84,112.00,8.62,120.62,111.62,8.62,120.24,0,0,0,104.00,8.00,112.00,104.00,8.00,112.00,0,0,0
70,3.25,171.05,0.23,3.35,176.31,0.24,137.04,157.52,26.9,26.2,29.8,29.8,53.6,139.5 ,26.9,26.2,28.0,28.0,52.0,134.2 ,116.81,21.5,31.1,30.0,30.1,29.2,111.60,8.56,120.16,112.08,8.40,120.48,40.56,4.32,44.88,110.87,8.50,119.37,110.87,8.50,119.37,73.62,8.87,82.49,104.00,8.00,112.00,104.00,8.00,112.00,72.00,8.00,80.00
80,,,,3.35,176.31,0.24,137.10,131.84,26.9,26.2,198.4,170.4,55.0,450.0 ,26.9,26.2,28.0,28.0,52.0,134.2 ,139.56,19.3,27.4,36.1,30.0,53.5,135.28,9.20,144.48,112.00,7.84,119.84,74.08,8.24,82.32,729.62,64.00,793.62,617.62,64.00,681.62,76.25,8.37,84.62,104.00,8.00,112.00,104.00,8.00,112.00,72.00,8.00,80.00
90,3.19,167.89,0.23,3.35,176.31,0.24,137.10,130.94,26.9,26.2,29.4,29.4,54.7,139.7 ,26.9,26.2,28.0,28.0,52.0,134.2 ,140.53,20.9,29.9,29.5,29.7,55.5,109.60,8.40,118.00,110.48,8.24,118.72,77.04,8.40,85.44,109.25,8.37,117.62,109.25,8.37,117.62,75.75,8.37,84.12,104.00,8.00,112.00,104.00,8.00,112.00,72.00,8.00,80.00
100,3.21,168.94,0.23,3.35,176.31,0.24,137.04,135.46,26.9,26.2,29.3,29.3,54.4,139.1 ,26.9,26.2,28.0,28.0,52.0,134.2 ,135.83,19.1,27.1,29.5,29.4,55.2,109.52,8.40,117.92,109.20,8.32,117.52,76.64,8.40,85.04,108.62,8.37,116.99,108.62,8.37,116.99,75.37,8.37,83.74,104.00,8.00,112.00,104.00,8.00,112.00,72.00,8.00,80.00
