N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS cycl,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC cycl,Roofline LC Arithmetic Intensity,Roofline ECM MLUPs,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,Benchmark cycl,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,2.35,63.51,0.0,CPU bound,2.35,63.51,0.0,,253.74,58.84,144.8,136.0,0.0,0.0,0.0,144.84,144.8,136.0,0.0,0.0,0.0,144.84,156.37,66.5,98.3,0.0,0.0,0.1,.24,0,.24,0,0,0,.16,.08,.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2.35,63.51,44.10430915182432,CPU bound,2.35,63.51,36.159672466734904,,253.46,67.18,144.8,136.0,11.0,0.0,0.0,146.98,144.8,136.0,9.0,0.0,0.0,145.00,136.95,62.5,75.5,11.2,1.2,0.1,77.76,11.68,89.44,3.20,1.60,4.80,.16,.08,.24,76.37,11.37,87.74,0,0,0,0,0,0,64.00,8.00,72.00,0,0,0,0,0,0
30,2.35,63.51,43.703768427091795,CPU bound,2.35,63.51,36.159672466734904,,243.39,49.61,144.8,136.0,10.9,8.3,0.0,155.21,144.8,136.0,9.0,6.0,0.0,151.00,185.44,67.5,72.3,11.4,11.7,0.2,82.00,9.44,91.44,37.44,9.28,46.72,.24,.08,.32,77.75,9.37,87.12,24.00,9.25,33.25,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
40,2.35,63.51,43.36690881956327,CPU bound,2.35,63.51,36.159672466734904,,243.39,50.31,144.8,136.0,10.8,7.9,0.0,154.68,144.8,136.0,9.0,6.0,0.0,151.00,182.87,67.7,71.0,10.8,17.0,0.2,77.92,8.56,86.48,59.68,8.48,68.16,.24,.08,.32,77.00,9.37,86.37,22.12,9.37,31.49,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
50,2.35,63.51,40.23250697383597,CPU bound,2.35,63.51,44.83248730964468,,225.47,49.93,144.8,136.0,10.0,14.4,0.0,160.37,144.8,136.0,9.0,18.0,0.0,163.00,184.27,67.7,70.3,10.4,17.3,0.2,74.08,8.80,82.88,60.56,8.64,69.20,.24,.08,.32,71.37,8.75,80.12,48.75,8.75,57.50,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
60,2.35,63.51,50.45170439787814,CPU bound,2.35,63.51,44.83248730964468,,225.47,50.37,144.8,136.0,10.1,20.3,0.0,166.38,144.8,136.0,9.0,18.0,0.0,163.00,182.64,67.0,69.9,10.0,19.7,0.2,71.76,8.32,80.08,70.56,8.24,78.80,.16,.08,.24,72.12,8.87,80.99,72.12,8.87,80.99,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
70,2.35,63.51,48.301525549915404,CPU bound,2.35,63.51,44.83248730964468,,225.47,53.11,144.8,136.0,9.7,19.4,0.0,165.09,144.8,136.0,9.0,18.0,0.0,163.00,173.23,69.4,72.4,10.1,20.2,0.2,72.48,8.56,81.04,72.16,8.48,80.64,.16,.08,.24,69.12,8.50,77.62,69.12,8.50,77.62,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
80,2.35,63.51,48.91900044430669,CPU bound,2.35,63.51,44.83248730964468,,225.47,51.32,144.8,136.0,9.8,19.6,0.0,165.46,144.8,136.0,9.0,18.0,0.0,163.00,179.26,70.5,71.8,11.3,19.8,0.4,81.36,8.88,90.24,71.20,8.16,79.36,.48,.16,.64,69.87,8.62,78.49,69.87,8.62,78.49,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
90,2.35,63.51,47.48577353637902,CPU bound,2.35,63.51,44.83248730964468,,225.47,53.30,144.8,136.0,9.5,19.1,0.0,164.60,144.8,136.0,9.0,18.0,0.0,163.00,172.62,70.4,71.3,10.2,19.6,4.2,73.52,8.40,81.92,70.00,8.40,78.40,4.40,2.80,7.20,67.87,8.37,76.24,67.87,8.37,76.24,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
100,2.35,63.51,48.010214010152275,CPU bound,2.35,63.51,44.83248730964468,,207.48,53.10,144.8,136.0,9.6,19.3,15.4,180.27,144.8,136.0,9.0,18.0,14.1,177.13,173.27,70.1,71.0,11.7,19.4,11.2,85.12,8.64,93.76,69.36,8.16,77.52,12.32,6.56,18.88,68.62,8.50,77.12,68.62,8.50,77.12,17.50,8.50,26.00,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
