N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
10,4194304,2.893918,10 10 10 16 29491 10,5100273664,268435456,1.76,92.75,230.00,0,0,0,0,0,0,0,0,0
20,262144,3.275028,20 20 20 16 14745 20,13667139584,719323136,4.17,219.63,87.60,0,0,0,0,0,0,0,0,0
30,65536,3.143626,30 30 30 16 9830 30,17213423616,905969664,5.47,288.18,65.68,0,0,0,0,0,0,0,0,0
40,16384,2.481351,40 40 40 16 7372 40,12235177984,643956736,4.92,259.51,73.60,0,0,0,0,0,0,0,0,0
50,8192,2.220208,50 50 50 16 5898 50,13258719232,697827328,5.96,314.30,59.28,0,0,0,0,0,0,0,0,0
60,4096,2.246473,60 60 60 16 4915 60,12254478336,644972544,5.45,287.10,65.68,0,0,0,0,0,0,0,0,0
70,4096,3.396470,70 70 70 16 4213 70,20401094656,1073741824,6.00,316.13,59.28,0,0,0,0,0,0,0,0,0
80,2048,2.974318,80 80 80 16 3686 80,15768076288,829898752,5.29,279.01,68.08,0,0,0,0,0,0,0,0,0
90,1024,2.203079,90 90 90 16 3276 90,11531649024,606928896,5.23,275.48,68.08,0,0,0,0,0,0,0,0,0
100,1024,2.888185,100 100 100 16 2949 100,16159842304,850518016,5.59,294.47,63.44,0,0,0,0,0,0,0,0,0
110,1024,3.899690,110 110 110 16 2681 110,21885353984,1151860736,5.61,295.37,63.44,0,0,0,0,0,0,0,0,0
120,512,2.858834,120 120 120 16 2457 120,14412460032,758550528,5.04,265.33,70.72,0,0,0,0,0,0,0,0,0
130,512,3.882156,130 130 130 16 2268 130,18547638272,976191488,4.77,251.45,76.64,0,0,0,0,0,0,0,0,0
140,256,2.292573,140 140 140 16 2106 140,11703289856,615962624,5.10,268.67,70.72,0,0,0,0,0,0,0,0,0
150,256,2.822960,150 150 150 16 1966 150,14523826176,764411904,5.14,270.78,70.72,0,0,0,0,0,0,0,0,0
160,256,3.818583,160 160 160 16 1843 160,17764612096,934979584,4.65,244.84,76.64,0,0,0,0,0,0,0,0,0
170,128,2.061544,170 170 170 16 1734 170,10727415808,564600832,5.19,273.87,68.08,0,0,0,0,0,0,0,0,0
180,128,2.434219,180 180 180 16 1638 180,12811834368,674307072,5.26,277.00,68.08,0,0,0,0,0,0,0,0,0
190,128,2.930623,190 190 190 16 1552 190,15150153728,797376512,5.16,272.08,70.72,0,0,0,0,0,0,0,0,0
200,128,3.436831,200 200 200 16 1474 200,17756965888,934577152,5.16,271.92,68.08,0,0,0,0,0,0,0,0,0
210,64,1.931404,210 210 210 16 1404 210,10323431424,543338496,5.34,281.31,68.08,0,0,0,0,0,0,0,0,0
220,64,2.259340,220 220 220 16 1340 220,11917218304,627222016,5.27,277.61,68.08,0,0,0,0,0,0,0,0,0
230,64,2.611655,230 230 230 16 1282 230,13667139584,719323136,5.23,275.42,68.08,0,0,0,0,0,0,0,0,0
240,64,3.158283,240 240 240 16 1228 240,15580491264,820025856,4.93,259.64,73.60,0,0,0,0,0,0,0,0,0
250,64,3.298862,250 250 250 16 1179 250,17664569344,929714176,5.35,281.82,68.08,0,0,0,0,0,0,0,0,0
260,32,1.934067,260 260 260 16 1134 260,9963334912,524386048,5.14,271.12,70.72,0,0,0,0,0,0,0,0,0
270,32,2.092639,270 270 270 16 1092 270,11187044352,588791808,5.34,281.36,68.08,0,0,0,0,0,0,0,0,0
280,32,2.420568,280 280 280 16 1053 280,12507060992,658266368,5.16,271.94,70.72,0,0,0,0,0,0,0,0,0
290,32,2.639677,290 290 290 16 1016 290,13927032832,733001728,5.27,277.68,68.08,0,0,0,0,0,0,0,0,0
300,32,3.067372,300 300 300 16 983 300,15450607872,813189888,5.03,265.10,70.72,0,0,0,0,0,0,0,0,0
310,32,3.284677,310 310 310 16 951 310,17081434112,899022848,5.19,273.70,68.08,0,0,0,0,0,0,0,0,0
320,16,2.133211,320 320 320 16 921 320,9411579776,495346304,4.41,232.20,83.60,0,0,0,0,0,0,0,0,0
330,16,2.027840,330 330 330 16 893 330,10339716096,544195584,5.09,268.35,70.72,0,0,0,0,0,0,0,0,0
340,16,2.274622,340 340 340 16 867 340,11326950016,596155264,4.97,262.08,73.60,0,0,0,0,0,0,0,0,0
350,16,2.520225,350 350 350 16 842 350,12375105536,651321344,4.90,258.43,73.60,0,0,0,0,0,0,0,0,0
360,16,2.810307,360 360 360 16 819 360,13486006656,709789824,4.79,252.56,76.64,0,0,0,0,0,0,0,0,0
370,16,2.998989,370 370 370 16 797 370,14661477376,771656704,4.88,257.30,73.60,0,0,0,0,0,0,0,0,0
380,16,3.275277,380 380 380 16 776 380,15903341696,837017984,4.85,255.55,73.60,0,0,0,0,0,0,0,0,0
390,16,3.519053,390 390 390 16 756 390,17213423616,905969664,4.89,257.44,73.60,0,0,0,0,0,0,0,0,0
400,16,3.938975,400 400 400 16 737 400,18593547136,978607744,4.71,248.44,76.64,0,0,0,0,0,0,0,0,0
410,8,2.086742,410 410 410 16 719 410,10022768128,527514112,4.80,252.79,76.64,0,0,0,0,0,0,0,0,0
420,8,2.312493,420 420 420 16 702 420,10785607488,567663552,4.66,245.47,76.64,0,0,0,0,0,0,0,0,0
430,8,2.389810,430 430 430 16 685 430,11586203648,609800192,4.84,255.16,73.60,0,0,0,0,0,0,0,0,0
440,8,2.657828,440 440 440 16 670 440,12425468608,653972032,4.67,246.05,76.64,0,0,0,0,0,0,0,0,0
450,8,2.887126,450 450 450 16 655 450,13304314368,700227072,4.60,242.53,76.64,0,0,0,0,0,0,0,0,0
460,8,3.038382,460 460 460 16 641 460,14223652928,748613312,4.68,246.38,76.64,0,0,0,0,0,0,0,0,0
470,8,3.286597,470 470 470 16 627 470,15184396288,799178752,4.61,243.16,76.64,0,0,0,0,0,0,0,0,0
480,8,3.863436,480 480 480 16 614 480,16187456448,851971392,4.18,220.52,83.60,0,0,0,0,0,0,0,0,0
490,8,3.902364,490 490 490 16 601 490,17233745408,907039232,4.41,232.43,80.00,0,0,0,0,0,0,0,0,0
500,4,2.123093,500 500 500 16 589 500,9162087584,482215136,4.31,227.12,83.60,0,0,0,0,0,0,0,0,0
510,4,2.373235,510 510 510 16 578 510,9729828864,512096256,4.09,215.77,87.60,0,0,0,0,0,0,0,0,0
520,4,2.472863,520 520 520 16 567 520,10320552544,543186976,4.17,219.65,87.60,0,0,0,0,0,0,0,0,0
530,4,2.684541,530 530 530 16 556 530,10934714624,575511296,4.07,214.37,87.60,0,0,0,0,0,0,0,0,0
540,4,2.840124,540 540 540 16 546 540,11572771104,609093216,4.07,214.45,87.60,0,0,0,0,0,0,0,0,0
550,4,3.046885,550 550 550 16 536 550,12235177984,643956736,4.01,211.34,87.60,0,0,0,0,0,0,0,0,0
560,4,3.236147,560 560 560 16 526 560,12922391264,680125856,3.99,210.16,87.60,0,0,0,0,0,0,0,0,0
570,4,3.430897,570 570 570 16 517 570,13634866944,717624576,3.97,209.16,92.00,0,0,0,0,0,0,0,0,0
580,4,3.598030,580 580 580 16 508 580,14373061024,756476896,3.99,210.24,92.00,0,0,0,0,0,0,0,0,0
590,4,3.764183,590 590 590 16 499 590,15137429504,796706816,4.01,211.65,92.00,0,0,0,0,0,0,0,0,0
