N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
10,4194304,3.249556,10 10 10 16 45875 10,5100273664,268435456,1.56,82.60,240.00,0,0,0,0,0,0,0,0,0
20,262144,2.797739,20 20 20 16 22937 20,13667139584,719323136,4.88,257.10,76.80,0,0,0,0,0,0,0,0,0
30,65536,2.702273,30 30 30 16 15291 30,17213423616,905969664,6.36,335.25,58.16,0,0,0,0,0,0,0,0,0
40,32768,3.957732,40 40 40 16 11468 40,24470355968,1287913472,6.18,325.41,60.00,0,0,0,0,0,0,0,0,0
50,16384,3.730680,50 50 50 16 9175 50,26517438464,1395654656,7.10,374.10,51.84,0,0,0,0,0,0,0,0,0
60,8192,3.626651,60 60 60 16 7645 60,24508956672,1289945088,6.75,355.68,54.80,0,0,0,0,0,0,0,0,0
70,4096,2.755986,70 70 70 16 6553 70,20401094656,1073741824,7.40,389.60,50.48,0,0,0,0,0,0,0,0,0
80,2048,2.318259,80 80 80 16 5734 80,15768076288,829898752,6.79,357.97,54.80,0,0,0,0,0,0,0,0,0
90,2048,3.645769,90 90 90 16 5097 90,23063298048,1213857792,6.32,332.94,58.16,0,0,0,0,0,0,0,0,0
100,1024,2.271442,100 100 100 16 4587 100,16159842304,850518016,7.11,374.43,51.84,0,0,0,0,0,0,0,0,0
110,1024,3.004845,110 110 110 16 4170 110,21885353984,1151860736,7.28,383.33,50.48,0,0,0,0,0,0,0,0,0
120,512,2.131305,120 120 120 16 3822 120,14412460032,758550528,6.76,355.90,54.80,0,0,0,0,0,0,0,0,0
130,512,3.037810,130 130 130 16 3528 130,18547638272,976191488,6.10,321.34,61.92,0,0,0,0,0,0,0,0,0
140,512,3.788161,140 140 140 16 3276 140,23406579712,1231925248,6.17,325.20,60.00,0,0,0,0,0,0,0,0,0
150,256,2.409119,150 150 150 16 3058 150,14523826176,764411904,6.02,317.29,61.92,0,0,0,0,0,0,0,0,0
160,256,3.441428,160 160 160 16 2867 160,17764612096,934979584,5.16,271.68,71.04,0,0,0,0,0,0,0,0,0
170,256,3.709693,170 170 170 16 2698 170,21454831616,1129201664,5.78,304.39,64.00,0,0,0,0,0,0,0,0,0
180,128,2.266913,180 180 180 16 2548 180,12811834368,674307072,5.65,297.45,66.16,0,0,0,0,0,0,0,0,0
190,128,2.650730,190 190 190 16 2414 190,15150153728,797376512,5.71,300.81,66.16,0,0,0,0,0,0,0,0,0
200,128,3.141028,200 200 200 16 2293 200,17756965888,934577152,5.65,297.53,66.16,0,0,0,0,0,0,0,0,0
210,128,3.544752,210 210 210 16 2184 210,20646862848,1086676992,5.82,306.55,64.00,0,0,0,0,0,0,0,0,0
220,64,2.122164,220 220 220 16 2085 220,11917218304,627222016,5.61,295.55,66.16,0,0,0,0,0,0,0,0,0
230,64,2.392186,230 230 230 16 1994 230,13667139584,719323136,5.71,300.69,66.16,0,0,0,0,0,0,0,0,0
240,64,2.835996,240 240 240 16 1911 240,15580491264,820025856,5.49,289.14,68.56,0,0,0,0,0,0,0,0,0
250,64,3.017201,250 250 250 16 1835 250,17664569344,929714176,5.85,308.13,64.00,0,0,0,0,0,0,0,0,0
260,64,3.494687,260 260 260 16 1764 260,19926669824,1048772096,5.70,300.10,66.16,0,0,0,0,0,0,0,0,0
270,64,3.827482,270 270 270 16 1699 270,22374088704,1177583616,5.84,307.66,64.00,0,0,0,0,0,0,0,0,0
280,32,2.164587,280 280 280 16 1638 280,12507060992,658266368,5.77,304.10,64.00,0,0,0,0,0,0,0,0,0
290,32,2.389495,290 290 290 16 1581 290,13927032832,733001728,5.82,306.75,64.00,0,0,0,0,0,0,0,0,0
300,32,2.767556,300 300 300 16 1529 300,15450607872,813189888,5.58,293.82,66.16,0,0,0,0,0,0,0,0,0
310,32,2.975176,310 310 310 16 1479 310,17081434112,899022848,5.74,302.17,66.16,0,0,0,0,0,0,0,0,0
320,32,3.776395,320 320 320 16 1433 320,18823159552,990692608,4.98,262.33,73.84,0,0,0,0,0,0,0,0,0
330,32,3.673767,330 330 330 16 1390 330,20679432192,1088391168,5.62,296.25,66.16,0,0,0,0,0,0,0,0,0
