N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC Arithmetic Intensity,Roofline ECM MLUPs,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,Benchmark cycl,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,9.47,498.42,CPU bound,9.47,498.42,,498.70,205.10,38.5,22.2,0.0,0.0,0.0,38.5 ,38.5,22.2,0.0,0.0,0.0,38.5 ,93.61,39.5,61.6,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,9.47,498.42,CPU bound,9.47,498.42,,498.70,295.67,38.5,22.2,5.5,0.0,0.0,38.5 ,38.5,22.2,3.0,0.0,0.0,38.5 ,64.94,30.7,38.7,6.5,0.0,0.0,40.00,11.68,51.68,0,0,0,0,0,0,32.75,11.62,44.37,0,0,0,0,0,0,16.00,8.00,24.00,0,0,0,0,0,0
30,7.98,420.00,CPU bound,9.47,498.42,,498.49,350.80,38.5,22.2,11.5,0.0,0.0,38.5 ,38.5,22.2,9.0,0.0,0.0,38.5 ,54.73,22.8,28.1,11.7,0.0,0.0,83.68,10.24,93.92,0,0,0,0,0,0,81.87,10.00,91.87,0,0,0,0,0,0,64.00,8.00,72.00,0,0,0,0,0,0
40,8.48,446.31,CPU bound,9.47,498.42,,498.49,348.83,38.5,22.2,10.8,0.0,0.0,38.5 ,38.5,22.2,9.0,0.0,0.0,38.5 ,55.04,24.5,29.3,10.9,0.3,0.0,78.08,9.52,87.60,.32,.32,.64,0,0,0,76.87,9.37,86.24,0,0,0,0,0,0,64.00,8.00,72.00,0,0,0,0,0,0
50,8.82,464.21,CPU bound,9.47,498.42,,489.59,375.18,38.5,22.2,10.4,10.3,0.0,42.9 ,38.5,22.2,9.0,8.0,0.0,39.2 ,51.18,22.0,25.7,10.4,20.2,0.0,74.24,9.20,83.44,20.24,20.16,40.40,.08,0,.08,74.00,9.12,83.12,20.62,9.12,29.74,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
60,9.02,474.73,CPU bound,9.47,498.42,,489.59,369.90,38.5,22.2,10.1,10.2,0.0,42.5 ,38.5,22.2,9.0,8.0,0.0,39.2 ,51.91,23.3,26.9,10.2,20.1,0.0,72.96,8.96,81.92,20.08,20.08,40.16,.08,0,.08,72.25,8.87,81.12,20.37,8.87,29.24,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
70,9.20,484.21,CPU bound,9.47,498.42,,489.79,389.02,38.5,22.2,9.9,10.2,0.0,42.4 ,38.5,22.2,9.0,8.0,0.0,39.2 ,49.35,22.0,24.8,10.0,19.8,0.0,71.04,8.80,79.84,19.84,19.76,39.60,.08,0,.08,70.87,8.75,79.62,20.50,8.75,29.25,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
80,9.32,490.52,CPU bound,9.47,498.42,,489.79,370.98,38.5,22.2,9.8,10.4,0.0,42.4 ,38.5,22.2,9.0,8.0,0.0,39.2 ,51.75,22.6,25.9,10.1,20.8,0.1,71.76,8.72,80.48,20.80,20.80,41.60,.24,.08,.32,69.87,8.62,78.49,20.87,8.62,29.49,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
90,9.42,495.78,CPU bound,9.47,498.42,,489.79,330.61,38.5,22.2,9.7,10.7,0.0,42.6 ,38.5,22.2,9.0,8.0,0.0,39.2 ,58.07,24.6,24.4,9.8,19.0,0.4,69.60,8.56,78.16,18.96,18.96,37.92,1.44,.72,2.16,69.25,8.62,77.87,21.37,8.50,29.87,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
100,9.47,498.42,CPU bound,9.47,498.42,,489.79,380.06,38.5,22.2,9.7,11.0,0.0,42.9 ,38.5,22.2,9.0,8.0,0.0,39.2 ,50.52,22.1,25.3,9.7,28.3,1.1,69.28,8.56,77.84,28.32,28.32,56.64,3.28,2.56,5.84,68.75,8.50,77.25,22.12,8.50,30.62,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
