N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS cycl,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC cycl,Roofline LC Arithmetic Intensity,Roofline ECM MLUPs,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,Benchmark cycl,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,1.76,92.63,0.0,CPU bound,1.76,92.63,0.0,,92.62,107.00,103.6,48.0,0.0,0.0,0.0,103.60,103.6,48.0,0.0,0.0,0.0,103.60,89.72,24.5,39.3,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1.76,92.63,43.345164901306724,CPU bound,1.76,92.63,35.53727506426735,,92.62,146.75,103.6,48.0,11.0,0.0,0.0,103.60,103.6,48.0,9.0,0.0,0.0,103.60,65.42,20.9,27.1,10.6,0.0,0.0,75.44,9.28,84.72,0,0,0,0,0,0,76.37,11.37,87.74,0,0,0,0,0,0,64.00,8.00,72.00,0,0,0,0,0,0
30,1.76,92.63,42.95151847316622,CPU bound,1.76,92.63,35.53727506426735,,92.66,146.44,103.6,48.0,10.9,0.0,0.0,103.60,103.6,48.0,9.0,0.0,0.0,103.60,65.56,21.1,25.3,11.4,0.0,0.0,82.16,9.44,91.60,0,0,0,0,0,0,77.75,9.37,87.12,0,0,0,0,0,0,64.00,8.00,72.00,0,0,0,0,0,0
40,1.76,92.63,42.62045705269027,CPU bound,1.76,92.63,35.53727506426735,,92.66,149.70,103.6,48.0,10.8,11.1,0.0,103.60,103.6,48.0,9.0,8.0,0.0,103.60,64.13,20.9,24.6,10.6,20.5,0.1,76.24,8.56,84.80,20.48,20.48,40.96,.24,0,.24,77.00,9.37,86.37,22.12,22.12,44.24,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
50,1.76,92.63,39.54000601552919,CPU bound,1.76,92.63,35.53727506426735,,92.66,149.95,103.6,48.0,10.0,10.1,0.0,103.60,103.6,48.0,9.0,8.0,0.0,103.60,64.02,20.8,24.2,10.3,21.2,0.1,73.76,8.72,82.48,21.12,21.12,42.24,.16,0,.16,71.37,8.75,80.12,20.25,20.25,40.50,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
60,1.76,92.63,39.98054994518913,CPU bound,1.76,92.63,35.53727506426735,,92.62,150.43,103.6,48.0,10.1,10.2,0.0,103.60,103.6,48.0,9.0,8.0,0.0,103.60,63.82,20.8,24.0,10.0,20.4,0.0,71.76,8.32,80.08,20.40,20.40,40.80,.08,0,.08,72.12,8.87,80.99,20.25,20.37,40.62,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
70,1.76,92.63,38.28564894601543,CPU bound,1.76,92.63,35.53727506426735,,92.66,147.19,103.6,48.0,9.7,10.1,9.7,103.60,103.6,48.0,9.0,8.0,8.8,103.60,65.22,21.1,23.9,9.9,21.8,0.4,70.96,8.56,79.52,21.84,21.84,43.68,.80,.32,1.12,69.12,8.50,77.62,6.00,20.12,26.12,14.25,10.25,24.50,64.00,8.00,72.00,16.00,8.00,24.00,16.00,8.00,24.00
80,1.76,92.63,38.759148859069725,CPU bound,1.76,92.63,35.53727506426735,,92.66,132.55,103.6,48.0,9.8,9.0,9.8,103.60,103.6,48.0,9.0,8.0,8.8,103.60,72.43,21.1,23.7,10.6,58.4,2.9,75.92,8.64,84.56,58.40,58.32,116.72,6.48,1.44,7.92,69.87,8.62,78.49,0,18.00,18.00,18.00,8.62,26.62,64.00,8.00,72.00,16.00,8.00,24.00,16.00,8.00,24.00
90,1.76,92.63,37.618616434025334,CPU bound,1.76,92.63,35.53727506426735,,92.66,142.60,103.6,48.0,9.5,8.8,9.5,103.60,103.6,48.0,9.0,8.0,8.8,103.60,67.32,20.8,23.6,9.8,35.8,5.6,70.00,8.40,78.40,35.84,35.84,71.68,8.00,6.16,14.16,67.87,8.37,76.24,0,17.50,17.50,17.50,8.37,25.87,64.00,8.00,72.00,16.00,8.00,24.00,16.00,8.00,24.00
100,1.61,84.73,112.98320686106346,CPU bound,1.76,92.63,56.742945100051315,,92.66,143.13,103.6,48.0,9.6,34.3,9.6,103.60,103.6,48.0,9.0,32.0,8.8,103.60,67.07,20.8,23.6,11.7,55.8,7.9,85.28,8.40,93.68,55.76,55.76,111.52,13.92,7.76,21.68,68.62,8.50,77.12,51.12,68.62,119.74,17.50,8.50,26.00,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
110,1.65,86.84,110.40862847341337,CPU bound,1.76,92.63,56.742945100051315,,92.66,141.62,103.6,48.0,9.4,33.5,9.4,103.60,103.6,48.0,9.0,32.0,8.8,103.60,67.79,20.8,23.5,9.7,61.1,9.3,69.36,8.32,77.68,61.12,61.12,122.24,17.12,8.16,25.28,67.12,8.25,75.37,49.75,67.00,116.75,17.25,8.50,25.75,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
120,1.63,85.78,111.69024752707747,CPU bound,1.76,92.63,56.742945100051315,,92.66,141.47,103.6,48.0,9.5,33.9,9.4,103.60,103.6,48.0,9.0,32.0,8.8,103.60,67.86,20.8,23.5,9.8,66.9,9.8,69.92,8.32,78.24,66.88,66.88,133.76,18.48,8.16,26.64,67.87,8.37,76.24,50.50,67.87,118.37,17.25,8.37,25.62,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
130,1.66,87.36,109.70781200686105,CPU bound,1.76,92.63,56.742945100051315,,92.66,132.70,103.6,48.0,9.4,33.3,9.3,103.60,103.6,48.0,9.0,32.0,8.8,103.60,72.35,20.8,23.4,11.2,64.4,9.3,81.20,8.72,89.92,64.40,64.40,128.80,17.52,7.92,25.44,66.62,8.25,74.87,49.50,66.62,116.12,17.12,8.25,25.37,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
140,1.65,86.84,110.65628542024014,CPU bound,1.76,92.63,56.742945100051315,,92.66,144.18,103.6,48.0,10.5,33.6,9.3,103.60,103.6,48.0,9.0,32.0,8.8,103.60,66.58,21.4,24.1,10.6,67.0,10.3,76.00,8.88,84.88,66.96,66.96,133.92,19.92,8.16,28.08,75.50,8.37,83.87,50.12,67.25,117.37,17.00,8.25,25.25,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
