N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS cycl,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC cycl,Roofline LC Arithmetic Intensity,Roofline ECM MLUPs,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,Benchmark cycl,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,2.81,127.72,0.0,CPU bound,2.81,127.72,0.0,,510.44,120.58,72.0,48.4,0.0,0.0,0.0,72.00,72.0,48.4,0.0,0.0,0.0,72.00,76.30,42.4,43.0,0.0,0.0,0.1,0,0,0,0,0,0,.08,0,.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2.81,127.72,44.10430915182432,CPU bound,2.81,127.72,36.1596724667349,,510.44,140.90,72.0,48.4,11.0,0.0,0.0,72.00,72.0,48.4,9.0,0.0,0.0,72.00,65.29,37.4,28.8,10.4,0.4,0.1,71.92,11.68,83.60,1.20,.48,1.68,.08,0,.08,76.37,11.37,87.74,0,0,0,0,0,0,64.00,8.00,72.00,0,0,0,0,0,0
30,2.81,127.72,43.703768427091795,CPU bound,2.81,127.72,36.1596724667349,,510.44,116.12,72.0,48.4,10.9,8.3,0.0,72.00,72.0,48.4,9.0,6.0,0.0,72.00,79.23,36.7,26.7,11.5,9.1,0.1,82.24,9.52,91.76,27.20,9.36,36.56,.08,0,.08,77.75,9.37,87.12,24.00,9.25,33.25,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
40,2.81,127.72,43.36690881956327,CPU bound,2.81,127.72,36.1596724667349,,510.44,118.34,72.0,48.4,10.8,7.9,0.0,72.00,72.0,48.4,9.0,6.0,0.0,72.00,77.74,36.4,25.9,10.6,20.1,0.1,76.48,8.56,85.04,71.92,8.48,80.40,.08,0,.08,77.00,9.37,86.37,22.12,9.37,31.49,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
50,2.81,127.72,40.23250697383597,CPU bound,2.81,127.72,44.83248730964466,,487.42,138.68,72.0,48.4,10.0,14.4,0.0,72.77,72.0,48.4,9.0,18.0,0.0,75.40,66.34,38.3,27.6,10.3,17.8,0.1,73.84,8.72,82.56,62.32,8.72,71.04,.08,0,.08,71.37,8.75,80.12,48.75,8.75,57.50,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
60,2.81,127.72,50.45170439787814,CPU bound,2.81,127.72,44.83248730964466,,487.42,139.75,72.0,48.4,10.1,20.3,0.0,78.78,72.0,48.4,9.0,18.0,0.0,75.40,65.83,37.9,26.9,10.0,19.6,0.1,71.68,8.32,80.00,70.08,8.32,78.40,.08,0,.08,72.12,8.87,80.99,72.12,8.87,80.99,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
70,2.81,127.72,48.3015255499154,CPU bound,2.81,127.72,44.83248730964466,,487.42,140.13,72.0,48.4,9.7,19.4,0.0,77.49,72.0,48.4,9.0,18.0,0.0,75.40,65.65,37.6,26.5,10.0,20.1,0.1,71.36,8.48,79.84,71.76,8.48,80.24,.08,0,.08,69.12,8.50,77.62,69.12,8.50,77.62,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
80,2.81,127.72,48.91900044430669,CPU bound,2.81,127.72,44.83248730964466,,487.42,134.14,72.0,48.4,9.8,19.6,0.0,77.86,72.0,48.4,9.0,18.0,0.0,75.40,68.58,37.5,26.1,10.5,19.6,0.1,75.36,8.64,84.00,70.40,8.24,78.64,.08,0,.08,69.87,8.62,78.49,69.87,8.62,78.49,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
90,2.81,127.72,47.48577353637902,CPU bound,2.81,127.72,44.83248730964466,,487.42,135.66,72.0,48.4,9.5,19.1,0.0,77.00,72.0,48.4,9.0,18.0,0.0,75.40,67.82,37.4,25.9,9.9,19.6,4.2,70.96,8.40,79.36,69.92,8.40,78.32,4.32,2.80,7.12,67.87,8.37,76.24,67.87,8.37,76.24,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
100,2.81,127.72,48.01021401015228,CPU bound,2.81,127.72,44.83248730964466,,410.49,125.88,72.0,48.4,9.6,19.3,15.4,92.67,72.0,48.4,9.0,18.0,14.1,89.53,73.09,37.3,25.7,11.6,19.3,11.4,84.08,8.56,92.64,69.12,8.16,77.28,12.32,7.04,19.36,68.62,8.50,77.12,68.62,8.50,77.12,17.50,8.50,26.00,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
