N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS cycl,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC cycl,Roofline LC Arithmetic Intensity,Roofline ECM MLUPs,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,Benchmark cycl,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,2.81,127.72,0.0,CPU bound,2.81,127.72,0.0,,127.61,125.94,72.0,48.4,0.0,0.0,0.0,72.00,72.0,48.4,0.0,0.0,0.0,72.00,73.05,43.3,43.0,0.0,0.0,0.1,0,0,0,0,0,0,.08,0,.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2.81,127.72,44.10430915182432,CPU bound,2.81,127.72,36.1596724667349,,127.61,141.03,72.0,48.4,11.0,0.0,0.0,72.00,72.0,48.4,9.0,0.0,0.0,72.00,65.23,37.5,28.8,9.9,0.5,0.1,69.52,9.28,78.80,1.60,.32,1.92,.08,0,.08,76.37,11.37,87.74,0,0,0,0,0,0,64.00,8.00,72.00,0,0,0,0,0,0
30,2.81,127.72,43.703768427091795,CPU bound,2.81,127.72,36.1596724667349,,127.61,115.59,72.0,48.4,10.9,8.3,0.0,72.00,72.0,48.4,9.0,6.0,0.0,72.00,79.59,36.7,26.7,11.5,12.1,0.1,82.16,9.52,91.68,39.20,9.36,48.56,.08,0,.08,77.75,9.37,87.12,24.00,9.25,33.25,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
40,2.81,127.72,43.36690881956327,CPU bound,2.81,127.72,36.1596724667349,,127.61,119.01,72.0,48.4,10.8,7.9,0.0,72.00,72.0,48.4,9.0,6.0,0.0,72.00,77.30,36.5,25.9,10.6,17.1,0.1,76.32,8.56,84.88,60.00,8.48,68.48,.08,0,.08,77.00,9.37,86.37,22.12,9.37,31.49,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
50,2.81,127.72,40.23250697383597,CPU bound,2.81,127.72,44.83248730964466,,121.85,137.79,72.0,48.4,10.0,14.4,0.0,72.77,72.0,48.4,9.0,18.0,0.0,75.40,66.77,38.5,27.6,10.3,17.8,0.1,73.84,8.72,82.56,62.56,8.64,71.20,.08,0,.08,71.37,8.75,80.12,48.75,8.75,57.50,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
60,2.81,127.72,50.45170439787814,CPU bound,2.81,127.72,44.83248730964466,,121.85,139.64,72.0,48.4,10.1,20.3,0.0,78.78,72.0,48.4,9.0,18.0,0.0,75.40,65.88,37.9,26.9,10.0,19.5,0.1,71.76,8.32,80.08,69.68,8.24,77.92,.08,0,.08,72.12,8.87,80.99,72.12,8.87,80.99,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
70,2.81,127.72,48.3015255499154,CPU bound,2.81,127.72,44.83248730964466,,121.85,140.22,72.0,48.4,9.7,19.4,0.0,77.49,72.0,48.4,9.0,18.0,0.0,75.40,65.61,37.6,26.5,10.0,20.0,0.1,71.36,8.48,79.84,71.44,8.48,79.92,.08,0,.08,69.12,8.50,77.62,69.12,8.50,77.62,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
80,2.81,127.72,48.91900044430669,CPU bound,2.81,127.72,44.83248730964466,,121.85,131.16,72.0,48.4,9.8,19.6,0.0,77.86,72.0,48.4,9.0,18.0,0.0,75.40,70.14,37.5,26.1,10.3,19.7,0.3,74.16,8.64,82.80,70.48,8.24,78.72,.48,.16,.64,69.87,8.62,78.49,69.87,8.62,78.49,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
90,2.81,127.72,47.48577353637902,CPU bound,2.81,127.72,44.83248730964466,,121.85,135.98,72.0,48.4,9.5,19.1,0.0,77.00,72.0,48.4,9.0,18.0,0.0,75.40,67.66,37.4,25.9,9.9,19.6,4.2,70.96,8.40,79.36,69.92,8.40,78.32,4.32,2.80,7.12,67.87,8.37,76.24,67.87,8.37,76.24,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
100,2.81,127.72,48.01021401015228,CPU bound,2.81,127.72,44.83248730964466,,102.62,125.01,72.0,48.4,9.6,19.3,15.4,92.67,72.0,48.4,9.0,18.0,14.1,89.53,73.59,37.2,25.7,11.7,19.3,11.1,84.80,8.48,93.28,69.20,8.16,77.36,12.00,6.80,18.80,68.62,8.50,77.12,68.62,8.50,77.12,17.50,8.50,26.00,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
