N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS cycl,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC cycl,Roofline LC Arithmetic Intensity,Roofline ECM MLUPs,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,Benchmark cycl,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,2.37,107.72,0.0,CPU bound,2.37,107.72,27.6401028277635,,107.48,114.61,89.3,72.0,0.0,0.0,0.0,89.28,89.3,72.0,7.0,0.0,0.0,89.28,83.76,42.1,52.2,0.2,0.0,0.0,1.20,.16,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.00,8.00,56.00,0,0,0,0,0,0
20,2.37,107.72,75.61355211421306,CPU bound,2.37,107.72,51.33161953727506,,107.52,136.88,89.3,72.0,19.1,0.0,0.0,91.15,89.3,72.0,13.0,0.0,0.0,89.28,70.13,28.8,37.0,18.1,0.0,0.0,135.44,9.36,144.80,0,0,0,0,0,0,141.75,11.37,153.12,0,0,0,0,0,0,96.00,8.00,104.00,0,0,0,0,0,0
30,2.09,95.00,100.8480399568316,CPU bound,2.37,107.72,51.33161953727506,,88.07,125.91,89.3,72.0,15.5,30.6,0.0,118.17,89.3,72.0,13.0,24.0,0.0,109.00,76.24,29.6,34.8,16.4,69.1,0.4,122.08,9.44,131.52,69.12,69.12,138.24,1.20,0,1.20,115.00,9.37,124.37,61.25,61.25,122.50,0,0,0,96.00,8.00,104.00,48.00,8.00,56.00,0,0,0
40,2.15,97.72,98.42759934440897,CPU bound,2.37,107.72,51.33161953727506,,88.03,129.29,89.3,72.0,15.5,29.9,0.1,117.45,89.3,72.0,13.0,24.0,0.0,109.00,74.25,28.8,34.0,15.5,62.9,0.0,114.96,8.72,123.68,62.88,62.88,125.76,.08,0,.08,114.62,9.37,123.99,59.62,59.75,119.37,.25,0,.25,96.00,8.00,104.00,48.00,8.00,56.00,0,0,0
50,2.33,105.90,90.75676656858262,CPU bound,2.37,107.72,55.10313901345292,,74.06,133.91,89.3,72.0,14.4,27.6,19.4,133.36,89.3,72.0,13.0,24.0,20.6,129.56,71.69,28.7,33.5,15.0,59.7,0.7,111.12,8.80,119.92,59.68,59.68,119.36,1.60,.24,1.84,106.25,8.75,115.00,10.75,55.12,65.87,44.25,8.62,52.87,96.00,8.00,104.00,48.00,8.00,56.00,48.00,8.00,56.00
60,2.30,104.54,92.00797669469684,CPU bound,2.37,107.72,55.10313901345292,,74.09,131.84,89.3,72.0,14.6,27.9,23.8,138.28,89.3,72.0,13.0,24.0,20.6,129.56,72.81,28.4,33.2,14.6,60.7,6.7,108.40,8.32,116.72,60.72,60.72,121.44,15.28,2.96,18.24,107.62,8.87,116.49,0,55.87,55.87,55.87,8.87,64.74,96.00,8.00,104.00,48.00,8.00,56.00,48.00,8.00,56.00
70,2.37,107.72,85.74621200686107,CPU bound,2.37,107.72,55.10313901345292,,74.09,123.59,89.3,72.0,13.9,26.0,22.2,134.21,89.3,72.0,13.0,24.0,20.6,129.56,77.67,28.8,33.0,14.5,64.8,13.1,107.60,8.64,116.24,64.88,64.80,129.68,28.88,6.88,35.76,103.12,8.50,111.62,0,52.12,52.12,52.12,8.50,60.62,96.00,8.00,104.00,48.00,8.00,56.00,48.00,8.00,56.00
80,1.03,46.81,205.66763598971724,CPU bound,2.37,107.72,81.96203181118523,,62.51,75.40,89.3,72.0,52.1,37.5,22.5,184.08,89.3,72.0,13.0,48.0,20.6,153.56,127.31,32.8,32.9,20.1,103.4,22.2,151.28,9.36,160.64,103.44,103.36,206.80,52.64,7.84,60.48,384.75,32.00,416.75,22.50,75.00,97.50,52.62,8.62,61.24,96.00,8.00,104.00,96.00,8.00,104.00,48.00,8.00,56.00
90,1.36,61.81,155.32200617495712,CPU bound,2.37,107.72,81.96203181118523,,62.49,84.37,89.3,72.0,13.7,47.2,21.8,154.73,89.3,72.0,13.0,48.0,20.6,153.56,113.78,31.3,32.8,15.2,99.6,23.8,113.20,8.64,121.84,99.60,99.60,199.20,56.48,8.40,64.88,101.37,8.37,109.74,43.25,94.37,137.62,51.12,8.37,59.49,96.00,8.00,104.00,96.00,8.00,104.00,48.00,8.00,56.00
100,1.25,56.81,169.0400933104631,CPU bound,2.37,107.72,81.96203181118523,,62.51,89.85,89.3,72.0,16.0,51.3,22.1,161.39,89.3,72.0,13.0,48.0,20.6,153.56,106.84,29.3,32.7,16.2,102.9,23.7,120.72,8.64,129.36,102.96,102.96,205.92,56.48,8.16,64.64,119.50,8.50,128.00,51.12,102.62,153.74,51.62,8.50,60.12,96.00,8.00,104.00,96.00,8.00,104.00,48.00,8.00,56.00
110,1.28,58.18,165.2741269296741,CPU bound,2.37,107.72,81.96203181118523,,62.51,89.17,89.3,72.0,15.5,50.2,21.6,159.26,89.3,72.0,13.0,48.0,20.6,153.56,107.66,29.7,32.6,16.7,102.7,24.0,124.48,8.80,133.28,102.72,102.72,205.44,57.12,8.32,65.44,115.62,8.25,123.87,49.87,100.37,150.24,50.50,8.25,58.75,96.00,8.00,104.00,96.00,8.00,104.00,48.00,8.00,56.00
120,1.26,57.27,167.1559743373255,CPU bound,2.37,107.72,81.96203181118523,,60.16,88.73,89.3,72.0,15.9,50.8,21.8,160.45,89.3,72.0,19.0,48.0,20.6,159.56,108.19,29.3,32.6,16.2,102.1,23.9,121.04,8.64,129.68,102.08,102.08,204.16,56.96,8.16,65.12,118.50,8.37,126.87,50.50,101.50,152.00,51.00,8.50,59.50,144.00,8.00,152.00,96.00,8.00,104.00,48.00,8.00,56.00
130,1.29,58.63,164.10867908610317,CPU bound,2.37,107.72,81.96203181118523,,60.16,87.34,89.3,72.0,17.5,49.8,21.5,160.80,89.3,72.0,19.0,48.0,20.6,159.56,109.91,29.9,32.5,17.5,101.7,23.6,130.88,8.80,139.68,101.68,101.68,203.36,55.92,8.24,64.16,131.62,8.25,139.87,49.50,99.62,149.12,50.12,8.37,58.49,144.00,8.00,152.00,96.00,8.00,104.00,48.00,8.00,56.00
140,1.27,57.72,165.7174275560983,CPU bound,2.37,107.72,81.96203181118523,,60.16,89.33,89.3,72.0,19.9,50.3,21.6,163.75,89.3,72.0,19.0,48.0,20.6,159.56,107.47,29.5,32.5,19.6,101.3,23.4,147.92,8.80,156.72,101.28,101.28,202.56,55.52,8.16,63.68,150.50,8.37,158.87,50.12,100.62,150.74,50.50,8.25,58.75,144.00,8.00,152.00,96.00,8.00,104.00,48.00,8.00,56.00
150,1.29,58.63,163.12003842195543,CPU bound,2.37,107.72,81.96203181118523,,60.14,88.40,89.3,72.0,19.4,49.5,21.3,162.22,89.3,72.0,19.0,48.0,20.6,159.56,108.59,30.5,32.5,18.7,100.9,23.4,140.48,8.88,149.36,100.88,100.88,201.76,55.36,8.24,63.60,147.25,8.25,155.50,49.37,99.00,148.37,49.75,8.12,57.87,144.00,8.00,152.00,96.00,8.00,104.00,48.00,8.00,56.00
160,0.99,45.00,213.8360093680023,CPU bound,2.37,107.72,81.96203181118523,,60.16,75.59,89.3,72.0,53.1,50.0,21.5,196.71,89.3,72.0,19.0,48.0,20.6,159.56,127.00,32.5,32.4,22.7,100.5,24.3,172.24,9.28,181.52,100.48,100.48,200.96,57.92,8.08,66.00,393.12,32.00,425.12,49.87,100.00,149.87,50.12,8.50,58.62,144.00,8.00,152.00,96.00,8.00,104.00,48.00,8.00,56.00
170,1.30,59.09,162.4966806174957,CPU bound,2.37,107.72,81.96203181118523,,60.16,91.84,89.3,72.0,19.4,49.3,23.0,163.77,89.3,72.0,19.0,48.0,20.6,159.56,104.53,29.0,33.2,18.7,100.2,23.3,140.80,9.04,149.84,100.24,100.24,200.48,55.36,8.24,63.60,147.37,8.25,155.62,44.25,98.62,142.87,54.37,8.25,62.62,144.00,8.00,152.00,96.00,8.00,104.00,48.00,8.00,56.00
180,1.29,58.63,163.9595550058514,CPU bound,2.37,107.72,81.96203181118523,,60.14,90.95,89.3,72.0,19.7,49.8,21.3,162.77,89.3,72.0,19.0,48.0,20.6,159.56,105.55,28.9,33.2,19.8,100.0,23.5,149.36,8.96,158.32,100.00,100.00,200.00,55.76,8.08,63.84,149.00,8.25,157.25,49.62,99.62,149.24,49.87,8.12,57.99,144.00,8.00,152.00,96.00,8.00,104.00,48.00,8.00,56.00
190,1.30,59.09,162.1093873070326,CPU bound,2.37,107.72,81.96203181118523,,60.16,89.61,89.3,72.0,19.3,49.2,23.6,164.19,89.3,72.0,19.0,48.0,20.6,159.56,107.13,29.0,33.1,19.4,99.9,23.6,146.56,8.88,155.44,99.92,99.92,199.84,56.08,8.16,64.24,146.62,8.12,154.74,42.25,98.50,140.75,56.12,8.12,64.24,144.00,8.00,152.00,96.00,8.00,104.00,48.00,8.00,56.00
200,1.29,58.63,163.4472617495712,CPU bound,2.37,107.72,81.96203181118523,,60.14,89.95,89.3,72.0,19.6,49.6,29.2,170.42,89.3,72.0,19.0,48.0,20.6,159.56,106.72,28.9,33.1,19.8,99.7,23.7,149.84,8.96,158.80,99.76,99.68,199.44,56.48,8.08,64.56,148.50,8.25,156.75,28.12,99.25,127.37,71.12,8.50,79.62,144.00,8.00,152.00,96.00,8.00,104.00,48.00,8.00,56.00
210,1.31,59.54,161.8054234155009,CPU bound,2.37,107.72,81.96203181118523,,60.14,89.73,89.3,72.0,19.4,49.1,29.1,169.59,89.3,72.0,19.0,48.0,20.6,159.56,106.99,29.2,33.0,19.9,99.6,23.7,150.56,8.96,159.52,99.60,99.52,199.12,56.48,8.16,64.64,146.87,8.12,154.99,27.00,98.25,125.25,71.25,8.00,79.25,144.00,8.00,152.00,96.00,8.00,104.00,48.00,8.00,56.00
220,1.30,59.09,162.856142200031,0.06,2.06,93.63,102.33440102498398,0.11,54.15,89.78,89.3,72.0,19.5,49.5,21.2,162.19,89.3,72.0,19.0,48.0,38.2,177.18,106.92,28.8,33.0,19.8,99.4,24.0,149.68,8.80,158.48,99.36,99.36,198.72,57.28,8.08,65.36,148.00,8.25,156.25,49.37,98.87,148.24,49.50,8.25,57.75,144.00,8.00,152.00,96.00,8.00,104.00,96.00,8.00,104.00
230,1.31,59.54,161.3812365441134,0.06,2.06,93.63,102.33440102498398,0.11,54.15,89.61,89.3,72.0,19.3,49.0,37.1,177.48,89.3,72.0,19.0,48.0,38.2,177.18,107.13,28.8,32.9,19.9,99.2,24.3,150.16,8.88,159.04,99.20,99.20,198.40,58.00,8.16,66.16,146.62,8.12,154.74,5.25,98.00,103.25,92.75,8.37,101.12,144.00,8.00,152.00,96.00,8.00,104.00,96.00,8.00,104.00
240,0.95,43.18,221.61281645244216,0.02,2.06,93.63,102.33440102498398,0.11,54.15,74.43,89.3,72.0,54.2,49.3,39.1,214.51,89.3,72.0,19.0,48.0,38.2,177.18,128.99,30.3,32.9,20.9,99.0,30.5,158.24,8.96,167.20,99.04,99.04,198.08,75.12,8.08,83.20,401.25,32.00,433.25,.50,98.62,99.12,98.12,8.25,106.37,144.00,8.00,152.00,96.00,8.00,104.00,96.00,8.00,104.00
250,1.31,59.54,160.9759615780446,0.06,2.06,93.63,102.33440102498398,0.11,54.18,86.89,89.3,72.0,19.3,48.9,38.8,178.99,89.3,72.0,19.0,48.0,38.2,177.18,110.48,28.8,32.8,19.8,99.0,25.8,149.84,8.80,158.64,98.96,98.96,197.92,62.00,8.16,70.16,146.37,8.12,154.49,.25,97.75,98.00,97.50,8.12,105.62,144.00,8.00,152.00,96.00,8.00,104.00,96.00,8.00,104.00
260,1.30,59.09,162.22689262435676,0.06,2.06,93.63,102.33440102498398,0.11,54.18,85.82,89.3,72.0,19.4,49.3,39.2,179.93,89.3,72.0,19.0,48.0,38.2,177.18,111.87,28.9,32.8,19.9,98.9,26.2,150.72,8.72,159.44,98.88,98.88,197.76,63.36,8.08,71.44,147.37,8.25,155.62,0,98.50,98.50,98.50,8.37,106.87,144.00,8.00,152.00,96.00,8.00,104.00,96.00,8.00,104.00
