N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC Arithmetic Intensity,Roofline ECM MLUPs,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,Benchmark cycl,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,,,0.05,,,0.06,,316.20,14.76,11.3,7.0,7.8,0.0,0.0,13.00,11.3,7.0,6.0,0.0,0.0,29.10,9.9,9.0,7.8,0.0,0.0,52.08,10.56,62.64,0,0,0,0,0,0,51.62,10.37,61.99,0,0,0,0,0,0,40.00,8.00,48.00,0,0,0,0,0,0
20,,,0.06,,,0.06,,273.89,26.99,11.3,7.0,6.7,13.3,0.0,25.00,11.3,7.0,6.0,12.0,0.0,33.59,11.0,9.2,6.7,14.5,0.0,45.04,8.88,53.92,49.28,8.88,58.16,0,0,0,44.37,8.87,53.24,44.37,8.87,53.24,0,0,0,40.00,8.00,48.00,40.00,8.00,48.00,0,0,0
30,,,0.06,,,0.06,,266.29,26.36,11.3,7.0,6.5,12.9,0.0,25.00,11.3,7.0,6.0,12.0,0.0,34.55,9.2,7.5,6.8,13.4,0.0,45.60,8.56,54.16,45.12,8.56,53.68,0,0,0,43.00,8.62,51.62,43.00,8.62,51.62,0,0,0,40.00,8.00,48.00,40.00,8.00,48.00,0,0,0
40,,,0.06,,,0.06,,274.25,25.95,11.3,7.0,6.3,12.6,0.0,25.00,11.3,7.0,6.0,12.0,0.0,33.55,10.1,8.0,6.7,13.0,0.0,45.20,8.48,53.68,43.68,8.40,52.08,0,0,0,42.12,8.37,50.49,42.12,8.37,50.49,0,0,0,40.00,8.00,48.00,40.00,8.00,48.00,0,0,0
50,,,0.06,,,0.06,,277.48,25.78,11.3,7.0,6.3,12.5,0.0,25.00,11.3,7.0,6.0,12.0,0.0,33.16,9.2,7.3,6.6,12.7,0.0,44.64,8.32,52.96,42.64,8.32,50.96,0,0,0,41.75,8.37,50.12,41.75,8.37,50.12,0,0,0,40.00,8.00,48.00,40.00,8.00,48.00,0,0,0
60,,,0.06,,,0.06,,264.70,25.62,11.3,7.0,6.2,12.4,0.0,25.00,11.3,7.0,6.0,12.0,0.0,34.76,9.8,7.7,6.6,12.6,0.9,44.56,8.32,52.88,42.16,8.32,50.48,1.44,0.08,1.52,41.37,8.25,49.62,41.37,8.25,49.62,0,0,0,40.00,8.00,48.00,40.00,8.00,48.00,0,0,0
70,0.79542,,0.06,0.78672,,0.06,,184.58,52.92,11.3,7.0,6.2,12.4,27.4,52.69,11.3,7.0,6.0,12.0,27.7,49.84,9.2,7.2,6.5,12.5,10.6,43.36,8.24,51.60,41.60,8.24,49.84,16.64,1.68,18.32,41.25,8.25,49.50,41.25,8.25,49.50,39.25,8.12,47.37,40.00,8.00,48.00,40.00,8.00,48.00,40.00,8.00,48.00
80,0.76705,,0.06,0.78672,,0.06,,132.65,53.86,11.3,7.0,6.2,12.3,28.4,52.69,11.3,7.0,6.0,12.0,27.7,69.36,9.6,7.6,6.3,12.4,25.1,42.00,8.24,50.24,41.44,8.24,49.68,36.96,6.48,43.44,41.00,8.25,49.25,41.00,8.25,49.25,41.00,8.25,49.25,40.00,8.00,48.00,40.00,8.00,48.00,40.00,8.00,48.00
90,0.76896,,0.06,0.78672,,0.06,,126.94,53.74,11.3,7.0,6.1,12.3,28.3,52.69,11.3,7.0,6.0,12.0,27.7,72.48,10.0,7.7,6.3,12.3,28.4,41.84,8.16,50.00,41.20,8.16,49.36,41.12,8.08,49.20,40.87,8.12,48.99,40.87,8.12,48.99,40.87,8.12,48.99,40.00,8.00,48.00,40.00,8.00,48.00,40.00,8.00,48.00
100,0.77144,,0.06,0.78672,,0.06,,127.20,53.60,11.3,7.0,6.1,12.2,28.2,52.69,11.3,7.0,6.0,12.0,27.7,72.33,9.5,7.5,6.2,12.3,28.5,41.68,8.16,49.84,41.04,8.16,49.20,41.28,8.24,49.52,40.87,8.12,48.99,40.87,8.12,48.99,40.87,8.12,48.99,40.00,8.00,48.00,40.00,8.00,48.00,40.00,8.00,48.00
