N,threads,iterations,time,blocking factor,flop,lup,Gflop/s,Gflop/s (Roofline),Mlup/s,Mlup/s (Roofline),cy/CL,cy/CL (ECM),MLUP/s (ECM),l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
600,1,likwid-perfctr,14.7467,,11502400000,1924591800,0.78,1.85,130.51,185,70.49,52.69,174.605,0,0,0,0,0,0,,,
600,2,likwid-perfctr,8.2115,,11496100000,1924611300,1.4,1.45,234.38,145,39.25,29.98,306.87,0,0,0,0,0,0,,,
600,3,likwid-perfctr,6.5618,,11483100000,1924641500,1.75,1.75,293.31,175,31.37,27.69,332.245,0,0,0,0,0,0,,,
600,4,likwid-perfctr,5.8918,,11489000000,1924615300,1.95,1.91,326.66,191,28.16,27.69,332.245,0,0,0,0,0,0,,,
600,5,likwid-perfctr,5.6683,,11506600000,1924614500,2.03,1.98,339.54,198,27.1,27.69,332.245,0,0,0,0,0,0,,,
600,6,likwid-perfctr,5.6209,,11522800000,1924652300,2.05,1.98,342.41,198,26.87,27.69,332.245,0,0,0,0,0,0,,,
600,7,likwid-perfctr,5.6164,,11513600000,1924627900,2.05,1.99,342.68,199,26.85,27.69,332.245,0,0,0,0,0,0,,,
600,8,likwid-perfctr,5.6132,,11507000000,1924597800,2.05,1.99,342.87,199,26.83,27.69,332.245,0,0,0,0,0,0,,,
600,9,likwid-perfctr,5.6186,,11518100000,1924651400,2.05,1.99,342.55,199,26.86,27.69,332.245,0,0,0,0,0,0,,,
600,10,likwid-perfctr,5.0617,,11540600000,1924610100,2.28,2.23,380.23,223,24.2,24.92,369.18,0,0,0,0,0,0,,,
600,11,likwid-perfctr,4.6058,,11514500000,1924625600,2.5,2.46,417.87,246,22.02,22.65,406.18,0,0,0,0,0,0,,,
600,12,likwid-perfctr,4.2267,,11538800000,1924627800,2.73,2.68,455.35,268,20.2,20.76,443.155,0,0,0,0,0,0,,,
600,13,likwid-perfctr,3.8903,,11515200000,1924609200,2.96,2.91,494.72,291,18.6,19.17,479.915,0,0,0,0,0,0,,,
600,14,likwid-perfctr,3.6369,,11528900000,1924611100,3.17,3.12,529.19,312,17.38,17.8,516.85,0,0,0,0,0,0,,,
600,15,likwid-perfctr,3.3838,,11538700000,1924637700,3.41,3.36,568.78,336,16.18,16.61,553.88,0,0,0,0,0,0,,,
600,16,likwid-perfctr,3.1874,,11538300000,1924615800,3.62,3.56,603.82,356,15.24,15.57,590.875,0,0,0,0,0,0,,,
600,17,likwid-perfctr,2.9972,,11539200000,1924622000,3.85,3.85,642.14,385,14.33,14.66,627.555,0,0,0,0,0,0,,,
600,18,likwid-perfctr,2.8452,,11523000000,1924635500,4.05,3.93,676.45,393,13.6,13.84,664.735,0,0,0,0,0,0,,,
