N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS cycl,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC cycl,Roofline LC Arithmetic Intensity,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark cycl,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM CS MLUPs,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,ECM LC MLUPs,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,1.81,0,31.774504763344925,0.05,2.43,0,23.691516709511568,0.06,16.3,12.3,8.0,0.0,0.0,34.00,282.32,12.3,9.0,8.0,0.0,0.0,17.05,1126.09,12.3,9.0,6.0,0.0,0.0,15.00,1280.00,54.00,10.24,64.24,0,0,0,0,0,0,54.00,10.37,64.37,0,0,0,0,0,0,40.00,8.00,48.00,0,0,0,0,0,0
20,2.15,0,26.801045221447687,0.06,2.43,0,23.691516709511568,0.06,14.8,11.9,6.8,0.0,0.0,27.74,346.09,12.3,9.0,6.8,0.0,0.0,15.79,1215.95,12.3,9.0,6.0,0.0,0.0,15.00,1280.00,45.84,8.88,54.72,0,0,0,0,0,0,45.37,8.87,54.24,0,0,0,0,0,0,40.00,8.00,48.00,0,0,0,0,0,0
30,0.80194,0,71.8256758499162,0.03,1.52,0,37.828630066700875,0.06,15.1,9.9,6.9,44.8,0.3,39.22,244.76,12.3,9.0,6.5,21.8,0.0,37.34,514.19,12.3,9.0,6.0,20.0,0.0,35.00,548.57,46.56,8.64,55.20,44.80,44.80,89.60,.72,0,.72,43.62,8.62,52.24,43.62,43.62,87.24,0,0,0,40.00,8.00,48.00,40.00,8.00,48.00,0,0,0
40,0.82217,0,70.0588084901565,0.04,1.52,0,37.828630066700875,0.06,14.7,10.4,6.8,43.9,0.1,37.61,255.27,12.3,9.0,6.4,21.3,0.0,36.64,524.01,12.3,9.0,6.0,20.0,0.0,35.00,548.57,45.60,8.48,54.08,43.92,43.92,87.84,.32,0,.32,42.50,8.37,50.87,42.50,42.50,85.00,0,0,0,40.00,8.00,48.00,40.00,8.00,48.00,0,0,0
50,0.83142,0,69.27893755130678,0.04,1.22,0,47.231262011531065,0.06,14.1,9.5,6.7,43.0,0.4,38.40,249.98,12.3,9.0,6.3,21.0,15.1,51.44,373.25,12.3,9.0,6.0,20.0,17.6,52.62,364.88,45.04,8.40,53.44,43.04,43.04,86.08,.96,.16,1.12,42.12,8.37,50.49,9.25,42.12,51.37,32.87,8.25,41.12,40.00,8.00,48.00,40.00,8.00,48.00,40.00,8.00,48.00
60,0.83952,0,68.6104590051458,0.04,1.22,0,47.231262011531065,0.06,13.4,9.9,6.7,42.4,4.0,40.22,238.67,12.3,9.0,6.2,20.8,18.3,54.40,352.94,12.3,9.0,6.0,20.0,17.6,52.62,364.88,45.20,8.32,53.52,42.40,42.40,84.80,9.12,1.68,10.80,41.62,8.25,49.87,0,41.62,41.62,41.62,8.25,49.87,40.00,8.00,48.00,40.00,8.00,48.00,40.00,8.00,48.00
70,0.84413,0,68.23559592975737,0.04,1.22,0,47.231262011531065,0.06,13.9,9.4,6.6,42.0,11.8,51.01,188.18,12.3,9.0,6.2,20.7,18.2,54.16,354.50,12.3,9.0,6.0,20.0,17.6,52.62,364.88,44.40,8.32,52.72,42.00,42.00,84.00,28.56,3.52,32.08,41.50,8.25,49.75,0,41.50,41.50,41.50,8.25,49.75,40.00,8.00,48.00,40.00,8.00,48.00,40.00,8.00,48.00
80,0.84814,0,67.91333104631218,0.04,1.22,0,47.231262011531065,0.06,12.3,9.9,6.5,41.9,14.2,55.12,174.15,12.3,9.0,6.2,20.6,18.2,53.96,355.81,12.3,9.0,6.0,20.0,17.6,52.62,364.88,43.60,8.24,51.84,41.92,41.84,83.76,33.60,5.20,38.80,41.25,8.25,49.50,0,41.25,41.25,41.25,8.25,49.50,40.00,8.00,48.00,40.00,8.00,48.00,40.00,8.00,48.00
90,0.85083,0,67.69834373927958,0.04,1.22,0,47.231262011531065,0.06,12.5,10.0,6.5,41.5,14.9,54.08,177.50,12.3,9.0,6.2,20.6,18.1,53.82,356.74,12.3,9.0,6.0,20.0,17.6,52.62,364.88,43.52,8.24,51.76,41.52,41.52,83.04,35.20,5.44,40.64,41.12,8.12,49.24,0,41.12,41.12,41.12,8.12,49.24,40.00,8.00,48.00,40.00,8.00,48.00,40.00,8.00,48.00
100,0.85365,0,67.47469426232435,0.04,1.22,0,47.231262011531065,0.06,12.2,9.7,6.4,41.4,15.5,56.68,169.37,12.3,9.0,6.1,20.5,18.0,53.68,357.67,12.3,9.0,6.0,20.0,17.6,52.62,364.88,43.36,8.16,51.52,41.36,41.36,82.72,35.92,6.24,42.16,41.00,8.12,49.12,0,41.00,41.00,41.00,8.12,49.12,40.00,8.00,48.00,40.00,8.00,48.00,40.00,8.00,48.00
110,0.85503,0,67.3658511149228,0.04,1.22,0,47.231262011531065,0.06,12.3,9.8,6.4,41.2,16.1,54.97,174.65,12.3,9.0,6.1,20.5,18.0,53.59,358.27,12.3,9.0,6.0,20.0,17.6,52.62,364.88,43.20,8.16,51.36,41.20,41.20,82.40,37.20,6.56,43.76,40.87,8.12,48.99,0,40.87,40.87,40.87,8.12,48.99,40.00,8.00,48.00,40.00,8.00,48.00,40.00,8.00,48.00
120,0.85710,0,67.20332005267893,0.04,1.22,0,47.231262011531065,0.06,12.0,9.6,6.4,41.1,16.5,56.47,170.01,12.3,9.0,6.1,20.4,18.0,53.49,358.94,12.3,9.0,6.0,20.0,17.6,52.62,364.88,43.04,8.16,51.20,41.12,41.12,82.24,37.76,7.04,44.80,40.75,8.12,48.87,0,40.75,40.75,40.75,8.12,48.87,40.00,8.00,48.00,40.00,8.00,48.00,40.00,8.00,48.00
130,0.85779,0,67.14957215096274,0.04,1.22,0,47.231262011531065,0.06,11.5,9.7,6.4,41.0,16.7,54.40,176.46,12.3,9.0,6.1,20.4,18.0,53.48,359.01,12.3,9.0,6.0,20.0,17.6,52.62,364.88,43.04,8.16,51.20,40.96,40.96,81.92,38.32,7.20,45.52,40.75,8.12,48.87,0,40.75,40.75,40.75,8.12,48.87,40.00,8.00,48.00,40.00,8.00,48.00,40.00,8.00,48.00
140,0.85963,0,67.00571747284002,0.04,1.22,0,47.231262011531065,0.06,11.6,9.5,6.4,40.9,17.0,54.83,175.07,12.3,9.0,6.1,20.3,17.9,53.36,359.82,12.3,9.0,6.0,20.0,17.6,52.62,364.88,42.88,8.16,51.04,40.88,40.88,81.76,38.88,7.36,46.24,40.75,8.12,48.87,0,40.75,40.75,40.75,8.12,48.87,40.00,8.00,48.00,40.00,8.00,48.00,40.00,8.00,48.00
150,0.86015,0,66.96485763293312,0.04,1.22,0,47.231262011531065,0.06,11.9,9.6,6.4,40.9,17.2,54.75,175.34,12.3,9.0,6.1,20.3,17.9,53.33,360.02,12.3,9.0,6.0,20.0,17.6,52.62,364.88,42.96,8.16,51.12,40.88,40.88,81.76,39.28,7.60,46.88,40.62,8.12,48.74,0,40.62,40.62,40.62,8.12,48.74,40.00,8.00,48.00,40.00,8.00,48.00,40.00,8.00,48.00
160,0.86141,0,66.86737564322468,0.04,1.22,0,47.231262011531065,0.06,11.6,9.5,6.4,40.8,17.3,55.24,173.79,12.3,9.0,6.1,20.3,17.9,53.27,360.42,12.3,9.0,6.0,20.0,17.6,52.62,364.88,42.80,8.16,50.96,40.80,40.80,81.60,39.52,7.68,47.20,40.62,8.12,48.74,0,40.62,40.62,40.62,8.12,48.74,40.00,8.00,48.00,40.00,8.00,48.00,40.00,8.00,48.00
170,0.86179,0,66.83762354492373,0.04,1.22,0,47.231262011531065,0.06,11.2,9.5,6.4,40.7,17.4,55.03,174.44,12.3,9.0,6.1,20.3,17.9,53.26,360.49,12.3,9.0,6.0,20.0,17.6,52.62,364.88,42.96,8.24,51.20,40.72,40.72,81.44,39.76,7.76,47.52,40.62,8.12,48.74,0,40.62,40.62,40.62,8.12,48.74,40.00,8.00,48.00,40.00,8.00,48.00,40.00,8.00,48.00
180,0.86295,0,66.7475167685172,0.04,1.22,0,47.231262011531065,0.06,11.5,9.4,6.4,40.7,17.6,55.41,173.24,12.3,9.0,6.1,20.3,17.9,53.20,360.90,12.3,9.0,6.0,20.0,17.6,52.62,364.88,42.56,8.24,50.80,40.72,40.72,81.44,40.00,7.84,47.84,40.50,8.12,48.62,0,40.50,40.50,40.50,8.12,48.62,40.00,8.00,48.00,40.00,8.00,48.00,40.00,8.00,48.00
190,0.86326,0,66.72352384219553,0.04,1.22,0,47.231262011531065,0.06,11.3,9.5,6.4,40.7,17.6,55.37,173.37,12.3,9.0,6.1,20.3,17.9,53.19,360.97,12.3,9.0,6.0,20.0,17.6,52.62,364.88,42.96,8.24,51.20,40.72,40.64,81.36,40.08,7.92,48.00,40.50,8.12,48.62,0,40.50,40.50,40.50,8.12,48.62,40.00,8.00,48.00,40.00,8.00,48.00,40.00,8.00,48.00
200,0.86439,0,66.6368593238074,0.04,1.22,0,47.231262011531065,0.06,11.6,9.4,6.4,40.6,17.7,55.65,172.52,12.3,9.0,6.1,20.2,17.8,53.13,361.37,12.3,9.0,6.0,20.0,17.6,52.62,364.88,42.80,8.24,51.04,40.64,40.64,81.28,40.24,7.92,48.16,40.50,8.12,48.62,0,40.50,40.50,40.50,8.12,48.62,40.00,8.00,48.00,40.00,8.00,48.00,40.00,8.00,48.00
210,0.86467,0,66.61472783486543,0.04,1.22,0,47.231262011531065,0.06,11.7,9.4,6.4,40.6,17.7,55.80,172.04,12.3,9.0,6.1,20.2,17.8,53.11,361.51,12.3,9.0,6.0,20.0,17.6,52.62,364.88,42.88,8.24,51.12,40.64,40.64,81.28,40.32,8.00,48.32,40.50,8.12,48.62,0,40.50,40.50,40.50,8.12,48.62,40.00,8.00,48.00,40.00,8.00,48.00,40.00,8.00,48.00
220,0.86504,0,66.58680000358154,0.04,1.22,0,47.231262011531065,0.06,11.4,9.3,6.4,40.6,17.8,55.90,171.73,12.3,9.0,6.1,20.2,17.8,53.09,361.65,12.3,9.0,6.0,20.0,17.6,52.62,364.88,42.80,8.24,51.04,40.56,40.56,81.12,40.48,8.00,48.48,40.50,8.12,48.62,0,40.50,40.50,40.50,8.00,48.50,40.00,8.00,48.00,40.00,8.00,48.00,40.00,8.00,48.00
230,0.86527,0,66.56860651801028,0.04,1.22,0,47.231262011531065,0.06,11.2,9.4,6.4,40.6,17.8,55.78,172.09,12.3,9.0,6.1,20.2,17.8,53.07,361.78,12.3,9.0,6.0,20.0,17.6,52.62,364.88,42.96,8.24,51.20,40.56,40.56,81.12,40.56,8.08,48.64,40.37,8.12,48.49,0,40.37,40.37,40.37,8.00,48.37,40.00,8.00,48.00,40.00,8.00,48.00,40.00,8.00,48.00
240,0.86557,0,66.54594854202402,0.04,1.22,0,47.231262011531065,0.06,11.5,9.3,6.4,40.5,17.9,56.31,170.49,12.3,9.0,6.1,20.2,17.8,53.06,361.85,12.3,9.0,6.0,20.0,17.6,52.62,364.88,42.80,8.24,51.04,40.56,40.56,81.12,40.64,8.08,48.72,40.37,8.12,48.49,0,40.37,40.37,40.37,8.12,48.49,40.00,8.00,48.00,40.00,8.00,48.00,40.00,8.00,48.00
250,0.86662,0,66.46507681440079,0.04,1.22,0,47.231262011531065,0.06,11.2,9.4,6.4,40.5,17.9,56.00,171.43,12.3,9.0,6.1,20.2,17.8,53.00,362.26,12.3,9.0,6.0,20.0,17.6,52.62,364.88,42.96,8.24,51.20,40.56,40.48,81.04,40.64,8.08,48.72,40.37,8.12,48.49,0,40.37,40.37,40.37,8.00,48.37,40.00,8.00,48.00,40.00,8.00,48.00,40.00,8.00,48.00
260,0.86687,0,66.4458319039451,0.04,1.22,0,47.231262011531065,0.06,11.5,9.3,6.9,40.5,17.9,57.09,168.14,12.3,9.0,7.1,20.2,17.8,53.99,355.62,12.3,9.0,6.0,20.0,17.6,52.62,364.88,46.72,8.24,54.96,40.48,40.48,80.96,40.72,8.08,48.80,48.37,8.00,56.37,0,40.37,40.37,40.37,8.00,48.37,40.00,8.00,48.00,40.00,8.00,48.00,40.00,8.00,48.00
270,0.86611,0,66.50407039015566,0.04,1.22,0,47.231262011531065,0.06,11.7,9.3,7.9,40.5,17.9,57.79,166.11,12.3,9.0,6.1,20.2,17.8,53.02,362.12,12.3,9.0,6.0,20.0,17.6,52.62,364.88,54.96,8.24,63.20,40.48,40.48,80.96,40.80,8.08,48.88,40.37,8.00,48.37,0,40.37,40.37,40.37,8.00,48.37,40.00,8.00,48.00,40.00,8.00,48.00,40.00,8.00,48.00
280,0.86632,0,66.48798627787308,0.04,1.22,0,47.231262011531065,0.06,12.2,9.3,7.9,40.5,18.0,58.06,165.35,12.3,9.0,8.1,20.2,17.8,55.03,348.90,12.3,9.0,6.0,20.0,17.6,52.62,364.88,55.20,8.24,63.44,40.48,40.48,80.96,40.88,8.08,48.96,56.37,8.00,64.37,0,40.37,40.37,40.37,8.00,48.37,40.00,8.00,48.00,40.00,8.00,48.00,40.00,8.00,48.00
290,0.86745,0,66.40184398885233,0.04,1.22,0,47.231262011531065,0.06,11.7,9.3,8.0,40.5,17.9,57.61,166.63,12.3,9.0,6.0,20.2,17.8,52.98,362.40,12.3,9.0,6.0,20.0,17.6,52.62,364.88,55.76,8.24,64.00,40.48,40.48,80.96,40.80,8.00,48.80,40.37,8.00,48.37,0,40.37,40.37,40.37,8.12,48.49,40.00,8.00,48.00,40.00,8.00,48.00,40.00,8.00,48.00
300,0.86763,0,66.38786963979419,0.04,1.22,0,47.231262011531065,0.06,12.2,9.2,7.9,40.4,17.8,57.26,167.66,12.3,9.0,7.1,20.2,17.8,53.97,355.75,12.3,9.0,8.0,20.0,17.6,54.62,351.51,55.36,8.24,63.60,40.48,40.40,80.88,40.56,8.00,48.56,48.37,8.00,56.37,0,40.37,40.37,40.37,8.00,48.37,56.00,8.00,64.00,40.00,8.00,48.00,40.00,8.00,48.00
310,0.86777,0,66.37680411663808,0.04,1.22,0,47.231262011531065,0.06,11.7,9.3,8.0,40.4,17.9,57.21,167.80,12.3,9.0,8.1,20.2,17.8,54.96,349.34,12.3,9.0,8.0,20.0,17.6,54.62,351.51,55.76,8.24,64.00,40.40,40.40,80.80,40.72,8.00,48.72,56.37,8.00,64.37,0,40.25,40.25,40.25,8.00,48.25,56.00,8.00,64.00,40.00,8.00,48.00,40.00,8.00,48.00
320,0.86792,0,66.36548511416198,0.04,1.22,0,47.231262011531065,0.06,12.2,9.2,8.0,40.4,17.9,57.27,167.63,12.3,9.0,8.1,20.2,17.8,54.95,349.40,12.3,9.0,8.0,20.0,17.6,54.62,351.51,55.52,8.24,63.76,40.40,40.40,80.80,40.72,8.00,48.72,56.37,8.00,64.37,0,40.25,40.25,40.25,8.00,48.25,56.00,8.00,64.00,40.00,8.00,48.00,40.00,8.00,48.00
330,0.86805,0,66.3557269296741,0.04,1.22,0,47.231262011531065,0.06,11.7,9.3,8.0,40.4,17.9,57.62,166.61,12.3,9.0,8.0,20.1,17.8,54.96,349.34,12.3,9.0,8.0,20.0,17.6,54.62,351.51,55.76,8.24,64.00,40.40,40.40,80.80,40.72,8.00,48.72,56.37,8.00,64.37,0,40.25,40.25,40.25,8.12,48.37,56.00,8.00,64.00,40.00,8.00,48.00,40.00,8.00,48.00
340,0.86818,0,66.34571526586623,0.04,1.22,0,47.231262011531065,0.06,12.1,9.2,7.9,40.4,17.9,57.75,166.24,12.3,9.0,8.0,20.1,17.8,54.95,349.40,12.3,9.0,8.0,20.0,17.6,54.62,351.51,55.28,8.24,63.52,40.40,40.40,80.80,40.80,8.00,48.80,56.37,8.00,64.37,0,40.25,40.25,40.25,8.12,48.37,56.00,8.00,64.00,40.00,8.00,48.00,40.00,8.00,48.00
350,0.86951,0,66.24428886519411,0.04,1.22,0,47.231262011531065,0.06,11.7,9.3,8.0,40.4,17.9,57.23,167.76,12.3,9.0,8.0,20.1,17.7,54.87,349.91,12.3,9.0,8.0,20.0,17.6,54.62,351.51,55.76,8.24,64.00,40.40,40.40,80.80,40.80,8.00,48.80,56.37,8.00,64.37,0,40.25,40.25,40.25,8.00,48.25,56.00,8.00,64.00,40.00,8.00,48.00,40.00,8.00,48.00
360,0.86963,0,66.23506003430532,0.04,1.22,0,47.231262011531065,0.06,12.1,9.2,7.9,40.4,17.9,57.54,166.83,12.3,9.0,8.0,20.1,17.7,54.90,349.72,12.3,9.0,8.0,20.0,17.6,54.62,351.51,55.28,8.24,63.52,40.40,40.40,80.80,40.80,8.00,48.80,56.37,8.00,64.37,0,40.25,40.25,40.25,8.12,48.37,56.00,8.00,64.00,40.00,8.00,48.00,40.00,8.00,48.00
370,0.86846,0,66.32411114922814,0.04,1.22,0,47.231262011531065,0.06,11.6,9.2,8.0,40.4,17.9,57.41,167.23,12.3,9.0,8.0,20.1,17.7,54.91,349.66,12.3,9.0,8.0,20.0,17.6,54.62,351.51,55.68,8.24,63.92,40.40,40.40,80.80,40.80,8.00,48.80,56.25,8.00,64.25,0,40.25,40.25,40.25,8.00,48.25,56.00,8.00,64.00,40.00,8.00,48.00,40.00,8.00,48.00
380,0.86859,0,66.31409948542024,0.04,1.22,0,47.231262011531065,0.06,12.1,9.2,7.9,40.4,17.9,57.32,167.48,12.3,9.0,8.0,20.1,17.7,54.93,349.53,12.3,9.0,8.0,20.0,17.6,54.62,351.51,55.20,8.24,63.44,40.40,40.32,80.72,40.80,8.00,48.80,56.25,8.00,64.25,0,40.25,40.25,40.25,8.12,48.37,56.00,8.00,64.00,40.00,8.00,48.00,40.00,8.00,48.00
390,0.86863,0,66.31093790737563,0.04,1.22,0,47.231262011531065,0.06,11.6,9.2,8.0,40.4,17.9,57.20,167.83,12.3,9.0,8.0,20.1,17.7,54.92,349.59,12.3,9.0,8.0,20.0,17.6,54.62,351.51,55.60,8.24,63.84,40.40,40.32,80.72,40.80,8.00,48.80,56.25,8.00,64.25,0,40.25,40.25,40.25,8.12,48.37,56.00,8.00,64.00,40.00,8.00,48.00,40.00,8.00,48.00
400,0.86873,0,66.30356089193826,0.04,1.22,0,47.231262011531065,0.06,12.1,9.2,7.9,40.3,17.9,57.26,167.67,12.3,9.0,8.0,20.1,17.8,54.93,349.53,12.3,9.0,8.0,20.0,17.6,54.62,351.51,55.12,8.24,63.36,40.32,40.32,80.64,40.80,8.00,48.80,56.25,8.00,64.25,0,40.25,40.25,40.25,8.12,48.37,56.00,8.00,64.00,40.00,8.00,48.00,40.00,8.00,48.00
410,0.86879,0,66.2990906473361,0.04,1.22,0,47.231262011531065,0.06,11.5,9.2,8.0,40.3,17.9,57.21,167.80,12.3,9.0,8.0,20.1,17.7,54.92,349.59,12.3,9.0,8.0,20.0,17.6,54.62,351.51,55.52,8.24,63.76,40.32,40.32,80.64,40.88,8.00,48.88,56.25,8.00,64.25,0,40.25,40.25,40.25,8.12,48.37,56.00,8.00,64.00,40.00,8.00,48.00,40.00,8.00,48.00
420,0.86889,0,66.29171348435544,0.04,1.22,0,47.231262011531065,0.06,12.0,9.2,7.9,40.3,17.9,57.26,167.66,12.3,9.0,8.0,20.1,17.7,54.88,349.85,12.3,9.0,8.0,20.0,17.6,54.62,351.51,55.04,8.24,63.28,40.32,40.32,80.64,40.80,8.00,48.80,56.25,8.00,64.25,0,40.25,40.25,40.25,8.00,48.25,56.00,8.00,64.00,40.00,8.00,48.00,40.00,8.00,48.00
430,0.86891,0,66.28986072041167,0.04,1.22,0,47.231262011531065,0.06,11.5,9.2,8.0,40.3,18.0,57.22,167.79,12.3,9.0,8.0,20.1,17.7,54.90,349.72,12.3,9.0,8.0,20.0,17.6,54.62,351.51,55.52,8.24,63.76,40.32,40.32,80.64,40.88,8.00,48.88,56.25,8.00,64.25,0,40.25,40.25,40.25,8.00,48.25,56.00,8.00,64.00,40.00,8.00,48.00,40.00,8.00,48.00
440,0.86901,0,66.28248370497427,0.04,1.22,0,47.231262011531065,0.06,12.0,9.2,7.9,40.3,17.9,57.14,168.01,12.3,9.0,8.0,20.1,17.7,54.89,349.79,12.3,9.0,8.0,20.0,17.6,54.62,351.51,54.96,8.24,63.20,40.32,40.32,80.64,40.80,8.00,48.80,56.25,8.00,64.25,0,40.25,40.25,40.25,8.00,48.25,56.00,8.00,64.00,40.00,8.00,48.00,40.00,8.00,48.00
450,0.86903,0,66.28064773988447,0.04,1.22,0,47.231262011531065,0.06,11.5,9.2,8.0,40.3,17.9,56.99,168.45,12.3,9.0,8.0,20.1,17.7,54.89,349.79,12.3,9.0,8.0,20.0,17.6,54.62,351.51,55.44,8.24,63.68,40.32,40.32,80.64,40.80,8.00,48.80,56.25,8.00,64.25,0,40.25,40.25,40.25,8.00,48.25,56.00,8.00,64.00,40.00,8.00,48.00,40.00,8.00,48.00
460,0.86911,0,66.27457975986277,0.04,1.22,0,47.231262011531065,0.06,11.9,9.2,7.9,40.3,17.9,57.28,167.60,12.3,9.0,8.0,20.1,17.7,54.86,349.98,12.3,9.0,8.0,20.0,17.6,54.62,351.51,55.04,8.24,63.28,40.32,40.32,80.64,40.80,8.00,48.80,56.25,8.00,64.25,0,40.25,40.25,40.25,8.00,48.25,56.00,8.00,64.00,40.00,8.00,48.00,40.00,8.00,48.00
470,0.86912,0,66.27405283018868,0.04,1.22,0,47.231262011531065,0.06,11.5,9.2,8.0,40.3,17.9,57.00,168.42,12.3,9.0,8.0,20.1,17.7,54.88,349.85,12.3,9.0,8.0,20.0,17.6,54.62,351.51,55.44,8.24,63.68,40.32,40.32,80.64,40.88,8.00,48.88,56.25,8.00,64.25,0,40.25,40.25,40.25,8.00,48.25,56.00,8.00,64.00,40.00,8.00,48.00,40.00,8.00,48.00
480,0.86920,0,66.26800117477478,0.04,1.22,0,47.231262011531065,0.06,12.0,9.2,7.9,40.3,17.9,57.15,167.97,12.3,9.0,8.0,20.1,17.7,54.89,349.79,12.3,9.0,8.0,20.0,17.6,54.62,351.51,55.04,8.24,63.28,40.32,40.32,80.64,40.88,8.00,48.88,56.25,8.00,64.25,0,40.25,40.25,40.25,8.12,48.37,56.00,8.00,64.00,40.00,8.00,48.00,40.00,8.00,48.00
490,0.87093,0,66.13626612154884,0.04,1.22,0,47.231262011531065,0.06,11.5,9.2,8.0,40.3,17.9,57.03,168.33,12.3,9.0,8.0,20.1,17.7,54.81,350.30,12.3,9.0,8.0,20.0,17.6,54.62,351.51,55.44,8.24,63.68,40.32,40.32,80.64,40.80,8.00,48.80,56.25,8.00,64.25,0,40.12,40.12,40.12,8.00,48.12,56.00,8.00,64.00,40.00,8.00,48.00,40.00,8.00,48.00
500,0.86927,0,66.26273177264575,0.04,1.22,0,47.231262011531065,0.06,11.9,9.1,7.9,40.3,17.9,57.34,167.43,12.3,9.0,8.0,20.1,17.7,54.88,349.85,12.3,9.0,8.0,20.0,17.6,54.62,351.51,54.96,8.24,63.20,40.32,40.32,80.64,40.80,8.00,48.80,56.25,8.00,64.25,0,40.25,40.25,40.25,8.00,48.25,56.00,8.00,64.00,40.00,8.00,48.00,40.00,8.00,48.00
510,0.87107,0,66.12572731729077,0.04,1.22,0,47.231262011531065,0.06,11.8,9.2,8.0,40.3,17.9,57.43,167.16,12.3,9.0,8.0,20.1,17.7,54.80,350.36,12.3,9.0,8.0,20.0,17.6,54.62,351.51,55.92,8.24,64.16,40.32,40.32,80.64,40.88,8.00,48.88,56.25,8.00,64.25,0,40.12,40.12,40.12,8.00,48.12,56.00,8.00,64.00,40.00,8.00,48.00,40.00,8.00,48.00
520,0.87114,0,66.12045791516174,0.04,1.22,0,47.231262011531065,0.06,12.1,9.1,8.3,40.3,17.9,57.63,166.57,12.3,9.0,8.0,20.1,17.7,54.80,350.36,12.3,9.0,8.0,20.0,17.6,54.62,351.51,57.84,8.24,66.08,40.32,40.32,80.64,40.88,8.00,48.88,56.25,8.00,64.25,0,40.12,40.12,40.12,8.00,48.12,56.00,8.00,64.00,40.00,8.00,48.00,40.00,8.00,48.00
530,0.87121,0,66.11518851303269,0.04,1.22,0,47.231262011531065,0.06,11.6,9.2,8.3,40.3,17.9,57.56,166.80,12.3,9.0,8.0,20.1,17.7,54.79,350.42,12.3,9.0,8.0,20.0,17.6,54.62,351.51,58.32,8.24,66.56,40.32,40.24,80.56,40.88,8.00,48.88,56.25,8.00,64.25,0,40.12,40.12,40.12,8.00,48.12,56.00,8.00,64.00,40.00,8.00,48.00,40.00,8.00,48.00
