N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS cycl,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC cycl,Roofline LC Arithmetic Intensity,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark cycl,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM CS MLUPs,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,ECM LC MLUPs,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,1.81,0,37.225102071677,0.05,2.43,0,27.640102827763496,0.06,17.5,14.1,9.2,0.0,0.0,37.78,254.09,13.3,10.0,9.4,0.0,0.0,19.43,988.16,13.3,10.0,7.0,0.0,0.0,17.00,1129.41,63.52,9.92,73.44,0,0,0,0,0,0,65.00,10.37,75.37,0,0,0,0,0,0,48.00,8.00,56.00,0,0,0,0,0,0
20,1.70,0,39.477728152409604,0.04,1.89,0,35.53727506426735,0.05,14.9,13.6,10.1,1.7,0.0,32.11,298.94,13.3,10.0,10.0,0.0,0.0,20.00,960.00,13.3,10.0,9.0,0.0,0.0,19.00,1010.52,71.92,8.96,80.88,1.76,1.76,3.52,0,0,0,71.12,8.87,79.99,0,0,0,0,0,0,64.00,8.00,72.00,0,0,0,0,0,0
30,0.78071,0,86.07558266292095,0.03,1.52,0,44.13340174448435,0.06,14.2,11.1,10.1,54.9,0.2,43.68,219.79,13.3,10.0,9.7,26.1,0.0,45.82,419.03,13.3,10.0,9.0,24.0,0.0,43.00,446.51,72.40,8.72,81.12,54.96,54.96,109.92,.48,0,.48,68.87,8.62,77.49,52.25,52.25,104.50,0,0,0,64.00,8.00,72.00,48.00,8.00,56.00,0,0,0
40,0.80072,0,83.92497448484968,0.03,1.52,0,44.13340174448435,0.06,15.0,11.7,10.0,53.0,0.3,43.88,218.77,13.3,10.0,9.5,25.5,1.8,46.72,410.95,13.3,10.0,9.0,24.0,0.0,43.00,446.51,71.60,8.56,80.16,52.96,52.96,105.92,.80,0,.80,67.37,8.37,75.74,48.00,51.00,99.00,2.87,1.87,4.74,64.00,8.00,72.00,48.00,8.00,56.00,0,0,0
50,0.80866,0,83.10057933577195,0.03,1.22,0,55.10313901345292,0.06,13.6,10.6,10.0,51.8,1.3,45.06,213.04,13.3,10.0,9.4,25.2,20.9,65.52,293.04,13.3,10.0,9.0,24.0,20.6,63.56,302.07,71.20,8.40,79.60,51.76,51.76,103.52,3.04,.48,3.52,66.75,8.37,75.12,1.75,50.50,52.25,48.75,8.25,57.00,64.00,8.00,72.00,48.00,8.00,56.00,48.00,8.00,56.00
60,0.81277,0,82.68053516295025,0.03,1.22,0,55.10313901345292,0.06,13.7,11.1,9.9,51.0,7.3,49.69,193.19,13.3,10.0,9.3,25.1,21.5,65.89,291.39,13.3,10.0,9.0,24.0,20.6,63.56,302.07,71.20,8.40,79.60,51.04,50.96,102.00,16.40,3.44,19.84,66.25,8.25,74.50,0,50.25,50.25,50.25,8.25,58.50,64.00,8.00,72.00,48.00,8.00,56.00,48.00,8.00,56.00
70,0.82522,0,81.43276569468267,0.04,1.22,0,55.10313901345292,0.06,13.6,10.4,9.8,50.9,13.3,57.28,167.60,13.3,10.0,9.3,24.7,21.2,65.17,294.61,13.3,10.0,9.0,24.0,20.6,63.56,302.07,70.24,8.32,78.56,50.96,50.88,101.84,29.44,6.88,36.32,66.00,8.25,74.25,0,49.50,49.50,49.50,8.25,57.75,64.00,8.00,72.00,48.00,8.00,56.00,48.00,8.00,56.00
80,0.82895,0,81.06602264150943,0.04,1.22,0,55.10313901345292,0.06,13.3,11.1,9.7,52.3,17.6,67.99,141.19,13.3,10.0,9.2,24.6,21.1,64.94,295.65,13.3,10.0,9.0,24.0,20.6,63.56,302.07,69.52,8.40,77.92,52.32,52.32,104.64,39.68,8.08,47.76,65.62,8.25,73.87,0,49.25,49.25,49.25,8.25,57.50,64.00,8.00,72.00,48.00,8.00,56.00,48.00,8.00,56.00
90,0.83090,0,80.87632795883363,0.04,1.22,0,55.10313901345292,0.06,13.6,11.2,9.5,57.2,21.1,73.20,131.14,13.3,10.0,9.2,24.6,21.0,64.80,296.29,13.3,10.0,9.0,24.0,20.6,63.56,302.07,67.84,8.24,76.08,57.28,57.28,114.56,49.28,8.16,57.44,65.50,8.12,73.62,0,49.12,49.12,49.12,8.12,57.24,64.00,8.00,72.00,48.00,8.00,56.00,48.00,8.00,56.00
100,0.62491,0,107.53580789022298,0.03,1.18,0,56.742945100051315,0.05,13.1,10.9,9.5,62.5,21.4,77.64,123.66,13.3,10.0,9.2,32.7,21.0,72.82,263.66,13.3,10.0,9.0,32.0,20.6,71.56,268.30,67.36,8.40,75.76,62.48,62.48,124.96,50.08,8.16,58.24,65.25,8.12,73.37,16.37,65.25,81.62,49.00,8.25,57.25,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
110,0.62586,0,107.37140583190396,0.03,1.18,0,56.742945100051315,0.05,13.3,11.0,9.4,64.8,21.2,75.74,126.75,13.3,10.0,9.2,32.6,20.9,72.72,264.02,13.3,10.0,9.0,32.0,20.6,71.56,268.30,67.12,8.24,75.36,64.80,64.80,129.60,49.68,8.16,57.84,65.25,8.12,73.37,16.25,65.25,81.50,48.87,8.12,56.99,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
120,0.62702,0,107.17328027444253,0.03,1.18,0,56.742945100051315,0.05,12.7,10.7,9.4,65.4,21.2,76.87,124.89,13.3,10.0,9.2,32.5,20.9,72.61,264.42,13.3,10.0,9.0,32.0,20.6,71.56,268.30,66.96,8.24,75.20,65.44,65.44,130.88,49.68,8.16,57.84,65.12,8.12,73.24,16.25,65.12,81.37,48.87,8.12,56.99,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
130,0.62768,0,107.06160469693098,0.03,1.18,0,56.742945100051315,0.05,12.6,10.8,9.5,65.3,21.4,79.04,121.45,13.3,10.0,9.1,32.5,20.9,72.54,264.68,13.3,10.0,9.0,32.0,20.6,71.56,268.30,67.60,8.32,75.92,65.28,65.28,130.56,50.08,8.16,58.24,65.00,8.12,73.12,16.25,65.00,81.25,48.75,8.12,56.87,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
140,0.62855,0,106.91192315608919,0.03,1.18,0,56.742945100051315,0.05,11.2,10.6,9.4,65.2,21.3,76.36,125.73,13.3,10.0,9.1,32.5,20.8,72.40,265.19,13.3,10.0,9.0,32.0,20.6,71.56,268.30,67.36,8.24,75.60,65.20,65.20,130.40,49.84,8.16,58.00,64.87,8.12,72.99,16.25,64.87,81.12,48.75,8.00,56.75,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
150,0.62903,0,106.83182984562606,0.03,1.18,0,56.742945100051315,0.05,12.7,10.7,9.5,65.1,21.1,76.72,125.13,13.3,10.0,9.1,32.4,20.8,72.40,265.19,13.3,10.0,9.0,32.0,20.6,71.56,268.30,67.28,8.32,75.60,65.12,65.12,130.24,49.36,8.08,57.44,64.87,8.12,72.99,16.25,64.87,81.12,48.62,8.12,56.74,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
160,0.62970,0,106.71801303602058,0.03,1.18,0,56.742945100051315,0.05,12.5,10.5,9.6,65.0,21.4,78.48,122.32,13.3,10.0,9.1,32.4,20.8,72.34,265.41,13.3,10.0,9.0,32.0,20.6,71.56,268.30,68.24,8.32,76.56,65.04,65.04,130.08,50.16,8.08,58.24,64.75,8.12,72.87,16.25,64.75,81.00,48.62,8.12,56.74,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
170,0.63008,0,106.65269909171771,0.03,1.18,0,56.742945100051315,0.05,13.3,10.6,9.4,65.0,21.3,76.66,125.23,13.3,10.0,9.1,32.4,20.8,72.30,265.56,13.3,10.0,9.0,32.0,20.6,71.56,268.30,67.20,8.32,75.52,64.96,64.96,129.92,49.84,8.08,57.92,64.75,8.12,72.87,16.25,64.75,81.00,48.62,8.12,56.74,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
180,0.63057,0,106.57047272727272,0.03,1.18,0,56.742945100051315,0.05,12.8,10.5,9.4,64.9,21.4,76.66,125.23,13.3,10.0,9.1,32.4,20.8,72.25,265.74,13.3,10.0,9.0,32.0,20.6,71.56,268.30,66.64,8.24,74.88,64.96,64.96,129.92,50.16,8.08,58.24,64.75,8.12,72.87,16.12,64.75,80.87,48.50,8.12,56.62,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
190,0.63087,0,106.51988747855918,0.03,1.18,0,56.742945100051315,0.05,12.4,10.6,9.5,64.9,21.3,78.46,122.35,13.3,10.0,9.1,32.3,20.8,72.21,265.89,13.3,10.0,9.0,32.0,20.6,71.56,268.30,67.36,8.32,75.68,64.88,64.88,129.76,49.84,8.08,57.92,64.75,8.12,72.87,16.12,64.75,80.87,48.50,8.00,56.50,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
200,0.63128,0,106.45035404996266,0.03,1.18,0,56.742945100051315,0.05,12.5,10.4,9.3,64.9,21.4,76.42,125.62,13.3,10.0,9.1,32.3,21.1,72.53,264.71,13.3,10.0,9.0,32.0,20.6,71.56,268.30,66.48,8.24,74.72,64.88,64.88,129.76,50.24,8.08,58.32,64.62,8.12,72.74,16.12,64.62,80.74,48.50,9.00,57.50,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
210,0.63151,0,106.41241435463357,0.03,1.18,0,56.742945100051315,0.05,12.5,10.5,9.4,64.8,21.6,77.26,124.25,13.3,10.0,9.1,32.3,21.0,72.40,265.19,13.3,10.0,9.0,32.0,20.6,71.56,268.30,66.72,8.24,74.96,64.88,64.80,129.68,50.80,8.08,58.88,64.62,8.12,72.74,16.12,64.62,80.74,48.50,8.75,57.25,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
220,0.63186,0,106.35339705078835,0.03,1.18,0,56.742945100051315,0.05,12.9,10.4,9.4,64.8,21.7,79.05,121.44,13.3,10.0,9.1,32.3,20.9,72.30,265.56,13.3,10.0,9.0,32.0,20.6,71.56,268.30,66.56,8.32,74.88,64.80,64.80,129.60,51.04,8.08,59.12,64.62,8.12,72.74,16.12,64.62,80.74,48.50,8.50,57.00,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
